담당,image_id,file,stratum,정답,예측,raw,후보,원인,메모
B,000214,000214.jpg,large,2026-08-13,2020-08-04,2026.08.13,2020-8-4:YYYY:p1@640:0.49,,
A,000215,000215.jpg,large,2026-10-14,2020-02-NONE,2026.10.14 b,2020-2-None:YYMM:p1@640:0.62,,
B,000226,000226.jpg,large,2027-03-15,2027-03-NONE,27.03.15,2027-3-None:YYMM:p1@640:0.37,,
A,000229,000229.jpg,large,2025-10-28,2017-10-09,2025.10.28,2017-10-9:CMP6_YMD:p1@640:0.27,,
B,000231,000231.jpg,large,2028-05-27,NONE,2028.05.27,,,
A,000234,000234.jpg,large,2026-10-27,2025-05-09,261027 2,2025-5-9:CMP6_DMY:p1@640+p2:0.41,,
B,000253,000253.jpg,large,2026-06-20,2026-09-06,2026.06.20,2026-5-5:YYYY:p1@640:0.52|2026-9-6:DMY4:p1@640:0.52,,
A,000255,000255.jpg,large,2026-08-20,NONE,26.08.20,,,
B,000266,000266.jpg,large,2025-12-04,NONE,2025.12.04 b,,,
A,000278,000278.jpg,large,2026-06-22,2025-09-23,26.06.22 2,2025-9-2:YY:p1@1024:0.49|2025-9-23:YY:p1@1024:0.49|2026-6-None:YYMM:p1@1024:0.33,,
B,000292,000292.jpg,large,2026-02-13,NONE,13/02/2026,,,
A,000305,000305.jpg,large,2026-02-24,2019-01-09,26.02.24,2019-1-9:SP_DMY:p1@640:0.19,,
B,000311,000311.jpg,large,2026-08-09,2025-08-16,2026년08년09일,2022-12-25:CMP6_YMD:p1@1024:0.11|2025-8-16:CMP6_DMY:p1@1024:0.18,,
A,000314,000314.jpg,large,2026-09-01,2026-06-09,2026.09.01,2026-8-None:MMYYYY:p1@640:0.42|2026-6-9:YYYY:p1@640:0.42,,
B,000318,000318.jpg,large,2025-11-09,2022-04-03,2025.11.09,2022-4-3:DMY4:p1@640:0.18,,
A,000327,000327.jpg,large,2025-10-21,NONE,25.10.21,,,
B,000339,000339.jpg,large,2026-08-18,NONE,2026.08.18,,,
A,000362,000362.jpg,large,2026-08-11,2026-08-20,2026.08.11,2026-8-11:YYYY:p1@640+p2:0.31|2026-8-20:YYYY:p1@640:0.31,,
B,000395,000395.jpg,large,2026-03-15,2025-03-15,2026.03.15,2025-3-15:YYYY:p1@640:0.39,,
A,000400,000400.jpg,large,2026-01-11,2023-02-13,26.01.11 2,2023-2-13:CMP6_YMD:p1@1024:0.21,,
B,000409,000409.jpg,large,2027-03-26,2027-01-26,2027.03.26,2027-1-26:YYYY:p1@640:0.85,,
A,000411,000411.jpg,large,2026-09-09,2025-09-10,2026.09.09 2,2025-9-10:YYYY:p1@640+p2:0.40,,
B,000415,000415.jpg,large,2026-05-27,NONE,2026.05.27,,,
A,000428,000428.jpg,large,2026-04-23,2026-04-NONE,26.04.23,2026-4-None:YYMM:p1@640:0.42,,
B,000432,000432.jpg,large,2027-04-28,2027-05-NONE,2027.04.28,2027-5-None:MMYYYY:p1@640:0.62,,
A,000438,000438.jpg,large,2026-02-19,NONE,2026.02.19 t,,,
B,000440,000440.jpg,large,2026-08-13,NONE,26.08.13 2,,,
A,000441,000441.jpg,large,2025-12-15,2025-03-07,2025.12.15,2025-3-7:YYYY:p1@1024:0.60|2025-3-1:DMY4:p1@1024:0.60,,
B,000443,000443.jpg,large,2026-04-06,2026-06-03,2026.04.06,2026-4-6:YYYY:p1@1024:0.16|2026-6-3:DMY4:p1@1024:0.16,,
A,000457,000457.jpg,large,2026-06-18,2023-06-18,2026.06.18,2023-6-18:YYYY:p1@640:0.29|2023-6-None:YYYYMM:p1@640:0.29,,
B,000458,000458.jpg,large,2026-07-01,2025-07-01,2026.07.01,2025-7-1:YYYY:p1@640:0.16,,
A,000464,000464.jpg,large,2026-03-19,2026-01-19,2026.03.19,2026-1-19:YYYY:p1@640:0.15,,
B,000472,000472.jpg,large,2025-01-17,2026-01-17,2025 01.17,2026-1-17:YYYY:p1@640:0.35,,
A,000475,000475.jpg,large,2026-07-30,NONE,30/07/26 d,,,
B,000482,000482.jpg,large,2026-11-14,NONE,2026.11.14 b,,,
A,000486,000486.jpg,large,2027-07-15,NONE,2027.07.15,,,
B,000488,000488.jpg,large,2026-02-27,2023-03-22,2026.02.27,2023-3-22:CMP6_YMD:p1@640:0.17,,
A,000491,000491.jpg,large,2026-09-19,2026-08-07,2026.09.19,2026-8-7:YYYY:p1@640:0.54,,
B,000497,000497.jpg,large,2026-08-31,NONE,26.08.31,,,
A,000501,000501.jpg,large,2026-02-24,2026-05-18,26.02.24,2026-5-18:SP_DMY:p1@640:0.35,,
B,000509,000509.jpg,mid,2026-09-01,2025-09-NONE,2026.09.01,2025-9-None:YYMM:p1@640:0.36|None-9-1:MMDD:p1@640:0.36,,
A,000528,000528.jpg,mid,2026-03-11,2026-08-11,2026.03.11,2026-8-11:YYYY:p1@640:0.16,,
B,000537,000537.jpg,mid,2026-05-08,2024-01-21,2026.05.08,2024-1-21:CMP6_YMD:p1@640:0.11,,
A,000543,000543.jpg,mid,2026-06-23,2025-06-23,2026.06.23,2017-5-10:CMP6_DMY:p1@640:0.30|2023-6-25:SP_DMY:p1@640:0.85|2025-6-23:CMP6_YMD:p1@640:0.85,,
B,000544,000544.jpg,mid,2029-06-25,NONE,2029.06.25,,,
A,000563,000563.jpg,mid,2026-01-10,NONE,26.01.10,,,
B,000580,000580.jpg,mid,2026-03-11,2026-02-28,2026.03.11,2026-2-28:YYYY:p1@640:0.52,,
A,000629,000629.jpg,large,2025-09-22,2025-06-02,25.09.22,2025-6-2:SP_YMD:p1@1024:0.52,,
B,000635,000635.jpg,large,2026-02-21,2026-08-22,2026.02.21,2026-8-22:YYYY:p1@640:0.44,,
A,000637,000637.jpg,large,2026-06-17,2026-06-06,2026.06.17,2026-6-None:YYYYMM:p1@640:0.58|2026-6-6:YYYY:p2:0.30,,
B,000643,000643.jpg,large,2026-01-21,2022-02-21,2026.01.21,2018-9-6:SP_DMY:p1@1024:0.16|2022-2-21:SP_DMY:p1@1024:0.16,,
A,000645,000645.jpg,large,2026-05-13,NONE,2026-05-13,,,
B,000665,000665.jpg,large,2026-03-25,2020-03-25,2026.03.25,2020-3-25:YYYY:p1@640:0.67,,
A,000666,000666.jpg,large,2026-03-11,NONE-09-01,2026.03.11,None-9-1:MMDD:p1@640:0.99,,
B,000673,000673.jpg,large,2026-06-02,2026-06-NONE,2026.06.02,2026-6-None:YYYYMM:p1@1024:0.99,,
A,000687,000687.jpg,large,2025-10-17,NONE,2025년10월17일,,,
B,000701,000701.jpg,large,2025-10-05,NONE,25.10.05,,,
A,000702,000702.jpg,large,2025-10-09,NONE,25.10.09,,,
B,000739,000739.jpg,large,2024-08-07,2024-08-08,2024.08.07 2,2023-8-8:YYYY:p1@640:0.30|2024-8-7:YYYY:p1@640:0.30|2024-8-8:DMY4:p1@640:0.30,,
A,000752,000752.jpg,large,2026-07-09,NONE-07-09,26.07.09,None-7-9:MMDD:p1@640:0.73,,
B,000753,000753.jpg,large,2026-03-18,NONE,2026.03.18,,,
A,000767,000767.jpeg,large,2026-03-12,NONE,2026.03.12 b,,,
B,000784,000784.jpeg,large,2027-05-22,2025-05-22,2027.05.22,2025-5-22:CMP:p1@640:0.73,,
A,000785,000785.jpeg,large,2026-10-15,NONE,2026.10.15,,,
B,000791,000791.jpeg,large,2026-06-30,NONE,26.06.30,,,
A,000797,000797.jpeg,large,2026-08-25,2028-08-25,25 08 2026 2,2025-8-25:DMY4:p1@640:0.32|2028-8-25:DMY4:p1@640:0.32,,
B,000802,000802.jpeg,large,2026-07-03,2026-07-08,2026.07.03,2026-7-None:YYYYMM:p1@640:0.31|2026-7-8:YYYY:p2:0.42,,
A,000805,000805.jpeg,large,2027-07-NONE,2019-02-04,2027.7,2019-2-4:SP_YMD:p1@640:0.17,,
B,000816,000816.jpeg,large,2026-10-09,NONE,2026.10.09,,,
A,000818,000818.jpeg,large,2026-05-12,NONE,MAY 12 2026,,,
B,000820,000820.jpeg,large,2026-05-18,NONE,18.05.2026,,,
A,000822,000822.jpeg,large,2026-02-02,NONE,26/02/02,,,
B,000828,000828.jpeg,large,NONE-12-21,NONE,12.21,,,
A,000831,000831.jpeg,large,2026-07-16,2026-07-06,16.07.2026 2,2025-4-None:YYYYMM:p1@640:0.70|2025-7-None:MMYYYY:p1@640:0.70|2025-7-16:DMY4:p2:0.33|2026-7-6:DMY4:p1@640:0.58,,
B,000834,000834.jpeg,large,2026-02-02,NONE,26/02/02,,,
A,000836,000836.jpeg,large,2026-05-18,NONE,18.05.2026,,,
B,000837,000837.jpeg,large,2026-02-21,NONE,2026.02.21,,,
A,000841,000841.jpeg,large,2025-12-22,NONE,2025.12.22,,,
B,000843,000843.jpeg,large,2026-06-17,2018-01-12,17.06.2026,2018-1-12:CMP6_YMD:p1@1024:0.31,,
A,000844,000844.jpeg,large,2026-07-03,2026-07-05,03 07 2026,2026-7-5:DMY4:p1@640:0.26|2021-8-4:YY:p1@640:0.14,,
B,000848,000848.jpeg,large,2026-05-21,NONE,21 05 2026,,,
A,000852,000852.jpeg,large,2026-08-14,NONE,14.08.26 d,,,
B,000862,000862.jpg,mid,2021-10-22,NONE,2021.10.22,,,
A,000868,000868.jpg,small,2021-10-23,NONE,23 10 2021,,,
B,000873,000873.jpg,small,2021-02-26,2018-01-01,FEB/26/21,2018-1-1:SP_DMY:p1@640:0.54,,
A,000886,000886.jpg,small,2021-07-09,2020-01-10,2021.07.09,2020-1-10:CMP6_DMY:p1@640:0.75,,
B,000896,000896.jpg,small,2023-02-15,NONE,2023.02.15,,,
A,000906,000906.jpg,small,2022-01-NONE,NONE,01.2022,,,
B,000917,000917.jpg,small,2022-06-06,NONE,2022.06.06,,,
A,000935,000935.jpg,small,2021-02-10,2021-02-01,21.02.10  2,2021-2-1:SP_YMD:p1@640:0.77,,
B,000939,000939.jpg,mid,2021-10-28,NONE,2021.10.28,,,
A,000943,000943.jpg,small,2021-05-29,NONE,29 05 2021 2 b,,,
B,000945,000945.jpg,small,2021-07-03,NONE,03/07/2021,,,
A,000958,000958.jpg,small,2021-02-22,NONE,21.02.22 2,,,
B,000965,000965.jpg,mid,2020-07-24,2023-07-20,24.07.2020 2,2023-7-20:YY:p1@1024:0.67|2023-7-None:YYMM:p1@1024:0.67,,
A,000968,000968.jpg,small,2022-10-17,2022-10-09,2022.10.17,2022-10-9:YYYY:p1@640:0.62,,
B,000971,000971.jpg,mid,2021-11-11,2021-01-16,2021.11.11,2021-1-16:YYYY:p1@640:0.32,,
A,000974,000974.jpg,small,2022-12-02,NONE,02/12/22 d,,,
B,000986,000986.jpg,small,2021-12-28,2021-01-NONE,DEC-28-2021,2021-1-None:YYYYMM:p1@640:0.16,,
A,000994,000994.jpg,mid,NONE-02-18,NONE,02.18,,,
B,001001,001001.jpg,small,2021-09-07,NONE,07 SEP 21,,,
A,001003,001003.jpg,small,2022-08-24,NONE,2022.08 24,,,
B,001009,001009.jpg,small,2022-11-24,NONE,2022.11.24,,,
A,001021,001021.jpg,small,2021-06-28,NONE,2021.06.28,,,
B,001048,001048.jpg,small,2021-05-12,NONE,2021.05.12,,,
A,001059,001059.jpg,small,2021-10-14,NONE,2021.10.14,,,
B,001075,001075.jpg,small,2021-09-30,2030-09-NONE,30/09/2021,2030-9-None:YYMM:p1@640:0.46,,
A,001091,001091.jpg,small,2021-04-16,NONE,2021.04.16,,,
B,001124,001124.jpg,small,2021-10-09,2021-02-10,09-10-2021,2021-2-10:YYYY:p1@640:0.37|2021-10-None:MMYYYY:p1@640:0.37,,
A,001142,001142.jpg,mid,2021-06-28,NONE,28 JUN 21,,,
B,001153,001153.jpg,small,2021-10-31,NONE,2021/10/31,,,
A,001165,001165.jpg,small,2021-03-01,NONE-09-01,2021.03.01,None-9-1:MMDD:p1@640:0.41,,
B,001180,001180.jpg,small,2023-09-01,NONE,01 SEP 2023,,,
A,001184,001184.jpg,small,2021-10-08,NONE-10-08,2021.10.08,None-10-8:MMDD:p1@640:0.66,,
B,001186,001186.jpg,small,2021-09-28,NONE,21.09.28 2,,,
A,001194,001194.jpg,small,2021-02-11,NONE,11/02/2021 2,,,
B,001198,001198.jpg,small,2021-10-10,NONE,10 10 2021,,,
A,001216,001216.jpg,small,2021-06-13,NONE,2021.06.13,,,
B,001246,001246.jpg,mid,2022-01-19,2022-04-02,22.01.19 2,2022-4-2:SP_DMY:p1@640:0.27|2022-3-None:MMYYYY:p1@640:0.07,,
A,001269,001269.jpg,mid,2021-10-11,NONE,11/Oct/2021 2,,,
B,001273,001273.jpg,mid,2022-06-17,NONE,17/06/2022,,,
A,001286,001286.jpg,small,2022-11-21,2022-01-NONE,21/11/2022,2022-1-None:MMYYYY:p1@640:0.97,,
B,001288,001288.jpg,mid,2023-05-22,NONE-03-08,2023.05.22,None-3-8:MON:mon@1024:0.75,,
A,001305,001305.jpg,small,2021-04-12,NONE,2021.04.12,,,
B,001324,001324.jpg,small,2023-07-09,2023-07-08,09/07/2023 2,2020-7-9:DMY4:p1@640+p2:0.48|2023-7-8:DMY4:p1@640:0.16|2023-7-None:MMYYYY:p1@640+p2:0.40,,
A,001325,001325.jpg,mid,2021-07-22,NONE-02-31,JUL 22 21,None-2-31:MMDD:p1@640+p2:0.43,,
B,001329,001329.jpg,small,2021-06-26,NONE,2021.06.26,,,
A,001337,001337.jpg,small,2021-07-04,NONE-07-04,04-Jul-21,None-7-4:MON:mon@640:0.63,,
B,001343,001343.jpg,small,2021-09-10,2021-10-NONE,SEP 10 2021,2021-10-None:MMYYYY:p1@640+p2:0.14,,
A,001346,001346.jpg,small,2021-08-27,NONE,AUG 27 2021,,,
B,001356,001356.jpg,mid,2022-08-NONE,2023-08-NONE,2022.08 2,None-8-20:MMDD:p1@640:0.47|2023-8-None:MMYYYY:p1@640:0.47|None-6-7:MMDD:p1@640:0.35,,
A,001388,001388.jpg,small,2021-07-17,2021-07-07,17/07/2021,2021-7-7:DMY4:p1@640:0.25,,
B,001393,001393.jpg,mid,2022-07-14,2030-01-NONE,14.JUL.2022,2030-1-None:YYMM:p1@1024:0.01,,
A,001428,001428.jpg,small,2020-08-12,NONE,2020.08.12,,,
B,001444,001444.jpg,small,2021-09-06,2021-07-28,2021.09.06,2021-7-28:YYYY:p1@640:0.78,,
A,001447,001447.jpg,mid,2022-07-22,NONE,2022.07.22,,,
B,001463,001463.jpg,small,2021-11-17,NONE,2021.11.17 b,,,
A,001479,001479.jpg,small,2022-08-27,NONE,2022.08.27,,,
B,001481,001481.jpg,mid,NONE-01-31,NONE,01.31,,,
A,001482,001482.jpg,small,NONE-01-31,NONE,01.31,,,
B,001485,001485.jpg,small,2022-09-28,2022-03-28,28/09/2022,2022-3-28:DMY4:p1@640:0.61|2028-3-None:YYMM:p1@640:0.61,,
A,001494,001494.jpg,small,2023-08-17,2023-01-03,17/AUG/2023,2023-1-None:YYYYMM:p1@640:0.41|2023-1-3:YYYY:p2:0.38,,
B,001497,001497.jpg,small,2022-09-18,2022-09-01,2022-09-18,2022-4-3:SP_DMY:p1@640:0.29|2022-9-1:YYYY:p1@640:0.70,,
A,001515,001515.jpg,small,2022-08-16,2022-08-24,2022.08.16,2022-8-24:YYYY:p1@640:0.39|2026-1-4:CMP6_YMD:p1@640:0.39,,
B,001517,001517.jpg,small,2021-11-19,NONE-11-19,2021.11.19,None-11-19:MMDD:p1@640:0.35,,
A,001519,001519.jpg,small,2022-12-07,NONE,2022.12.07,,,
B,001553,001553.jpg,small,NONE-02-19,NONE,02.19,,,
A,001554,001554.jpg,mid,2020-06-03,2020-05-03,2020.06.03,2020-5-3:YYYY:p1@1024:0.31,,
B,001558,001558.jpg,mid,2021-12-24,2024-12-21,24/12/21 d,2024-12-21:YY:p1@1024:0.70,,
A,001581,001581.jpg,mid,2021-11-05,2021-05-12,2021.11.05,2021-5-12:YYYY:p1@640:0.70,,
B,001584,001584.jpg,small,2021-12-15,2021-12-NONE,2021.12.15,2021-12-None:YYYYMM:p1@640:0.88,,
A,001587,001587.jpg,small,2021-04-20,NONE-04-21,2021.04.20,None-4-21:MMDD:p1@640:0.52,,
B,001591,001591.jpg,small,2021-02-18,NONE,21.02.18,,,
A,001604,001604.jpg,small,2021-02-24,NONE,2021.02.24,,,
B,001609,001609.jpg,small,2021-06-29,NONE,2021.06.29,,,
A,001625,001625.jpg,small,2022-04-26,NONE,2022.04.26,,,
B,001628,001628.jpg,mid,2021-07-23,2021-07-02,2021.07.23,2021-7-2:YYYY:p1@640:0.48,,
A,001660,001660.jpg,small,2022-10-05,NONE,2022.10.05,,,
B,001688,001688.jpg,mid,2021-06-22,2021-07-NONE,22 JUN 2021,2021-7-None:MMYYYY:p1@1024:0.54,,
A,001691,001691.jpg,small,2020-08-16,NONE,2020 08 16,,,
B,001727,001727.jpg,mid,2021-02-08,NONE,2021.02.08,,,
A,001741,001741.jpg,small,2022-11-01,2022-11-04,2022.11.01,2022-11-4:YYYY:p1@640:0.33,,
B,001747,001747.jpg,small,2021-10-12,2020-10-13,21.10.12 2,2020-10-13:YY:p1@640:0.98,,
A,001753,001753.jpg,small,2022-01-10,2022-01-NONE,22.01.10,2022-1-None:YYMM:p1@640:0.47,,
B,001755,001755.jpg,small,2021-12-05,NONE,2021 12 05,,,
A,001771,001771.jpg,small,2019-10-18,NONE,19.10.18 2,,,
B,001776,001776.jpg,mid,2021-04-05,2021-08-NONE,05 04 2021,2021-8-None:MMYYYY:p1@640:0.59,,
A,001777,001777.jpg,small,2021-04-05,2021-04-NONE,05 04 2021,2021-4-None:MMYYYY:p1@640:0.66,,
B,001809,001809.jpg,small,2020-08-13,2020-08-01,20.08.13 2,2020-8-1:YY:p1@640:0.59,,
A,001825,001825.jpg,small,2021-09-07,NONE,2021.09.07,,,
B,001858,001858.jpg,small,2022-07-17,NONE,17/07/2022,,,
A,001892,001892.jpg,small,2022-05-22,NONE-09-25,2022.05.22,None-9-25:MMDD:p1@640+p2:0.73,,
B,001895,001895.jpg,mid,2021-03-17,2021-03-28,2021.03.17,2021-3-17:YYYY:p1@640+p2:0.62|2021-3-28:YYYY:p1@640:0.62,,
A,001906,001906.jpg,small,2021-09-03,2024-02-01,03.09.2021 2,2024-2-1:SP_DMY:p1@640:0.46,,
B,001921,001921.jpg,small,2022-10-15,NONE,2022.10.15 2,,,
A,001937,001937.jpg,small,2021-12-21,NONE,21/12/21,,,
B,001942,001942.jpg,small,2022-05-27,2025-12-27,27.05.2022,2021-12-20:CMP6_YMD:p1@640:0.43|2025-12-27:CMP6_YMD:p1@640:0.43,,
A,001944,001944.jpg,small,2023-09-29,NONE,2023-09-29 t,,,
B,001947,001947.jpg,mid,2022-08-10,2020-06-NONE,10 AUG 2022 2,2020-6-None:MMYYYY:p1@1024:0.13,,
A,001962,001962.jpg,small,2027-03-21,NONE,27/03/21,,,
B,001976,001976.jpg,small,2026-02-21,NONE,26.02.21,,,
A,001977,001977.jpg,mid,2021-01-14,NONE,2021.01.14,,,
B,001981,001981.jpg,small,2022-10-15,NONE-10-15,2022.10.15,None-10-15:MMDD:p1@640:0.68,,
A,002005,002005.jpg,mid,2022-07-27,2022-09-08,2022.07.27,2022-7-27:YYYY:p1@640+p2:0.36|2022-9-8:DMY4:p1@640:0.36,,
B,002031,002031.jpg,small,2019-11-18,NONE,2019.11.18,,,
A,002033,002033.jpg,small,2022-03-22,2022-02-04,2022.03.22,2022-2-4:DMY4:p1@640:0.25,,
B,002052,002052.jpg,small,NONE-04-14,NONE,04.14,,,
A,002081,002081.jpg,mid,2019-09-16,2019-06-NONE,19.09.16 2,2019-6-None:YYMM:p1@640:0.22,,
B,002084,002084.jpg,small,2020-11-06,2020-11-01,06/11/2020,2020-11-1:DMY4:p1@640:0.42,,
A,002108,002108.jpg,small,2020-09-01,2022-09-08,01 09 2020,2022-9-8:SP_DMY:p1@640:0.38,,
B,002172,002172.jpg,small,2020-06-24,2024-06-20,20.06.24,2024-6-20:SP_DMY:p1@640:1.00|2020-6-24:CMP6_YMD:p1@640:1.00,,
A,002182,002182.jpg,mid,2019-02-20,NONE,2019.02.20,,,
B,002200,002200.jpg,small,2021-08-05,2024-08-05,2021.08.05,2024-8-5:YYYY:p1@640:0.62|2024-8-None:YYYYMM:p1@640:0.62,,
A,002209,002209.jpg,small,2022-05-31,NONE,2022.05.31,,,
B,002211,002211.jpg,small,2020-09-22,NONE,20.09.22,,,
A,002224,002224.jpg,mid,2022-09-14,NONE,2022.09.14,,,
B,002239,002239.jpg,small,2022-06-30,NONE,2022/06/30,,,
A,002243,002243.jpg,small,2022-03-13,NONE,2022.03.13,,,
B,002245,002245.jpg,small,2021-05-21,2021-05-NONE,21/05/21 2,2021-5-None:YYMM:p1@640:0.59,,
A,002284,002284.jpg,mid,2022-01-06,2021-01-07,22.01.06 2,2021-1-7:YY:p1@640:0.49|2022-1-None:YYMM:p1@640:0.42,,
B,002289,002289.jpg,small,2021-12-18,NONE,18.12.2021,,,
A,002293,002293.jpg,small,2021-07-03,NONE,2021.07.03,,,
B,002314,002314.jpg,small,2021-10-17,2020-10-17,2021.10.17,2020-10-17:DMY4:p1@640:0.31,,
A,002317,002317.jpg,mid,2020-12-03,2027-03-12,2020.12.03,2020-12-3:YYYY:p1@640:0.46|2027-3-12:DDMMYY:p1@640:0.46,,
B,002334,002334.jpg,small,2021-10-04,NONE,21.10.04,,,
A,002378,002378.jpg,small,2022-12-21,2022-01-NONE,2022.12.21,2022-1-None:MMYYYY:p1@640:0.46,,
B,002402,002402.jpg,small,2022-11-04,NONE,2022/11/04,,,
A,002433,002433.jpg,small,2020-07-16,NONE,20.07.16 ?,,,
B,002436,002436.jpg,small,2021-06-03,NONE,03.06.2021,,,
A,002464,002464.jpg,mid,2022-05-NONE,2022-05-11,05/2022,2022-5-11:DMY4:p1@640:0.39,,
B,002492,002492.jpg,small,2022-09-08,NONE,08.09.22,,,
A,002540,002540.jpg,mid,2021-12-19,NONE,19/12/2021,,,
B,002547,002547.jpg,small,2022-04-NONE,NONE,2022.04,,,
A,002548,002548.jpg,large,2021-04-02,NONE,2021.04.02,,,
B,002589,002589.jpg,small,2023-10-15,NONE,2023.10.15 2,,,
A,002591,002591.jpg,small,2023-10-27,2023-10-30,2023.10.27,2023-10-30:DMY4:p1@640:0.76,,
B,002593,002593.jpg,small,2023-08-11,NONE,2023.08.11,,,
A,002597,002597.jpg,small,2022-10-22,NONE,2022/10/22,,,
B,002604,002604.jpg,mid,2017-11-23,2017-11-NONE,17/11/23,2017-11-None:YYMM:p1@1024:0.72,,
A,002605,002605.jpg,small,2017-11-23,NONE,17/11/23,,,
B,002609,002609.jpg,small,2022-01-17,NONE,2022.01.17,,,
A,002632,002632.jpg,small,2022-01-20,NONE,2022.01.20,,,
B,002643,002643.jpg,mid,2022-11-NONE,NONE,11.2022,,,
A,002646,002646.jpg,small,2021-12-14,NONE,2021 12 14,,,
B,002650,002650.jpg,small,2021-07-01,NONE,01.07.2021,,,
A,002665,002665.jpg,mid,2021-03-26,2021-01-20,26 MAR 2021,None-5-25:MMDD:p1@640:0.05|2021-1-20:YYYY:p1@640:0.62,,
B,002666,002666.jpg,small,2021-03-26,NONE-03-26,26 MAR 2021,None-3-26:MON:mon@640:0.64,,
A,002672,002672.jpg,small,2021-04-05,NONE,2021.04.05,,,
B,002700,002700.jpg,small,2021-08-23,2021-09-01,2021.08.23,2021-9-1:YYYY:p1@640:0.38|2021-8-19:DMY4:p1@640:0.38,,
A,002714,002714.jpg,small,2021-10-22,NONE,22/10/2021 b ?,,,
B,002717,002717.jpg,mid,2022-03-01,NONE,2022.03.01,,,
A,002723,002723.jpg,large,2020-12-19,2019-12-20,19/12/20 d,2019-12-20:YY:p1@640:0.66,,
B,002738,002738.jpg,mid,2021-06-05,2023-01-05,2021.06.05,2023-1-5:SP_DMY:p1@1024:0.01,,
A,002742,002742.jpg,mid,2021-08-13,NONE,2021.08.13,,,
B,002744,002744.jpg,mid,2021-01-10,NONE,10.01.21 2 d,,,
A,002749,002749.jpg,mid,2020-12-NONE,2020-12-08,12.2020,2020-12-8:DMY4:p1@640:0.60,,
B,002783,002783.jpg,small,2021-04-22,NONE,22/04/2021,,,
A,002788,002788.jpg,large,2021-04-03,2021-01-03,2021/04/03,2021-1-3:YYYY:p1@640:0.68,,
B,002800,002800.jpg,small,2021-12-27,NONE,2021.12.27 2,,,
A,002805,002805.jpg,large,2023-01-13,NONE,2023.01.13,,,
B,002813,002813.jpg,mid,2021-04-02,NONE-04-02,2021.04.02,None-4-2:MMDD:p1@1024:0.59,,
A,002814,002814.jpg,small,2021-04-02,NONE,2021.04.02,,,
B,002826,002826.jpg,mid,2021-07-03,2021-04-03,03 JUL 2021,2021-4-3:DMY4:p1@1024:0.67,,
A,002831,002831.jpg,small,2022-05-21,NONE,2022.05.21,,,
B,002840,002840.jpg,small,2021-05-24,2021-08-05,2021.05.24,2021-8-5:YYYY:p1@640:0.60,,
A,002865,002865.jpg,small,2023-02-03,2020-03-30,03/02/2023,2020-3-30:SP_DMY:p1@640:0.57,,
B,002867,002867.jpg,small,2022-02-28,NONE,28/02/22,,,
A,002887,002887.jpg,small,2022-01-04,NONE,2022.01.04,,,
B,002922,002922.jpg,small,2021-09-12,NONE,12.09.2021,,,
A,002926,002926.jpg,small,2021-11-06,NONE,2021.11.06,,,
B,002927,002927.jpg,large,NONE-04-08,NONE,04.08,,,
