담당,image_id,file,stratum,정답,예측,raw,후보,원인,메모
A,002287,002287.jpg,small,2023-12-31,2021-12-31,23.12.31,2021-12-31:YY:p2:0.50,,
B,002433,002433.jpg,small,2020-07-16,NONE,20.07.16 ?,,,
A,002436,002436.jpg,small,2021-06-03,2020-02-02,03.06.2021,2020-2-2:SP_DMY:p1@640:0.14,,
B,002444,002444.jpg,small,2021-11-11,NONE,11/11/21   d,,,
A,002529,002529.jpg,small,2021-10-19,NONE,2021.10.19,,,
B,002545,002545.jpg,small,2021-03-21,NONE,2021.03.21,,,
A,002548,002548.jpg,large,2021-04-02,NONE,2021.04.02,,,
B,002604,002604.jpg,mid,2017-11-23,2023-11-17,17/11/23,2023-11-17:CMP6_DMY:p2:0.76,,
A,002605,002605.jpg,small,2017-11-23,NONE,17/11/23,,,
B,002654,002654.jpg,small,2020-12-08,2025-11-30,2020-12-08,None-12-8:MMDD:p2:0.94|2025-11-30:YYYY:p2:0.21,,
A,002666,002666.jpg,small,2021-03-26,NONE,26 MAR 2021,,,
B,002700,002700.jpg,small,2021-08-23,2020-04-23,2021.08.23,2020-4-23:SP_DMY:p2:0.69,,
A,002717,002717.jpg,mid,2022-03-01,NONE,2022.03.01,,,
B,002762,002762.jpg,small,2023-06-01,2020-06-11,2023/06/01 2,2020-6-11:YYYY:p2:0.52|2020-1-6:DMY4:p2:0.52,,
A,002783,002783.jpg,small,2021-04-22,2028-09-11,22/04/2021,2028-9-11:SP_YMD:p2:0.64,,
B,002800,002800.jpg,small,2021-12-27,2031-01-11,2021.12.27 2,2031-1-11:CMP6_DMY:p1@640:0.48,,
A,002805,002805.jpg,large,2023-01-13,2023-01-19,2023.01.13,2023-1-19:YMD_GLUED:p2:0.46,,
B,002813,002813.jpg,mid,2021-04-02,NONE-04-02,2021.04.02,None-4-2:MMDD:p1@640:0.79,,
A,002814,002814.jpg,small,2021-04-02,NONE,2021.04.02,,,
B,002826,002826.jpg,mid,2021-07-03,2021-06-12,03 JUL 2021,2021-6-12:YYYY:p1@1024:0.93,,
A,002840,002840.jpg,small,2021-05-24,2021-09-11,2021.05.24,2021-5-24:YYYY:p2:0.95|2021-9-11:DMY4:p2:0.95,,
B,002858,002858.jpg,small,2023-06-02,NONE,02 06 23,,,
A,002865,002865.jpg,small,2023-02-03,NONE,03/02/2023,,,
B,002867,002867.jpg,small,2022-02-28,NONE,28/02/22,,,
A,002922,002922.jpg,small,2021-09-12,NONE,12.09.2021,,,
B,002927,002927.jpg,large,NONE-04-08,NONE-04-05,04.08,None-4-5:MMDD:p2:0.28,,
A,003011,003011.jpg,small,2021-12-11,NONE,11 12 2021,,,
B,003019,003019.jpg,small,2021-11-13,2021-11-NONE,21.11.13,2021-11-None:YYMM:p2:0.73,,
A,003079,003079.jpg,mid,2021-11-01,NONE,2021.11.01,,,
B,003123,003123.jpg,small,2021-09-15,NONE,15.09.2021 2,,,
A,003171,003171.jpg,large,2021-11-11,NONE,2021.11.11 2,,,
B,003174,003174.jpg,large,2020-08-13,2022-08-13,2020/08/13,2020-8-13:YYYY:p2:0.99|2022-8-13:YYYY:p2:0.87,,
A,003190,003190.jpg,small,2022-08-16,NONE,AUG 16 2022,,,
B,003293,003293.jpg,small,2022-12-02,2019-07-16,2022/12/02,2019-7-16:SP_YMD:p2:0.51,,
A,003304,003304.jpg,mid,2025-03-NONE,2025-03-02,03/2025,2025-3-2:DMY4:p1@640:0.86,,
B,003313,003313.jpg,mid,2021-07-05,NONE,2021.07.05,,,
A,003319,003319.jpg,small,2021-10-20,NONE,2021.10.20,,,
B,003320,003320.jpg,small,2021-09-02,2021-03-20,02/09/2021,2021-3-20:YYYY:p1@640:0.38,,
A,003324,003324.jpg,mid,2021-06-01,NONE,01 JUN 2021,,,
B,3352,3352.jpeg,large,2025-12-10,NONE,25.12.10 2,,,
