image_id,label,old,tags,ko,sec
000295,2025-11-08,2025-11-08,,2025-11-08,3.0
000300,2026-05-21,2026-05-21,,2026-05-21,2.9
000303,2026-07-31,2026-07-31,,2026-07-31,3.5
000306,2026-09-16,2026-09-16,,2026-09-16,2.5
000310,2026-09-28,2026-09-28,,2026-09-28,8.5
000315,2026-07-19,2026-07-19,,2026-07-19,1.5
000319,2026-02-14,2026-02-14,,2026-02-14,2.2
000323,2025-12-21,2025-12-21,2,2025-12-21,3.7
000326,2025-10-18,2025-10-18,,2025-10-18,4.1
000330,2025-11-02,2025-11-02,2,2025-11-02,5.7
000333,2025-11-07,2025-11-07,,2025-11-07,2.5
000336,2025-11-20,2025-11-20,,2025-11-20,17.5
000340,2026-08-11,2026-08-11,,2026-08-11,1.7
000344,2026-08-04,2026-08-04,,2026-08-04,1.6
000347,2027-05-26,2027-05-26,,2027-05-26,1.6
000350,2027-05-15,2027-05-15,,2027-05-15,3.8
000354,2027-07-06,2027-07-06,,2027-07-06,3.8
000357,2027-08-11,2027-08-11,,2027-08-11,3.1
000361,2026-12-19,2026-12-12,,2026-12-12,13.9
000365,2026-03-11,2026-03-11,,2026-03-11,3.9
000368,2026-09-22,2026-09-22,,2026-09-22,14.0
000371,2026-02-15,2026-02-15,,2026-02-15,1.8
000374,2026-08-28,2026-08-28,,2026-08-28,10.0
000377,2026-07-01,2026-07-01,,2026-07-01,32.1
000380,2026-09-02,2026-09-02,,2026-09-02,2.1
000383,2026-04-03,2026-04-03,,2026-04-03,3.7
000386,2026-06-10,2025-06-11,2,2026-11-06,5.4
000391,2026-12-10,2026-12-10,,2026-12-10,2.4
000394,2026-04-14,2026-04-14,,2026-04-14,7.7
000398,2027-07-30,2027-07-30,,2027-07-30,2.1
000402,2019-04-28,2019-04-28,,2019-04-28,4.8
000405,2027-10-15,2020-07-01,,2020-07-01,52.1
000408,2025-10-09,2025-10-09,2,2025-10-09,2.8
000412,2026-01-19,2026-01-19,,2026-01-19,4.6
000417,2026-03-15,2026-03-15,,2026-03-15,2.2
000420,2025-12-04,2025-12-04,,2025-12-04,3.7
000423,2026-06-04,2026-06-02,b,2026-06-02,4.4
000426,2026-12-26,2026-12-26,,2026-12-26,2.5
000430,2028-02-01,2028-02-01,,2028-02-01,3.9
000434,2026-10-28,2026-10-28,,2026-10-28,2.6
000437,2025-11-19,NONE,,NONE,22.2
000440,2026-08-13,NONE,2,NONE,25.3
000444,2026-07-01,2026-07-01,,2026-07-01,3.1
000448,2026-08-20,2026-08-20,,2026-08-20,2.3
000451,2026-02-27,2025-08-28,2,2026-02-27,4.9
000454,2025-07-15,2025-07-15,2,2025-07-15,4.0
000459,2026-01-19,NONE-01-19,,NONE-01-19,39.2
000464,2026-03-19,2026-05-19,,2026-05-19,11.1
000467,2025-12-26,2025-12-26,,2025-12-26,5.0
000470,2026-08-06,2026-08-06,,2026-08-06,2.2
000474,2026-06-26,2026-06-06,,2026-06-06,3.8
000478,2026-06-11,NONE,,NONE,18.1
000481,2026-03-09,2026-03-09,,2026-03-09,2.2
000484,2027-11-14,2027-11-14,,2027-11-14,4.2
000489,2026-05-08,2026-05-08,,2026-05-08,15.7
000494,2025-12-12,2025-12-12,2,2025-12-12,7.8
000497,2026-08-31,NONE,,NONE,19.8
000500,2026-12-17,2026-12-17,2,2026-12-17,6.2
000504,2026-02-28,2026-02-28,,2026-02-28,2.7
000507,2026-05-19,2025-08-20,2,2026-05-19,12.0
000512,2026-02-17,2026-02-17,,2026-02-17,3.0
000516,2026-07-16,2026-07-16,,2026-07-16,3.3
000519,2026-08-10,2026-08-10,2,2026-08-10,4.2
000522,2026-02-21,NONE,2,NONE,29.4
000525,2027-09-08,2027-09-08,,2027-09-08,3.1
000530,2026-06-24,2030-12-14,,2030-12-14,7.7
000533,2026-03-26,2026-03-26,,2026-03-26,3.3
000536,2026-01-01,2026-01-01,,2026-01-01,2.4
000540,2026-03-24,2026-03-24,,2026-03-24,2.0
000543,2026-06-23,2026-06-02,,2026-06-23,4.0
000547,2026-05-28,2026-05-28,,2026-05-28,2.7
000550,2026-05-29,2026-05-29,,2026-05-29,2.9
000553,2028-10-24,2022-10-24,,2022-10-24,7.5
000556,2026-08-07,2026-08-07,e,2026-08-07,4.5
000559,2027-04-21,2027-04-21,,2027-04-21,2.0
000562,2025-12-30,2025-12-30,,2025-12-30,4.2
000565,2025-12-05,2025-12-05,,2025-12-05,2.1
000568,2026-02-23,2026-02-23,,2026-02-23,3.3
000571,NONE-10-18,2024-11-18,,2024-11-18,3.1
000574,2026-02-24,NONE-02-24,,2026-02-24,1.8
000577,2026-04-20,2026-04-20,,2026-04-20,2.2
000581,2026-02-25,2026-02-25,,2026-02-25,2.5
000584,2026-07-15,2026-07-15,2,2026-07-15,4.3
000587,2026-02-07,2026-02-17,,2026-02-17,6.6
000590,2025-12-05,2025-12-05,,2025-12-05,2.2
000593,2026-07-22,2026-07-22,,2026-07-22,4.0
000596,2026-08-13,2025-08-14,,2025-08-14,10.5
000599,2026-09-04,2026-09-04,,2026-09-04,3.2
000602,2026-09-22,2025-09-20,2,2025-09-20,4.3
000605,2028-07-01,2028-07-01,,2028-07-01,5.5
000608,2026-08-13,2026-08-13,,2026-08-13,6.0
000611,2026-07-20,2026-07-20,,2026-07-20,9.3
000614,2026-03-07,2026-03-07,,2026-03-07,3.6
000619,2026-09-15,2026-09-15,,2026-09-15,1.7
000623,2027-03-10,2027-03-10,,2027-03-10,2.0
000626,2026-07-01,2026-07-01,,2026-07-01,1.5
000631,2025-11-15,2025-11-15,,2025-11-15,2.0
000634,2026-02-05,2026-02-05,,2026-02-05,2.0
000640,2026-02-08,2026-02-08,,2026-02-08,1.5
000646,2027-01-15,2027-01-15,,2027-01-15,1.2
000650,2026-08-05,2026-08-05,,2026-08-05,1.8
000653,2027-01-19,2027-01-19,,2027-01-19,1.6
000656,2026-09-04,2026-09-04,,2026-09-04,1.5
000659,2026-08-24,2026-08-24,,2026-08-24,1.6
000662,2026-03-11,2026-03-11,,2026-03-11,2.1
000668,2026-04-30,2026-04-30,,2026-04-30,1.2
000671,2026-03-31,2025-10-01,,2026-03-31,4.1
000675,NONE,2028-06-03,?,2028-06-03,1.4
000678,2026-07-24,2026-07-24,,2026-07-24,1.6
000682,2026-01-25,2026-01-25,,2026-01-25,1.8
000685,2026-05-28,2026-05-28,,2026-05-28,1.7
000690,2025-10-11,2025-10-11,2,2025-10-11,3.2
000693,2026-09-01,2026-09-01,2,2026-09-01,3.4
000699,2025-10-27,NONE,b,NONE,17.8
000704,2026-07-29,2026-07-29,,2026-07-29,1.7
000708,2025-09-18,2025-09-18,,2025-09-18,1.1
000711,2025-10-09,2025-10-09,,2025-10-09,1.7
000716,2025-11-07,2025-11-07,,2025-11-07,1.7
000719,2026-04-04,2026-04-04,,2026-04-04,1.4
000722,2026-08-04,2026-10-19,,2026-10-19,2.7
000725,2026-04-16,2026-04-16,,2026-04-16,3.1
000728,2026-06-24,2026-06-24,,2026-06-24,1.2
000732,2026-03-16,2026-03-15,,2026-03-15,1.9
000735,2027-01-12,2027-01-12,,2027-01-12,3.5
000741,2025-12-03,2025-12-03,2,2025-12-03,3.3
000744,2027-08-18,2027-08-18,,2027-08-18,2.3
000747,2026-06-22,2026-06-22,,2026-06-22,2.0
000752,2026-07-09,2026-07-09,,2026-07-09,2.7
000757,NONE-10-22,NONE-10-22,,NONE-10-22,2.6
000760,NONE-11-20,NONE-11-20,,NONE-11-20,2.8
000763,NONE-11-12,NONE-11-12,,NONE-11-12,19.6
000766,2026-09-24,2026-09-24,,2026-09-24,1.6
000769,2026-12-10,2026-12-10,,2026-12-10,2.2
000772,NONE-12-20,NONE,,NONE,38.4
000775,2025-12-17,2025-12-17,,2025-12-17,1.8
000778,2026-06-22,2026-06-22,,2026-06-22,1.9
000781,2026-10-02,2026-10-02,,2026-10-02,1.6
000788,NONE-12-21,NONE-12-21,,NONE-12-21,7.3
000793,2026-05-06,2026-05-06,,2026-05-06,1.8
000796,2026-07-14,NONE,2,NONE,20.4
000801,2026-03-25,2026-03-25,,2026-03-25,2.3
000806,2026-10-02,2026-10-02,,2026-10-02,2.6
000809,2026-08-30,2026-08-30,,2026-08-30,1.9
000812,2026-05-29,2026-05-29,,2026-05-29,2.1
000818,2026-05-12,NONE,,NONE,23.0
000823,2027-02-23,2027-02-23,,2027-02-23,2.7
000826,2026-06-22,2026-06-22,,2026-06-22,4.9
000830,2025-12-20,2025-12-20,,2025-12-20,2.2
000833,2026-04-27,2026-04-27,,2026-04-27,2.1
000840,2026-01-01,NONE-01-31,,NONE-12-12,5.5
000846,2026-05-28,2026-05-28,,2026-05-28,2.8
000849,2026-05-21,2026-05-21,,2026-05-21,2.1
000854,2026-09-04,2026-09-04,,2026-09-04,4.7
000857,2025-01-28,2025-01-28,,2025-01-28,4.8
000860,2022-07-23,2022-07-23,,2022-07-23,5.1
000865,2021-09-25,2021-09-25,,2021-09-25,2.6
000868,2021-10-23,NONE,,NONE,11.6
000872,2021-02-26,2021-02-26,,2021-02-26,2.5
000876,2021-07-01,2021-07-01,,2021-07-01,1.4
000879,2021-05-11,2021-05-11,,2021-05-11,6.5
000882,2021-06-08,2021-06-08,,2021-06-08,2.5
000885,2021-07-09,2020-01-10,,2020-01-10,2.2
000888,2021-12-04,2021-12-04,,2021-12-04,3.2
000891,2021-04-05,2021-04-05,,2021-04-05,12.4
000894,2021-06-02,2021-06-02,,2021-06-02,1.8
000898,2025-05-19,2025-05-19,,2025-05-19,17.9
000902,2021-11-01,2021-11-01,,2021-11-01,3.4
000905,2022-01-NONE,2022-01-NONE,,2022-01-NONE,3.2
000909,2021-09-20,2021-09-20,,2021-09-20,1.3
000912,2022-05-05,2022-05-05,,2022-05-05,3.3
000915,2021-07-21,2021-07-21,,2021-07-21,3.3
000919,2022-03-11,2022-03-11,,2022-03-11,4.0
000923,NONE-02-01,2020-01-02,,2020-01-02,2.3
000926,2021-06-10,2021-06-10,,2021-06-10,2.1
000929,2022-03-13,2022-03-13,,2022-03-13,3.7
000932,2021-05-26,2021-05-26,,2021-05-26,3.2
000936,2021-10-19,2021-10-19,2,2021-10-19,2.6
000940,2021-10-28,NONE,,NONE,10.5
000944,2021-07-03,2021-07-03,,2021-07-03,4.7
000948,2021-10-24,2021-10-24,2,2021-10-24,6.0
000951,2021-04-05,2021-04-05,,2021-04-05,2.6
000954,2021-02-05,2021-02-05,2,2021-02-05,1.9
000958,2021-02-22,2021-02-22,2,2021-02-22,2.4
000961,2023-10-21,2023-10-21,,2023-10-21,2.8
000965,2020-07-24,2023-03-20,2,2023-07-20,40.9
000968,2022-10-17,2022-10-NONE,,2022-10-NONE,3.7
000972,2021-06-25,2021-06-25,,2021-06-25,1.0
000976,2023-08-03,2023-08-03,,2023-08-03,2.9
000979,2021-06-14,2021-06-14,2,2021-06-14,4.7
000983,2021-08-20,2021-08-20,,2021-08-20,8.8
000988,2021-12-28,2021-12-28,,2021-12-28,2.5
000991,2021-03-04,NONE,,NONE,34.5
000994,NONE-02-18,NONE,,NONE,23.0
000997,NONE-02-19,NONE,,NONE,10.0
001000,2021-09-07,2021-09-07,,2021-09-07,6.2
001005,2020-08-10,2020-08-10,,2020-08-10,12.9
001008,2022-11-24,2022-11-24,,2022-11-24,2.3
001013,2021-11-10,2021-11-10,2,2021-11-10,3.5
001016,2021-02-21,2021-02-21,,2021-02-21,2.6
001019,2021-05-15,NONE,b,NONE,9.1
001023,2021-07-13,2021-07-13,,2021-07-13,2.3
001026,2020-12-09,2020-12-09,,2020-12-09,3.3
001029,2021-07-07,2021-07-07,2,2021-07-07,3.1
001034,2021-06-28,2021-06-28,,2021-06-28,3.3
001037,2021-03-18,2021-03-18,,2021-03-18,1.9
001040,2022-04-15,2022-04-15,,2022-04-15,1.7
001043,2021-09-13,2021-09-13,,2021-09-13,2.4
001046,2021-10-07,2021-10-07,,2021-10-07,3.4
001050,2022-01-06,2022-01-06,,2022-01-06,4.1
001053,2022-09-01,2022-09-01,,2022-09-01,8.3
001056,2022-05-27,2022-05-27,,2022-05-27,3.8
001061,2022-07-04,2022-07-04,2,2022-07-04,6.4
001065,2022-05-04,2022-05-04,,2022-05-04,5.1
001068,2021-03-15,2021-03-15,,2021-03-15,1.8
001071,NONE-01-24,NONE-01-24,,NONE-01-24,2.7
001075,2021-09-30,2021-09-30,,2021-09-30,5.0
001079,2023-09-24,2023-09-24,,2023-09-24,1.8
001082,2021-06-17,2021-06-17,,2021-06-17,3.6
001085,2023-10-09,2023-10-09,,2023-10-09,4.0
001088,2022-06-14,2022-06-14,,2022-06-14,1.7
001092,2021-03-19,2021-03-19,2,2021-03-19,5.1
001095,2022-01-12,2022-01-NONE,2,2021-01-13,2.6
001098,2021-03-18,2021-03-18,2,2021-03-18,5.8
001102,2021-03-14,2021-03-14,,2021-03-14,4.1
001105,2021-08-26,2020-08-26,2,2020-11-02,2.5
001108,2021-02-28,2021-02-28,,2021-02-28,2.3
001111,2022-07-12,2022-07-12,,2022-07-12,3.6
001114,2023-11-15,2023-11-15,,2023-11-15,2.7
001117,2022-01-20,2022-01-20,,2022-01-20,1.6
001121,2023-01-10,2023-01-10,,2023-01-10,4.7
001124,2021-10-09,2021-10-09,,2021-10-09,3.7
001127,2021-06-10,2021-06-10,2,2021-06-10,3.7
001130,NONE-02-12,2020-08-07,,2020-08-07,22.0
001133,2021-02-19,2021-02-19,2,2021-02-19,3.3
001136,2022-09-24,NONE,,NONE,7.1
001139,2021-02-28,2021-02-28,,2021-02-28,2.5
001143,2021-06-26,2021-06-28,t,2021-06-28,2.5
001146,2021-12-13,2021-12-13,2,2021-12-13,5.3
001149,2022-07-31,2022-07-31,,2022-07-31,3.2
001152,2021-10-31,2021-10-31,,2021-10-31,5.6
001156,2021-02-07,2021-02-07,,2021-02-07,2.5
001159,2021-08-10,2021-08-10,,2021-08-10,2.5
001162,2021-12-06,2021-12-06,,2021-12-06,2.7
001166,2022-01-20,NONE,,NONE,42.0
001170,2022-01-18,2022-01-18,,2022-01-18,2.5
001173,2021-09-NONE,2021-09-NONE,,2021-09-NONE,4.0
001176,2021-09-07,2021-09-07,d,2021-09-07,8.5
001179,2023-09-01,2023-09-01,,2023-09-01,12.6
001183,2021-10-08,2021-10-08,,2021-10-08,2.5
001188,2020-04-23,2020-04-23,,2020-04-23,9.8
001191,2020-12-08,2020-12-08,,2020-12-08,3.8
001195,2021-10-18,2021-10-18,,2021-10-18,5.4
001198,2021-10-10,2021-10-10,,2021-10-10,2.3
001201,2022-07-16,2022-07-16,,2022-07-16,2.4
001205,NONE-05-21,NONE-05-21,,NONE-05-21,3.5
001208,2020-08-18,2020-08-18,,2020-08-18,2.4
001211,2021-07-03,2021-07-03,,2021-07-03,3.8
001214,2021-05-15,2021-05-15,,2021-05-15,4.2
001218,2022-05-30,2022-05-30,,2022-05-30,2.0
001221,2021-11-10,2021-11-10,,2021-11-10,3.0
001224,2021-04-11,2021-04-11,,2021-04-11,2.8
001227,2022-01-11,2022-01-11,2,2022-01-11,4.0
001230,2021-10-28,2021-10-28,,2021-10-28,3.3
001233,2021-03-09,2021-03-09,,2021-03-09,2.7
001238,NONE-01-31,NONE-01-31,,NONE-01-31,19.3
001241,2022-06-13,2022-06-01,,2022-06-13,2.8
001245,2021-11-01,2021-11-01,,2021-11-01,2.2
001248,2021-07-15,2021-07-15,,2021-07-15,16.6
001251,2021-04-11,2021-01-12,2,2021-04-11,4.0
001254,2019-09-13,2019-09-13,,2019-09-13,2.4
001257,2023-07-03,NONE,,NONE,8.3
001261,2021-03-25,NONE,,NONE,32.9
001264,2022-12-03,2022-12-03,,2022-12-03,3.7
001267,2022-09-05,2022-09-05,,2022-09-05,5.1
001271,2023-07-08,2023-07-08,,2023-07-08,2.2
001274,2022-06-17,2022-06-17,,2022-06-17,4.4
001278,2022-01-03,2022-01-03,2,2022-01-03,5.7
001281,2025-08-05,2025-08-05,,2025-08-05,4.2
001284,2022-04-23,2022-04-23,,2022-04-23,3.1
001290,2024-11-21,2024-01-21,,2024-11-21,3.6
001294,2021-11-NONE,2021-11-NONE,,2021-11-NONE,4.0
001297,2023-11-NONE,2023-11-NONE,,2023-11-NONE,6.5
001301,2021-11-29,2021-11-29,2,2021-11-29,4.3
001304,2021-04-12,2021-04-12,,2021-04-12,2.2
001307,2022-11-06,2022-11-06,,2022-11-06,2.1
001310,2021-04-20,2021-04-30,bt,2021-04-30,3.6
001313,2022-01-15,NONE,,NONE,40.7
001316,2021-12-09,2021-12-09,,2021-12-09,2.8
001320,2021-11-22,2028-12-07,,2028-12-07,5.0
001324,2023-07-09,2023-07-09,2,2023-07-09,5.6
001328,2021-06-26,2021-06-26,,2021-06-26,2.8
001333,2021-12-NONE,2021-12-NONE,,2021-12-NONE,2.7
001336,2021-07-04,2021-07-04,,2021-07-04,5.3
001340,2021-11-25,2021-11-25,2,2021-11-25,5.8
001343,2021-09-10,2021-09-10,,2021-09-10,3.2
001347,2021-10-31,2021-10-31,,2021-10-31,0.9
001350,2021-08-21,2021-08-21,,2021-08-21,2.9
001353,2022-06-27,2022-06-27,,2022-06-27,2.0
001357,NONE-08-20,2022-08-NONE,,2022-08-NONE,4.8
001361,2021-09-02,NONE-09-21,,NONE-09-21,13.5
001364,2021-02-NONE,2018-02-02,,2018-02-02,10.6
001368,2021-08-19,NONE,,NONE,21.2
001371,2022-04-27,2022-04-27,,2022-04-27,4.1
001374,2022-05-NONE,2022-05-NONE,,2022-05-NONE,5.4
001377,2021-12-02,NONE,,NONE,7.3
001380,2021-04-09,2021-04-09,,2021-04-09,3.7
001383,2023-01-05,NONE,,NONE,15.9
001387,2021-07-17,2021-07-07,,2021-07-07,5.0
001390,2021-06-20,2021-06-20,,2021-06-20,3.5
001393,2022-07-14,2022-07-14,,2022-07-14,5.1
001396,2022-11-01,2022-11-01,,2022-11-01,2.9
001399,2021-07-23,2021-07-23,,2021-07-23,3.9
001402,2020-09-29,2020-09-29,,2020-09-29,3.3
001405,2021-01-27,2021-01-27,,2021-01-27,3.2
001408,2021-12-16,2021-12-16,,2021-12-16,4.8
001412,2022-09-06,2022-09-06,,2022-09-06,12.3
001415,2022-04-20,2022-04-20,,2022-04-20,2.6
001419,2021-07-18,2021-07-18,,2021-07-18,2.2
001423,2021-11-NONE,2021-11-17,,2021-11-17,4.4
001427,2020-08-12,2020-08-12,,2020-08-12,3.6
001431,2021-08-19,2021-08-01,,2021-08-01,9.7
001435,2021-10-04,2021-02-18,,2021-02-18,12.7
001439,2021-09-03,2021-09-03,,2021-09-03,2.6
001442,2021-06-24,2021-06-24,,2021-06-24,3.8
001445,2021-10-28,2021-10-28,,2021-10-28,1.5
001449,2022-10-28,2022-10-28,,2022-10-28,1.3
001452,2022-09-13,2021-08-07,,2021-08-07,3.0
001455,2022-04-02,2022-01-02,,2022-04-02,5.6
001458,2022-10-29,2022-10-29,,2022-10-29,1.9
001461,2022-01-20,2022-01-20,,2022-01-20,4.2
001465,2022-11-18,NONE-11-18,,NONE-11-18,4.0
001468,2022-12-03,2022-12-03,,2022-12-03,3.9
001471,2021-12-29,2021-12-29,,2021-12-29,4.7
001474,2022-07-10,2022-07-10,,2022-07-10,2.1
001477,2022-05-10,NONE,2,NONE,15.4
001481,NONE-01-31,NONE,,NONE,24.5
001485,2022-09-28,2022-09-28,,2022-09-28,4.0
001488,2021-07-12,2021-07-12,,2021-07-12,1.1
001492,2023-07-08,2023-07-08,,2023-07-08,1.7
001495,2021-11-22,2021-11-22,,2021-11-22,2.0
001499,2021-06-30,2021-06-30,,2021-06-30,3.0
001503,2021-06-24,2021-06-24,,2021-06-24,1.4
001506,2021-02-19,2021-02-19,,2021-02-19,3.5
001509,2021-10-19,2021-10-19,,2021-10-19,4.1
001514,2022-08-16,2022-08-16,,2022-08-16,2.0
001520,2021-07-08,2021-07-10,,2021-07-10,9.9
001523,2021-06-14,2021-01-15,2,2021-01-15,1.4
001526,2021-01-21,2021-01-21,,2021-01-21,5.3
001529,2021-02-11,2021-02-11,,2021-02-11,2.1
001532,2022-06-21,2022-06-21,,2022-06-21,4.3
001536,2021-02-19,2021-02-19,,2021-02-19,4.8
001540,2021-06-13,2021-06-13,2,2021-06-13,4.2
001543,2022-01-22,2022-01-22,,2022-01-22,1.8
001546,2021-07-04,2021-07-04,,2021-07-04,3.1
001549,2022-09-28,NONE,,NONE,9.1
001552,NONE-02-19,NONE-02-19,,NONE-02-19,2.5
001557,2022-03-16,2022-03-16,2,2022-03-16,3.7
001561,2022-06-11,2022-06-11,,2022-06-11,1.6
001564,2020-08-05,NONE,2,NONE,11.6
001567,2020-04-23,2020-01-15,,2020-01-15,7.3
001572,2021-06-11,2021-06-11,,2021-06-11,2.5
001576,2022-03-27,2022-03-27,,2022-03-27,3.6
001579,2022-11-02,2022-11-02,,2022-11-02,2.0
001583,2021-12-15,2021-12-15,,2021-12-15,1.8
001589,2023-01-09,2023-01-09,,2023-01-09,1.8
001593,2022-01-05,2022-01-05,,2022-01-05,2.3
001596,2021-02-25,2021-02-25,2,2021-02-25,4.8
001599,2021-02-15,2021-02-15,,2021-02-15,1.7
001602,2021-02-11,2021-02-11,,2021-02-11,2.1
001606,2021-04-03,2021-04-03,,2021-04-03,2.6
001609,2021-06-29,2021-06-29,,2021-06-29,1.7
001612,2022-02-25,2022-02-25,,2022-02-25,1.5
001615,2020-09-03,2020-09-03,,2020-09-03,2.5
001618,2023-10-06,2023-10-06,,2023-10-06,1.9
001621,2022-07-19,2022-07-19,,2022-07-19,1.9
001627,2021-07-03,2022-07-05,,2022-07-05,3.8
001631,2022-10-21,2022-10-21,,2022-10-21,2.4
001635,2021-12-22,2021-12-22,,2021-12-22,3.0
001638,2021-04-12,2021-04-12,,2021-04-12,1.7
001641,2023-01-24,2023-01-24,,2023-01-24,2.9
001644,2021-10-16,2021-10-15,,2021-10-15,2.2
001647,2021-12-14,2021-12-14,,2021-12-14,1.8
001650,2019-08-18,2019-08-18,,2019-08-18,2.3
001653,2019-08-19,2019-08-19,,2019-08-19,3.1
001656,2021-01-16,2021-01-16,,2021-01-16,3.8
001661,2022-04-26,2022-04-26,,2022-04-26,2.1
001664,2020-08-29,2020-08-29,,2020-08-29,4.2
001668,2021-09-14,2021-09-14,,2021-09-14,3.8
001671,2021-10-23,2021-10-23,2,2021-10-23,3.6
001674,2021-07-18,2021-07-18,,2021-07-18,2.4
001677,2021-11-28,2021-11-28,,2021-11-28,2.3
001682,2022-10-22,2022-10-22,,2022-10-22,1.9
001685,2021-11-29,2021-11-29,2,2021-11-29,3.4
001689,2021-06-22,NONE,,NONE,5.9
001692,2021-07-03,2021-07-03,,2021-07-03,1.5
001696,2022-06-23,2022-06-23,,2022-06-23,1.2
001700,2021-10-27,2021-10-27,,2021-10-27,10.9
001703,2021-07-16,2021-07-16,,2021-07-16,1.7
001707,2021-05-02,2021-05-02,,2021-05-02,1.6
001710,2021-10-15,2021-10-15,2,2021-10-15,3.1
001713,2021-09-08,2021-09-08,,2021-09-08,8.5
001716,2021-02-07,2021-02-07,,2021-02-07,1.9
001719,2021-03-11,2021-03-11,,2021-03-11,2.1
001722,2021-07-06,2021-07-06,2,2021-07-06,6.1
001725,2021-02-16,2021-02-16,,2021-02-16,2.3
001729,2021-03-13,2021-03-13,,2021-03-13,1.8
001732,2022-11-18,2022-11-18,,2022-11-18,1.8
