image_id,label,old,base,keep,keep_sp,sec
000380,2026-09-02,2026-09-02,2026-09-02,2026-09-02,2026-09-02,2.5
000383,2026-04-03,2026-04-03,2026-04-03,2026-04-03,2026-04-03,3.7
000389,2026-02-27,2026-02-27,2026-02-27,2026-02-27,2026-02-27,3.5
000393,2027-08-02,2027-08-02,2027-08-02,2027-08-02,2027-08-02,2.7
000396,2026-02-27,2026-02-27,2026-02-27,2026-02-27,2026-02-27,3.3
000399,2027-01-31,2027-01-31,2027-01-31,2027-01-31,2027-01-31,3.1
000403,2027-04-01,2027-04-01,2027-04-01,2027-04-01,2027-04-01,6.7
000409,2027-03-26,2027-03-26,2027-03-26,2027-03-26,2027-03-26,2.7
000413,2027-04-23,2027-04-23,2027-04-23,2027-04-23,2027-04-23,2.8
000416,2026-04-07,2026-07-01,2026-07-01,2026-07-01,2026-07-01,3.7
000419,2026-08-05,2026-08-05,2026-08-05,2026-08-05,2026-08-05,3.7
000423,2026-06-04,2026-06-02,2026-06-02,2026-06-02,2026-06-02,6.9
000426,2026-12-26,2026-12-26,2026-12-26,2026-12-26,2026-12-26,3.4
000429,2026-01-04,2025-01-04,2025-01-04,2026-01-04,2026-01-04,6.1
000432,2027-04-28,2027-04-28,2027-04-28,2027-04-28,2027-04-28,5.2
000435,2026-07-14,2026-07-14,2026-07-14,2026-07-14,2026-07-14,2.8
000438,2026-02-19,NONE,NONE,NONE,NONE,19.2
000442,2025-11-30,2025-11-30,2025-11-30,2025-11-30,2025-11-30,2.6
000445,2026-07-17,2026-07-17,2026-07-17,2026-07-17,2026-07-17,14.5
000448,2026-08-20,2026-08-20,2026-08-20,2026-08-20,2026-08-20,2.2
000458,2026-07-01,2026-07-01,2026-07-01,2026-07-01,2026-07-01,3.4
000461,2026-11-28,2026-11-28,2026-11-28,2026-11-28,2026-11-28,2.7
000464,2026-03-19,2026-05-19,2026-05-19,2026-05-19,2026-05-19,10.0
000467,2025-12-26,2025-12-26,2025-12-26,2025-12-26,2025-12-26,6.8
000470,2026-08-06,2026-08-06,2026-08-06,2026-08-06,2026-08-06,2.0
000473,2026-05-21,NONE,NONE,NONE,NONE,19.8
000476,2026-07-06,2026-07-06,2026-07-06,2026-07-06,2026-07-06,1.6
000479,2026-05-22,2026-05-22,2026-05-22,2026-05-22,2026-05-22,2.4
000482,2026-11-14,2025-01-02,2025-01-02,2025-01-02,2025-01-02,10.8
000485,2027-09-17,NONE,NONE,NONE,NONE,16.6
000488,2026-02-27,2026-02-27,2026-02-27,2026-02-27,2026-02-27,3.7
000491,2026-09-19,2026-09-19,2026-09-19,2026-09-19,2026-09-19,4.8
000496,2027-03-05,2027-03-05,2027-03-05,2027-03-05,2027-03-05,3.0
000499,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,1.8
000503,2026-02-18,2026-02-10,2026-02-10,2026-02-10,2026-02-10,12.8
000508,2026-08-25,2026-08-25,2026-08-25,2026-08-25,2026-08-25,1.1
000511,2026-03-24,2026-03-24,2026-03-24,2026-03-24,2026-03-24,1.0
000514,2026-07-13,2026-07-13,2026-07-13,2026-07-13,2026-07-13,1.4
000518,2026-09-14,2026-09-14,2026-09-14,2026-09-14,2026-09-14,1.2
000525,2027-09-08,2027-09-08,2027-09-08,2027-09-08,2027-09-08,1.8
000528,2026-03-11,2026-03-11,2026-03-11,2026-03-11,2026-03-11,1.2
000531,2026-02-28,2026-02-28,2026-02-28,2026-02-28,2026-02-28,1.7
000534,2027-01-29,2027-01-29,2027-01-29,2027-01-29,2027-01-29,7.2
000537,2026-05-08,2020-02-11,2020-02-11,2020-02-11,2020-02-11,9.8
000540,2026-03-24,2026-03-24,2026-03-24,2026-03-24,2026-03-24,1.7
000543,2026-06-23,2026-06-02,2026-06-02,2026-06-02,2026-06-02,2.8
000547,2026-05-28,2026-05-28,2026-05-28,2026-05-28,2026-05-28,2.4
000550,2026-05-29,2026-05-29,2026-05-29,2026-05-29,2026-05-29,2.5
000553,2028-10-24,2022-10-24,2022-10-24,2022-10-24,2022-10-24,7.0
000556,2026-08-07,2026-08-07,2026-08-07,2026-08-07,2026-08-07,3.4
000559,2027-04-21,2027-04-21,2027-04-21,2027-04-21,2027-04-21,2.3
000562,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,4.2
000565,2025-12-05,2025-12-05,2025-12-05,2025-12-05,2025-12-05,2.9
000568,2026-02-23,2026-02-23,2026-02-23,2026-02-23,2026-02-23,5.1
000571,NONE-10-18,2024-11-18,2024-11-18,2024-11-18,2024-11-18,3.0
000574,2026-02-24,NONE-02-24,NONE-02-24,NONE-02-24,NONE-02-24,2.1
000578,2026-03-04,2026-03-04,2026-03-04,2026-03-04,2026-03-04,1.6
000581,2026-02-25,2026-02-25,2026-02-25,2026-02-25,2026-02-25,2.2
000585,2026-05-16,2020-02-02,2020-02-02,2020-02-02,2020-02-02,7.9
000588,2025-11-28,2025-11-28,2025-11-28,2025-11-28,2025-11-28,2.2
000591,2026-07-27,2026-07-27,2026-07-27,2026-07-27,2026-07-27,1.6
000596,2026-08-13,2025-08-14,2025-08-14,2025-08-14,2025-08-14,4.0
000601,2026-01-27,2026-01-27,2026-01-27,2026-01-27,2026-01-27,2.2
000605,2028-07-01,2028-07-01,2028-07-01,2028-07-01,2028-07-01,1.1
000608,2026-08-13,2026-08-13,2026-08-13,2026-08-13,2026-08-13,1.5
000611,2026-07-20,2026-07-20,2026-07-20,2026-07-20,2026-07-20,2.8
000614,2026-03-07,2026-03-07,2026-03-07,2026-03-07,2026-03-07,1.6
000617,2026-07-11,2026-07-11,2026-07-11,2026-07-11,2026-07-11,1.8
000620,2026-07-06,2026-07-06,2026-07-06,2026-07-06,2026-07-06,1.1
000623,2027-03-10,2027-03-10,2027-03-10,2027-03-10,2027-03-10,2.1
000628,2025-02-03,2025-12-NONE,2025-12-NONE,2025-02-03,2025-02-03,1.0
000631,2025-11-15,2025-11-15,2025-11-15,2025-11-15,2025-11-15,1.8
000634,2026-02-05,2026-02-05,2026-02-05,2026-02-05,2026-02-05,2.1
000637,2026-06-17,2026-06-17,2026-06-17,2026-06-17,2026-06-17,1.5
000640,2026-02-08,2026-02-08,2026-02-08,2026-02-08,2026-02-08,1.4
000643,2026-01-21,NONE,NONE,NONE,NONE,19.9
000646,2027-01-15,2027-01-15,2027-01-15,2027-01-15,2027-01-15,1.1
000649,2027-04-07,2021-01-21,2021-01-21,2021-01-21,2021-01-21,10.1
000652,2027-03-31,2027-03-31,2027-03-31,2027-03-31,2027-03-31,2.5
000655,2026-08-27,2026-08-27,2026-08-27,2026-08-27,2026-08-27,3.1
000658,2026-01-16,2026-01-16,2026-01-16,2026-01-16,2026-01-16,1.3
000661,2026-04-17,2026-04-17,2026-04-17,2026-04-17,2026-04-17,2.2
000665,2026-03-25,2026-03-25,2026-03-25,2026-03-25,2026-03-25,2.2
000671,2026-03-31,2025-10-01,2025-10-01,2026-03-31,2026-03-31,3.8
000674,2026-06-02,2026-06-02,2026-06-02,2026-06-02,2026-06-02,1.1
000677,2027-08-17,2027-08-17,2027-08-17,2027-08-17,2027-08-17,1.4
000680,2025-10-15,2025-10-15,2025-10-15,2025-10-15,2025-10-15,0.9
000683,2026-03-11,2026-03-11,2026-03-11,2026-03-11,2026-03-11,1.5
000687,2025-10-17,2025-10-17,2025-10-17,2025-10-17,2025-10-17,2.4
000692,2026-08-21,2026-08-21,2026-08-21,2026-08-21,2026-08-21,1.2
000696,2025-10-28,2025-10-28,2025-10-28,2025-10-28,2025-10-28,1.0
000699,2025-10-27,NONE,NONE,NONE,NONE,12.8
000702,2025-10-09,2025-10-09,2025-10-09,2025-10-09,2025-10-09,0.8
000705,2026-06-29,2026-06-29,2026-06-29,2026-06-29,2026-06-29,2.2
000708,2025-09-18,2025-09-18,2025-09-18,2025-09-18,2025-09-18,1.0
000711,2025-10-09,2025-10-09,2025-10-09,2025-10-09,2025-10-09,2.1
000714,2026-03-12,2026-03-12,2026-03-12,2026-03-12,2026-03-12,1.5
000717,2025-10-12,2025-10-12,2025-10-12,2025-10-12,2025-10-12,6.3
000720,2026-02-28,2026-02-28,2026-02-28,2026-02-28,2026-02-28,2.1
000723,2026-05-10,NONE,NONE,NONE,NONE,17.0
000726,2026-09-16,2026-09-16,2026-09-16,2026-09-16,2026-09-16,2.1
000729,2026-01-07,2026-01-07,2026-01-07,2026-01-07,2026-01-07,2.1
000732,2026-03-16,2026-03-15,2026-03-15,2026-03-15,2026-03-15,2.4
000735,2027-01-12,2027-01-12,2027-01-12,2027-01-12,2027-01-12,3.5
000738,2026-02-12,2026-02-12,2026-02-12,2026-02-12,2026-02-12,2.2
000743,2026-11-16,2026-11-16,2026-11-16,2026-11-16,2026-11-16,2.5
000746,2026-06-23,2026-06-23,2026-06-23,2026-06-23,2026-06-23,2.0
000749,2026-01-21,2026-01-21,2026-01-21,2026-01-21,2026-01-21,10.7
000752,2026-07-09,2026-07-09,2026-07-09,2026-07-09,2026-07-09,1.8
000755,2026-04-30,2026-04-30,2026-04-30,2026-04-30,2026-04-30,2.2
000758,2026-03-11,2026-03-11,2026-03-11,2026-03-11,2026-03-11,2.0
000761,NONE-11-11,NONE-11-11,NONE-11-11,NONE-11-11,NONE-11-11,2.2
000764,2026-03-12,NONE,NONE,NONE,NONE,13.8
000767,2026-03-12,2026-03-NONE,2026-03-NONE,2026-03-NONE,2026-03-NONE,6.7
000770,2030-04-NONE,NONE,NONE,NONE,NONE,14.1
000774,2026-02-08,2026-02-08,2026-02-08,2026-02-08,2026-02-08,4.6
000777,2026-03-NONE,2026-03-NONE,2026-03-NONE,2026-03-NONE,2026-03-NONE,18.1
000780,2026-04-27,NONE-04-27,NONE-04-27,NONE-04-27,NONE-04-27,2.6
000783,2025-12-21,2025-12-21,2025-12-21,2025-12-21,2025-12-21,2.5
000787,2026-04-09,2026-04-09,2026-04-09,2026-04-09,2026-04-09,2.1
000790,2027-07-NONE,2027-07-NONE,2027-07-NONE,2027-07-NONE,2027-07-NONE,10.9
000793,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2.0
000799,NONE-12-20,NONE-12-20,NONE-12-20,NONE-12-20,NONE-12-20,1.7
000802,2026-07-03,2026-07-03,2026-07-03,2026-07-03,2026-07-03,3.9
000805,2027-07-NONE,2027-07-NONE,2027-07-NONE,2027-07-NONE,2027-07-NONE,3.2
000808,2026-06-12,2026-06-12,2026-06-12,2026-06-12,2026-06-12,1.3
000811,2026-03-31,2026-03-31,2026-03-31,2026-03-31,2026-03-31,1.6
000814,2026-06-22,2026-06-22,2026-06-22,2026-06-22,2026-06-22,2.0
000817,2026-12-NONE,NONE,NONE,NONE,NONE,18.7
000820,2026-05-18,2026-05-18,2026-05-18,2026-05-18,2026-05-18,3.2
000823,2027-02-23,2027-02-23,2027-02-23,2027-02-23,2027-02-23,2.1
000827,2026-08-09,2026-08-09,2026-08-09,2026-08-09,2026-08-09,8.5
000830,2025-12-20,2025-12-20,2025-12-20,2025-12-20,2025-12-20,1.4
000834,2026-02-02,2026-02-02,2026-02-02,2026-02-02,2026-02-02,1.7
000837,2026-02-21,2026-02-21,2026-02-21,2026-02-21,2026-02-21,15.4
000841,2025-12-22,2025-12-22,2025-12-22,2025-12-22,2025-12-22,3.5
000844,2026-07-03,2026-07-03,2026-07-03,2026-07-03,2026-07-03,1.5
000847,2026-05-28,2026-05-28,2026-05-28,2026-05-28,2026-05-28,2.2
000851,2026-06-30,2026-06-30,2026-06-30,2026-06-30,2026-06-30,2.1
000854,2026-09-04,2026-09-04,2026-09-04,2026-09-04,2026-09-04,3.5
000858,2021-10-28,2021-10-28,2021-10-28,2021-10-28,2021-10-28,4.2
000861,2022-07-23,2022-07-23,2022-07-23,2022-07-23,2022-07-23,2.7
000865,2021-09-25,2021-09-25,2021-09-25,2021-09-25,2021-09-25,2.3
000869,2021-09-15,2021-09-15,2021-09-15,2021-09-15,2021-09-15,3.9
000872,2021-02-26,2021-02-26,2021-02-26,2021-02-26,2021-02-26,2.9
000875,2021-03-22,2021-03-22,2021-03-22,2021-03-22,2021-03-22,3.4
000878,2023-04-03,NONE,NONE,NONE,NONE,7.5
000882,2021-06-08,2021-06-08,2021-06-08,2021-06-08,2021-06-08,1.7
000886,2021-07-09,2020-01-10,2020-01-10,2020-01-10,2020-01-10,1.7
000889,2021-05-27,2021-05-27,2021-05-27,2021-05-27,2021-05-27,2.2
000892,2022-02-07,2022-02-07,2022-02-07,2022-02-07,2022-02-07,2.2
000895,2021-06-02,2021-06-02,2021-06-02,2021-06-02,2021-06-02,2.0
000898,2025-05-19,2025-05-19,2025-05-19,2025-05-19,2025-05-19,23.9
000901,2021-11-01,2021-11-01,2021-11-01,2021-11-01,2021-11-01,14.4
000904,2021-08-31,2021-08-22,2021-08-22,2021-08-22,2021-08-22,4.5
000907,2022-01-NONE,2022-01-NONE,2022-01-NONE,2022-01-NONE,2022-01-NONE,4.7
000910,2021-09-20,2021-09-20,2021-09-20,2021-09-20,2021-09-20,2.7
000913,2021-10-19,2021-10-19,2021-10-19,2021-10-19,2021-10-19,3.6
000916,2022-06-06,NONE,NONE,NONE,NONE,41.6
000919,2022-03-11,2022-03-11,2022-03-11,2022-03-11,2022-03-11,3.4
000922,2022-02-26,2022-02-26,2022-02-26,2022-02-26,2022-02-26,1.9
000925,NONE-02-02,NONE-02-02,NONE-02-02,NONE-02-02,NONE-02-02,3.8
000928,2022-03-13,2022-03-13,2022-03-13,2022-03-13,2022-03-13,3.9
000931,2021-07-29,2021-07-29,2021-07-29,2021-07-29,2021-07-29,3.9
000937,2022-06-11,2022-06-11,2022-06-11,2022-06-11,2022-06-11,3.2
000940,2021-10-28,NONE,NONE,NONE,NONE,10.7
000945,2021-07-03,NONE,NONE,NONE,NONE,12.2
000950,2022-09-16,2022-09-16,2022-09-16,2022-09-16,2022-09-16,2.5
000955,2022-01-25,2022-01-03,2022-01-03,2022-01-03,2022-01-03,2.0
000960,2022-07-19,2022-07-19,2022-07-19,2022-07-19,2022-07-19,1.9
000963,2023-11-14,2023-11-14,2023-11-14,2023-11-14,2023-11-14,2.9
000967,2022-10-17,2022-10-17,2022-10-17,2022-10-17,2022-10-17,3.4
000970,2022-06-30,2022-06-30,2022-06-30,2022-06-30,2022-06-30,3.9
000973,2022-12-02,NONE,NONE,NONE,NONE,14.8
000976,2023-08-03,2023-08-03,2023-08-03,2023-08-03,2023-08-03,3.1
000981,2021-08-08,2021-08-08,2021-08-08,2021-08-08,2021-08-08,3.5
000984,2021-08-20,2021-08-20,2021-08-20,2021-08-20,2021-08-20,4.5
000987,2021-12-28,2021-12-28,2021-12-28,2021-12-28,2021-12-28,2.4
000990,2020-07-21,NONE,NONE,NONE,NONE,13.3
000993,NONE-02-18,NONE,NONE,NONE,NONE,18.9
000996,NONE-02-19,NONE,NONE,NONE,NONE,18.3
001001,2021-09-07,NONE,NONE,NONE,NONE,14.4
001004,2020-08-10,NONE,NONE,NONE,NONE,26.2
001009,2022-11-24,2022-11-24,2022-11-24,2022-11-24,2022-11-24,1.9
001014,2022-01-11,2022-01-11,2022-01-11,2022-01-11,2022-01-11,3.0
001017,2021-02-21,2021-02-21,2021-02-21,2021-02-21,2021-02-21,6.1
001020,2020-02-27,2020-02-27,2020-02-27,2020-02-27,2020-02-27,2.9
001023,2021-07-13,2021-07-13,2021-07-13,2021-07-13,2021-07-13,1.5
001026,2020-12-09,2020-12-09,2020-12-09,2020-12-09,2020-12-09,2.5
001031,2022-10-NONE,2022-10-01,2022-10-01,2022-10-01,2022-10-01,4.5
001034,2021-06-28,2021-06-28,2021-06-28,2021-06-28,2021-06-28,3.5
001039,2021-12-28,2021-12-28,2021-12-28,2021-12-28,2021-12-28,1.1
001042,2021-09-13,2021-09-13,2021-09-13,2021-09-13,2021-09-13,1.9
001045,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2.6
001048,2021-05-12,2021-05-12,2021-05-12,2021-05-12,2021-05-12,2.5
001051,2022-12-20,2022-12-20,2022-12-20,2022-12-20,2022-12-20,3.7
001054,2022-09-01,2022-09-01,2022-09-01,2022-09-01,2022-09-01,6.7
001057,2022-05-27,2022-05-27,2022-05-27,2022-05-27,2022-05-27,4.0
001060,2022-06-23,2022-06-23,2022-06-23,2022-06-23,2022-06-23,2.1
001066,2022-05-04,2022-05-04,2022-05-04,2022-05-04,2022-05-04,7.7
001069,2021-03-15,2021-03-10,2021-03-10,2021-03-10,2021-03-10,1.2
001072,2023-09-18,2023-09-18,2023-09-18,2023-09-18,2023-09-18,2.4
001075,2021-09-30,2021-09-30,2021-09-30,2021-09-30,2021-09-30,4.2
001078,2023-09-24,2023-09-24,2023-09-24,2023-09-24,2023-09-24,3.1
001081,2021-06-17,2021-06-17,2021-06-17,2021-06-17,2021-06-17,2.4
001084,2021-07-09,2021-07-01,2021-07-01,2021-07-01,2021-07-01,2.7
001087,2022-06-14,2022-06-14,2022-06-14,2022-06-14,2022-06-14,1.3
001091,2021-04-16,2021-04-12,2021-04-12,2021-04-12,2021-04-12,4.1
001103,2021-03-14,NONE-03-14,NONE-03-14,NONE-03-14,NONE-03-14,6.4
001108,2021-02-28,2021-02-28,2021-02-28,2021-02-28,2021-02-28,2.0
001111,2022-07-12,2022-07-12,2022-07-12,2022-07-12,2022-07-12,4.7
001114,2023-11-15,2023-11-15,2023-11-15,2023-11-15,2023-11-15,3.1
001117,2022-01-20,2022-01-20,2022-01-20,2022-01-20,2022-01-20,1.4
001120,2021-12-16,2021-12-01,2021-12-01,2021-12-01,2021-12-01,1.7
001123,2021-10-09,2021-10-09,2021-10-09,2021-10-09,2021-10-09,7.1
001129,NONE-02-07,NONE,NONE,NONE,NONE,26.5
001134,2021-03-03,2021-03-03,2021-03-03,2021-03-03,2021-03-03,5.5
001137,2021-07-17,2021-07-17,2021-07-17,2021-07-17,2021-07-17,4.9
001140,2021-02-28,2021-02-28,2021-02-28,2021-02-28,2021-02-28,4.2
001144,2021-05-25,2021-05-25,2021-05-25,2021-05-25,2021-05-25,3.2
001149,2022-07-31,2022-07-31,2022-07-31,2022-07-31,2022-07-31,2.3
001152,2021-10-31,2021-10-31,2021-10-31,2021-10-31,2021-10-31,6.8
001155,2021-09-21,2021-09-21,2021-09-21,2021-09-21,2021-09-21,17.2
001158,2021-08-10,2021-08-10,2021-08-10,2021-08-10,2021-08-10,3.0
