image_id,label,old,tags,kct,kct_tier,sec
000606,2026-10-01,2026-10-01,,2026-10-01,2026-10-01,7.6
000609,2027-06-11,2027-06-11,,2027-06-11,2027-06-11,1.9
000612,2026-05-07,2026-05-07,,2026-05-07,2026-05-07,1.0
000616,2026-09-10,2026-09-10,,2026-09-10,2026-09-10,1.3
000621,2026-08-25,2026-08-25,,2026-08-25,2026-08-25,1.0
000624,2027-06-15,2027-06-15,2,2027-06-15,2027-06-15,1.7
000627,2026-10-06,NONE,2,NONE,NONE,18.9
000632,2025-12-28,2025-12-28,,2025-12-28,2025-12-28,1.7
000636,2026-03-09,2026-03-09,,2026-03-09,2026-03-09,0.9
000641,2026-09-02,2026-09-02,,2026-09-02,2026-09-02,2.2
000648,2028-08-25,NONE,,NONE,NONE,22.0
000651,2026-06-25,2026-06-25,,2026-06-25,2026-06-25,1.4
000654,2028-07-02,2028-07-02,,2028-07-02,2028-07-02,1.9
000657,2026-07-27,2026-07-27,,2026-07-27,2026-07-27,1.3
000660,2026-02-28,2026-02-28,,2026-02-28,2026-02-28,2.8
000664,2026-02-20,2026-02-20,,2026-02-20,2026-02-20,1.7
000669,2026-09-02,2026-09-02,2,2026-09-02,2026-09-02,1.9
000672,2026-02-08,2026-02-08,,2026-02-08,2026-02-08,2.2
000676,2026-06-10,2026-06-10,,2026-06-10,2026-06-10,1.0
000679,2027-09-17,2027-09-17,,2027-09-17,2027-09-17,2.9
000683,2026-03-11,2026-03-11,,2026-03-11,2026-03-11,1.1
000686,2026-10-12,2025-10-12,2,2025-10-12,2025-10-12,3.0
000691,2026-09-22,2026-09-22,2,2026-09-22,2026-09-22,2.4
000694,2026-09-01,2026-09-01,,2026-09-01,2026-09-01,1.4
000700,2025-10-24,2025-10-24,,2025-10-24,2025-10-24,1.7
000705,2026-06-29,2026-06-29,,2026-06-29,2026-06-29,1.4
000709,2025-10-14,2025-10-14,,2025-10-14,2025-10-14,1.6
000714,2026-03-12,2026-03-12,d,2026-03-12,2026-03-12,1.2
000717,2025-10-12,2025-10-12,,2025-10-12,2025-10-12,5.1
000720,2026-02-28,2026-02-28,,2026-02-28,2026-02-28,1.4
000723,2026-05-10,NONE,,NONE,NONE,12.9
000726,2026-09-16,2026-09-16,,2026-09-16,2026-09-16,1.6
000730,2026-02-26,2026-02-26,,2026-02-26,2026-02-26,1.1
000733,2026-03-24,2026-03-NONE,,2026-03-NONE,2026-03-24,2.1
000737,2026-03-04,2026-03-04,,2026-03-04,2026-03-04,1.7
000742,2026-05-01,2026-05-01,,2026-05-01,2026-05-01,2.2
000745,2026-01-10,2026-01-10,,2026-01-10,2026-01-10,2.2
000748,2027-01-22,2027-01-22,,2027-01-22,2027-01-22,2.1
000754,2026-05-24,2026-05-24,,2026-05-24,2026-05-24,2.8
000758,2026-03-11,2026-03-11,,2026-03-11,2026-03-11,1.9
000761,NONE-11-11,NONE-11-11,,NONE-11-11,NONE-11-11,1.8
000764,2026-03-12,NONE,,NONE,NONE,15.7
000767,2026-03-12,2026-03-NONE,b,2026-03-NONE,2026-03-NONE,8.2
000770,2030-04-NONE,NONE,,NONE,NONE,14.9
000773,NONE-12-10,NONE-12-10,2,NONE-12-10,NONE-12-10,4.4
000776,2026-01-09,2026-01-09,,2026-01-09,2026-01-09,1.5
000779,2026-06-03,2026-06-03,,2026-06-03,2026-06-03,5.3
000783,2025-12-21,2025-12-21,,2025-12-21,2025-12-21,2.3
000789,NONE-12-19,NONE-12-19,,NONE-12-19,NONE-12-19,2.1
000794,2026-10-27,2026-10-27,,2026-10-27,2026-10-27,1.5
000798,NONE-12-20,2024-02-24,,2024-02-24,2024-02-24,1.6
000802,2026-07-03,2026-07-03,,2026-07-03,2026-07-03,3.8
000807,2026-05-29,2026-05-29,,2026-05-29,2026-05-29,1.2
000810,2026-03-31,2026-03-31,,2026-03-31,2026-03-31,1.5
000815,2026-06-22,2026-06-22,,2026-06-22,2026-06-22,1.4
000819,2026-05-18,2026-05-18,,2026-05-18,2026-05-18,3.1
000824,NONE-12-18,NONE-12-18,2,NONE-12-18,NONE-12-18,3.9
000828,NONE-12-21,NONE-12-21,,NONE-12-21,NONE-12-21,3.0
000831,2026-07-16,2026-07-16,2,2026-07-16,2026-07-16,4.1
000835,2026-02-02,2026-02-02,,2026-02-02,2026-02-02,1.8
000842,2026-07-03,2026-07-03,,2026-07-03,2026-07-03,3.4
000847,2026-05-28,2026-05-28,,2026-05-28,2026-05-28,2.2
000851,2026-06-30,2026-06-30,,2026-06-30,2026-06-30,1.8
000855,2026-08-25,2026-08-25,2,2026-08-25,2026-08-25,2.1
000858,2021-10-28,2021-10-28,,2021-10-28,2021-10-28,3.6
000861,2022-07-23,2022-07-23,,2022-07-23,2022-07-23,2.3
000866,2021-09-25,2021-09-25,,2021-09-25,2021-09-25,1.5
000870,2021-10-15,2021-10-15,,2021-10-15,2021-10-15,2.2
000874,2021-03-22,2021-03-22,,2021-03-22,2021-03-22,18.0
000877,2023-04-03,NONE,d,NONE,NONE,18.1
000880,2021-05-11,2020-07-15,2,2021-05-11,2021-05-11,4.0
000883,2021-07-03,2021-01-04,,2021-01-04,2021-01-04,1.8
000886,2021-07-09,2020-01-10,,2020-01-10,2020-01-10,2.0
000889,2021-05-27,2021-05-27,,2021-05-27,2021-05-27,1.9
000892,2022-02-07,2022-02-07,,2022-02-07,2022-02-07,1.7
000895,2021-06-02,2021-06-02,,2021-06-02,2021-06-02,1.7
000899,2022-09-02,2022-09-02,,2022-09-02,2022-09-02,7.7
000903,2021-08-31,2021-08-31,,2021-08-31,2021-08-31,1.9
000906,2022-01-NONE,2022-10-15,,2022-10-15,2022-10-15,2.7
000910,2021-09-20,2021-09-20,,2021-09-20,2021-09-20,2.0
000913,2021-10-19,2021-10-19,,2021-10-19,2021-10-19,2.7
000916,2022-06-06,NONE,,NONE,NONE,33.6
000920,2022-03-11,2022-03-11,,2022-03-11,2022-03-11,3.5
000924,NONE-02-02,2018-02-02,,2018-02-02,2018-02-02,2.3
000927,2021-08-23,2021-01-08,,2021-08-23,2021-08-23,2.1
000930,2021-07-29,2021-07-29,,2021-07-29,2021-07-29,1.4
000933,2021-05-26,NONE,,NONE,NONE,7.4
000937,2022-06-11,2022-06-11,,2022-06-11,2022-06-11,1.7
000941,2021-07-02,2021-07-02,,2021-07-02,2021-07-02,1.5
000946,2021-09-30,2021-09-30,,2021-09-30,2021-09-30,1.4
000949,2021-10-24,2021-10-24,2,2021-10-24,2021-10-24,8.5
000952,2021-04-05,2021-04-05,,2021-04-05,2021-04-05,1.9
000955,2022-01-25,2022-01-03,,2022-01-03,2022-01-03,1.8
000959,2022-07-19,2022-07-19,,2022-07-19,2022-07-19,6.8
000963,2023-11-14,2023-11-14,,2023-11-14,2023-11-14,2.5
000966,2021-08-10,2021-08-10,,2021-08-10,2021-08-10,3.0
000969,2022-06-30,2022-06-30,,2022-06-30,2022-06-30,4.1
000973,2022-12-02,NONE,,NONE,NONE,16.4
000977,2021-11-03,2020-11-03,,2020-11-03,2020-11-03,4.7
000981,2021-08-08,2021-08-08,,2021-08-08,2021-08-08,2.3
000984,2021-08-20,2021-08-20,,2021-08-20,2021-08-20,3.6
000989,2020-07-21,NONE,,NONE,NONE,29.6
000992,2021-03-04,2021-03-04,,2021-03-04,2021-03-04,6.8
000995,NONE-02-18,NONE,,NONE,NONE,8.6
000998,2021-11-11,2021-11-11,2,2021-11-11,2021-11-11,3.4
001002,2022-08-24,2022-08-NONE,b,2022-08-NONE,2022-08-NONE,6.0
001006,2022-06-29,2022-06-NONE,2,2022-06-NONE,2022-06-NONE,2.1
001010,2021-08-09,2021-08-09,,2021-08-09,2021-08-09,2.6
001014,2022-01-11,2022-01-11,,2022-01-11,2022-01-11,2.4
001017,2021-02-21,2021-02-21,b,2021-02-21,2021-02-21,6.9
001020,2020-02-27,2020-02-27,,2020-02-27,2020-02-27,2.3
001024,2021-07-13,2021-07-13,,2021-07-13,2021-07-13,1.7
001027,2020-09-08,2020-09-08,,2020-09-08,2020-09-08,1.6
001031,2022-10-NONE,2022-10-01,,2022-10-01,2022-10-01,4.1
001035,2021-10-07,2020-07-07,2,2020-07-07,2020-07-07,14.0
001038,2021-12-28,2021-12-28,,2021-12-28,2021-12-28,1.5
001041,2022-04-15,2022-04-15,,2022-04-15,2022-04-15,1.6
001044,2021-04-30,2021-04-30,,2021-04-30,2021-04-30,1.1
001047,2021-05-12,2021-05-12,,2021-05-12,2021-05-12,1.3
001051,2022-12-20,2022-12-20,,2022-12-20,2022-12-20,3.4
001054,2022-09-01,2022-09-01,,2022-09-01,2022-09-01,4.4
001058,2021-10-14,2021-10-14,,2021-10-14,2021-10-14,1.4
001063,2022-01-04,2022-01-04,2,2022-01-04,2022-01-04,2.5
001066,2022-05-04,2022-05-04,,2022-05-04,2022-05-04,5.8
001069,2021-03-15,2021-03-10,,2021-03-10,2021-03-10,2.1
001073,2023-09-18,2023-09-18,,2023-09-18,2023-09-18,2.7
001076,2021-07-31,2031-07-21,,2031-07-21,2031-07-21,2.1
001080,2021-10-13,2021-10-13,,2021-10-13,2021-10-13,4.1
001083,2021-07-09,2021-07-09,,2021-07-09,2021-07-09,2.7
001086,2023-10-09,2023-10-09,,2023-10-09,2023-10-09,2.3
001089,2023-08-05,2023-08-05,,2023-08-05,2023-08-05,3.7
001093,2021-05-25,2021-05-25,,2021-05-25,2021-05-25,3.1
001096,2021-06-11,2021-11-06,2,2021-11-06,2021-11-06,5.2
001100,2021-03-14,2021-03-14,2,2021-03-14,2021-03-14,3.0
001103,2021-03-14,NONE-03-14,,2021-03-14,2021-03-14,6.9
001106,2021-03-27,2021-03-27,,2021-03-27,2021-03-27,2.0
001109,2021-03-22,2021-03-22,,2021-03-22,2021-03-22,2.0
001112,2022-07-12,2022-07-12,,2022-07-12,2022-07-12,1.9
001115,2022-01-12,2022-01-12,,2022-01-12,2022-01-12,1.6
001119,2021-12-26,2021-12-16,,2021-12-16,2021-12-16,1.6
001122,2023-01-10,2023-01-10,,2023-01-10,2023-01-10,4.4
001125,2021-12-28,2021-12-21,2,2021-12-21,2021-12-21,1.4
001128,2021-06-10,2021-12-10,2,2021-12-10,2021-12-10,3.1
001131,NONE-02-12,NONE-02-12,,NONE-02-12,NONE-02-12,4.9
001134,2021-03-03,2021-03-03,,2021-03-03,2021-03-03,3.9
001137,2021-07-17,2021-07-17,,2021-07-17,2021-07-17,2.6
001140,2021-02-28,2021-02-28,,2021-02-28,2021-02-28,2.5
001144,2021-05-25,2021-05-25,,2021-05-25,2021-05-25,2.8
001147,2021-12-13,2021-12-13,2,2021-12-13,2021-12-13,4.3
001150,2021-09-18,2021-09-18,,2021-09-18,2021-09-18,2.2
001154,2021-09-21,2021-09-21,,2021-09-21,2021-09-21,18.0
001157,2021-02-07,2021-02-07,,2021-02-07,2021-02-07,1.9
001160,2021-04-23,2021-04-23,,2021-04-23,2021-04-23,1.6
001163,2021-12-06,2021-12-06,,2021-12-06,2021-12-06,2.1
001167,2022-01-20,2022-08-02,,2022-08-02,2022-08-02,20.1
001171,2022-01-18,2022-01-18,,2022-01-18,2022-01-18,2.1
001174,2021-03-14,2021-03-14,,2021-03-14,2021-03-14,2.6
001177,2021-12-01,NONE,,NONE,NONE,17.0
001181,2022-04-14,2022-04-14,,2022-04-14,2022-04-14,2.3
001184,2021-10-08,2021-10-08,,2021-10-08,2021-10-08,1.6
001189,2019-06-28,2019-06-28,2,2019-06-28,2019-06-28,2.6
001192,2020-12-08,2020-12-08,d,2020-12-08,2020-12-08,13.3
001196,2021-10-18,2021-10-18,,2021-10-18,2021-10-18,4.8
001199,2021-10-20,2021-10-20,2,2021-10-20,2021-10-20,2.4
001203,2023-02-28,2023-02-28,,2023-02-28,2023-02-28,2.8
001206,2021-05-NONE,NONE-05-21,,NONE-05-21,NONE-05-21,2.3
001209,2021-08-03,2021-08-03,,2021-08-03,2021-08-03,1.2
001212,2021-07-03,2021-07-03,,2021-07-03,2021-07-03,3.0
001215,2021-06-13,2021-06-13,,2021-06-13,2021-06-13,9.4
001219,2021-01-14,2021-01-14,,2021-01-14,2021-01-14,1.4
001222,2021-11-10,2021-11-10,,2021-11-10,2021-11-10,2.4
001225,2022-06-27,2022-06-27,2,2022-06-27,2022-06-27,9.8
001228,2022-01-11,2021-01-12,2,2021-01-12,2022-01-11,3.7
001231,2021-05-05,2021-05-05,,2021-05-05,2021-05-05,1.4
001234,2021-03-09,2021-03-09,,2021-03-09,2021-03-09,1.5
001239,2020-12-19,2020-12-19,,2020-12-19,2020-12-19,2.3
001243,2023-12-31,2023-12-31,,2023-12-31,2023-12-31,1.6
001246,2022-01-19,2022-01-19,2,2022-01-19,2022-01-19,5.0
001249,2021-07-15,2021-07-15,,2021-07-15,2021-07-15,8.3
001252,2021-08-19,2021-08-19,,2021-08-19,2021-08-19,1.6
001255,2019-09-13,2019-09-13,,2019-09-13,2019-09-13,1.4
001258,2022-03-15,2022-03-15,,2022-03-15,2022-03-15,10.7
001262,2021-03-25,NONE,,NONE,NONE,11.7
001265,2022-06-NONE,2022-06-NONE,,2022-06-NONE,2022-06-NONE,2.3
001268,2022-09-05,2022-09-05,,2022-09-05,2022-09-05,3.8
001272,2023-07-08,2023-07-08,,2023-07-08,2023-07-08,1.8
001276,2021-11-04,2021-11-04,,2021-11-04,2021-11-04,2.5
001279,2022-10-09,2022-10-09,,2022-10-09,2022-10-09,3.0
001282,2025-04-01,2025-04-01,,2025-04-01,2025-04-01,5.2
001285,2022-11-21,2022-11-21,,2022-11-21,2022-11-21,4.6
001292,2022-11-05,2022-11-05,2,2022-11-05,2022-11-05,20.4
001295,2021-11-NONE,2021-12-11,,2021-12-11,2021-12-11,2.2
001298,2021-06-24,2021-06-24,,2021-06-24,2021-06-24,1.8
001302,2021-11-29,2029-11-21,d,2029-11-21,2029-11-21,2.8
001305,2021-04-12,2021-04-01,,2021-04-12,2021-04-12,4.2
001308,2022-11-06,NONE,,NONE,NONE,10.2
001311,2022-10-20,2022-10-20,,2022-10-20,2022-10-20,1.8
001314,2022-01-15,2022-01-15,,2022-01-15,2022-01-15,2.7
001317,2022-12-07,2022-12-07,2,2022-12-07,2022-12-07,5.6
001321,2022-02-15,2022-02-15,,2022-02-15,2022-02-15,12.0
001326,2021-07-19,2021-07-19,,2021-07-19,2021-07-19,7.0
001330,2021-03-05,2022-03-05,,2022-03-05,2022-03-05,1.8
001334,2021-10-26,2021-10-26,,2021-10-26,2021-10-26,5.0
001338,2021-06-08,2021-06-08,,2021-06-08,2021-06-08,5.5
001341,2021-11-25,2021-11-25,2,2021-11-25,2021-11-25,3.0
001344,2021-08-10,2022-11-02,,2022-11-02,2022-11-02,5.6
001348,2021-10-31,2021-01-10,,2021-01-10,2021-01-10,3.1
001351,2021-06-09,2021-06-09,,2021-06-09,2021-06-09,2.1
001354,2022-07-06,2022-07-06,,2022-07-06,2022-07-06,1.8
001358,2020-12-NONE,2020-12-NONE,,2020-12-NONE,2020-12-NONE,6.3
001362,2021-04-NONE,2021-10-13,,2021-10-13,2021-10-13,5.1
001366,2021-09-29,2021-09-29,2,2021-09-29,2021-09-29,9.3
001369,2025-09-21,2025-09-21,,2025-09-21,2025-09-21,6.3
001372,2022-03-07,2022-03-07,,2022-03-07,2022-03-07,1.8
001375,2022-05-NONE,2022-05-NONE,,2022-05-NONE,2022-05-NONE,4.0
001378,NONE,2021-01-22,,2021-01-22,2021-01-22,2.6
001381,2021-04-09,2021-01-04,,2021-04-09,2021-04-09,3.3
001384,2018-09-NONE,2018-09-NONE,,2018-09-NONE,2018-09-NONE,5.4
001388,2021-07-17,2021-07-NONE,,2021-07-NONE,2021-07-NONE,5.7
001391,2021-02-25,2021-12-01,,2021-12-01,2021-12-01,2.8
001394,2021-09-01,NONE-11-08,,NONE-11-08,NONE-11-08,9.7
001397,2022-11-01,2022-11-01,,2022-11-01,2022-11-01,2.5
001400,2022-01-29,NONE,,NONE,NONE,37.4
001403,2020-09-29,2020-07-04,,2020-07-04,2020-07-04,4.5
