image_id,label,old,tags,base,ft_p2,ft_union,ft_fb,sec
000163,2026-11-20,2026-11-20,,2026-11-20,2026-11-20,2026-11-20,2026-11-20,2.3
000166,2027-08-18,2027-08-NONE,,2027-08-NONE,2027-02-01,2027-02-01,2027-02-01,8.5
000170,2026-09-07,2026-09-07,,2026-09-07,2026-09-07,2026-09-07,2026-09-07,1.7
000173,2026-09-17,2026-09-17,,2026-09-17,2026-09-17,2026-09-17,2026-09-17,2.3
000176,2026-09-22,2026-09-22,2,2026-09-22,2026-09-22,2026-09-22,2026-09-22,6.4
000179,2026-06-29,2025-09-30,2,2026-06-29,2026-06-29,2026-06-29,2026-06-29,6.4
000182,2026-10-01,2026-10-01,,2026-10-01,2026-10-01,2026-10-01,2026-10-01,3.7
000186,2028-04-14,2028-04-14,,2028-04-14,2028-04-14,2028-04-14,2028-04-14,1.6
000190,2022-11-26,2022-11-26,,2022-11-26,2022-11-26,2022-11-26,2022-11-26,32.2
000194,2027-04-23,2027-04-23,,2027-04-23,2027-04-23,2027-04-23,2027-04-23,4.6
000198,2026-05-08,2022-12-15,,2022-12-15,2022-12-15,2022-12-15,2022-12-15,9.4
000202,2027-02-06,2027-02-06,,2027-02-06,2027-02-06,2027-02-06,2027-02-06,5.5
000205,2027-05-18,2027-05-18,,2027-05-18,2027-05-18,2027-05-18,2027-05-18,6.9
000211,2026-02-12,2026-06-02,,2026-06-02,2026-06-02,2026-06-02,2026-06-02,17.8
000216,2026-03-16,2026-03-01,,2026-03-01,2026-03-16,2026-03-16,2026-03-16,3.8
000219,2026-09-07,2026-09-07,,2026-09-07,2026-09-07,2026-09-07,2026-09-07,4.3
000222,2026-03-25,2026-03-25,,2026-03-25,2026-03-25,2026-03-25,2026-03-25,9.0
000226,2027-03-15,2027-03-15,,2027-03-15,2027-02-15,2027-02-15,2027-02-15,10.3
000229,2025-10-28,2022-10-11,,2022-10-11,2022-10-11,2022-10-11,2022-10-11,14.7
000233,2028-01-13,2021-01-22,,2021-01-22,2021-01-22,2021-01-22,2021-01-22,14.5
000237,2026-06-05,2026-06-05,,2026-06-05,2026-06-05,2026-06-05,2026-06-05,6.5
000240,2027-05-20,2027-05-20,,2027-05-20,2027-05-20,2027-05-20,2027-05-20,5.8
000243,2026-08-17,2026-08-17,,2026-08-17,2026-08-17,2026-08-17,2026-08-17,4.3
000246,2026-02-04,2025-09-05,2,2026-02-04,2026-09-05,2026-09-05,2026-09-05,8.7
000250,2026-03-04,2026-03-04,2,2026-03-04,2026-03-04,2026-03-04,2026-03-04,8.6
000253,2026-06-20,2026-06-20,,2026-06-20,2026-06-20,2026-06-20,2026-06-20,3.4
000257,2025-12-10,2025-12-10,,2025-12-10,2025-12-10,2025-12-10,2025-12-10,2.4
000260,2027-04-01,2027-04-01,,2027-04-01,2027-04-01,2027-04-01,2027-04-01,2.8
000263,2028-01-22,NONE,,NONE,NONE,NONE,NONE,28.2
000266,2025-12-04,NONE,b,NONE,NONE,NONE,NONE,49.4
000270,2026-09-03,2026-09-03,,2026-09-03,2026-09-03,2026-09-03,2026-09-03,5.6
000275,2026-04-23,2026-04-23,,2026-04-23,2026-04-23,2026-04-23,2026-04-23,9.7
000281,2026-07-15,2026-07-15,,2026-07-15,2026-07-15,2026-07-15,2026-07-15,4.5
000284,2026-08-20,2026-08-20,,2026-08-20,2026-08-20,2026-08-20,2026-08-20,7.8
000287,2027-02-18,2027-02-18,,2027-02-18,2027-02-19,2027-02-19,2027-02-19,7.8
000290,2027-03-02,2027-03-02,,2027-03-02,2027-03-02,2027-03-02,2027-03-02,12.7
000294,2026-09-08,2026-09-09,2,2026-09-09,2026-09-09,2026-09-09,2026-09-09,24.4
000299,2026-05-13,2026-05-13,,2026-05-13,2026-05-13,2026-05-13,2026-05-13,5.8
000302,2026-03-15,2026-03-15,,2026-03-15,2026-03-15,2026-03-15,2026-03-15,3.3
000305,2026-02-24,2026-02-24,,2026-02-24,2026-02-24,2026-02-24,2026-02-24,25.3
000308,2025-12-04,2025-12-04,,2025-12-04,2025-12-04,2025-12-04,2025-12-04,2.4
000313,2026-03-17,2026-03-17,,2026-03-17,2026-03-17,2026-03-17,2026-03-17,4.3
000317,2025-11-15,2025-11-15,,2025-11-15,2025-11-15,2025-11-15,2025-11-15,6.5
000322,2025-10-29,2025-10-29,,2025-10-29,2025-10-29,2025-10-29,2025-10-29,4.7
000325,2025-11-03,2025-11-03,,2025-11-03,2025-11-03,2025-11-03,2025-11-03,7.3
000329,2025-12-25,2025-12-25,,2025-12-25,2025-12-25,2025-12-25,2025-12-25,4.7
000332,2025-10-22,2025-10-22,,2025-10-22,2025-10-22,2025-10-22,2025-10-22,3.0
000335,2025-11-28,2025-11-28,,2025-11-28,2025-11-28,2025-11-28,2025-11-28,4.3
000338,2026-05-28,2026-05-28,,2026-05-28,2026-05-28,2026-05-28,2026-05-28,3.2
000342,2026-06-22,2026-06-22,,2026-06-22,2026-06-22,2026-06-22,2026-06-22,2.5
000346,2026-05-15,2026-05-15,,2026-05-15,2026-05-15,2026-05-15,2026-05-15,3.1
000349,2025-12-07,2025-12-07,,2025-12-07,2025-12-07,2025-12-07,2025-12-07,3.5
000353,2026-03-08,2026-03-08,,2026-03-08,2026-03-08,2026-03-08,2026-03-08,5.0
000356,2027-03-17,2027-03-17,,2027-03-17,2027-03-17,2027-03-17,2027-03-17,4.7
000360,2026-02-18,NONE,2,NONE,NONE,NONE,NONE,39.4
000364,2026-06-04,2026-06-04,,2026-06-04,2026-06-04,2026-06-04,2026-06-04,13.0
000367,2026-05-18,2026-05-18,,2026-05-18,2026-05-18,2026-05-18,2026-05-18,5.3
000370,2026-09-02,2025-09-02,,2025-09-02,2021-05-09,2025-09-02,2021-05-09,12.0
000373,2026-09-18,NONE,,NONE,NONE,NONE,NONE,31.8
000376,2025-10-07,2025-10-07,,2025-10-07,2025-10-07,2025-10-07,2025-10-07,8.6
000379,2026-09-05,2026-09-05,d,2026-09-05,2026-09-05,2026-09-05,2026-09-05,5.8
000382,2026-08-18,2026-08-18,,2026-08-18,2026-08-18,2026-08-18,2026-08-18,4.5
000385,2026-09-14,2026-09-14,2,2026-09-14,2026-09-14,2026-09-14,2026-09-14,4.8
000390,2026-05-19,2021-03-23,,2021-03-23,2021-03-23,2021-03-23,2021-03-23,15.2
000393,2027-08-02,2027-08-02,,2027-08-02,2027-08-02,2027-08-02,2027-08-02,2.9
000397,2026-02-19,2026-02-19,,2026-02-19,2026-02-19,2026-02-19,2026-02-19,4.3
000401,2027-04-12,2027-04-12,,2027-04-12,2027-04-12,2027-04-12,2027-04-12,3.4
000404,2026-06-10,2026-06-10,,2026-06-10,2026-06-10,2026-06-10,2026-06-10,2.0
000407,2025-12-01,2025-12-01,2,2025-12-01,2025-12-01,2025-12-01,2025-12-01,8.5
000411,2026-09-09,2026-09-09,2,2026-09-09,2026-09-09,2026-09-09,2026-09-09,4.1
000416,2026-04-07,2026-07-01,,2026-07-01,2026-07-01,2026-07-01,2026-07-01,2.9
000419,2026-08-05,2026-08-05,,2026-08-05,2026-08-05,2026-08-05,2026-08-05,3.0
000422,2026-06-09,2026-06-09,2,2026-06-09,2026-06-09,2026-06-09,2026-06-09,3.3
000425,2025-11-05,2025-11-05,,2025-11-05,2025-11-05,2025-11-05,2025-11-05,2.3
000429,2026-01-04,2025-01-04,,2026-01-04,2026-01-01,2026-01-04,2026-01-01,5.5
000433,2026-08-05,2026-08-05,,2026-08-05,2026-08-05,2026-08-05,2026-08-05,10.9
000436,2026-02-12,2026-02-12,,2026-02-12,2026-02-12,2026-02-12,2026-02-12,3.3
000439,2026-03-18,2026-03-18,,2026-03-18,2026-03-18,2026-03-18,2026-03-18,2.7
000443,2026-04-06,2026-04-06,,2026-04-06,2026-04-06,2026-04-06,2026-04-06,9.5
000447,2025-11-22,2025-11-22,,2025-11-22,2025-11-22,2025-11-22,2025-11-22,5.1
000450,2026-03-11,2025-09-12,2,2026-03-11,2026-03-11,2026-03-11,2026-03-11,9.8
000453,2026-01-26,2025-08-27,2,2025-08-27,2025-08-27,2025-08-27,2025-08-27,11.7
000456,2025-12-26,2025-12-26,2,2025-12-26,2025-12-26,2025-12-26,2025-12-26,5.2
000462,2027-05-27,2027-05-27,,2027-05-27,2027-05-27,2027-05-27,2027-05-27,3.1
000466,2027-06-07,2027-06-17,t,2027-06-17,2027-06-07,2027-06-17,2027-06-07,4.2
000469,2026-07-21,2026-07-21,,2026-07-21,2026-07-21,2026-07-21,2026-07-21,6.3
000473,2026-05-21,NONE,,NONE,NONE,NONE,NONE,43.4
000477,2026-07-21,2026-07-21,,2026-07-21,2026-07-21,2026-07-21,2026-07-21,5.3
000480,2026-06-04,2026-07-21,,2026-07-21,2026-07-21,2026-07-21,2026-07-21,6.5
000483,2027-04-15,2027-04-15,,2027-04-15,2027-04-13,2027-04-15,2027-04-13,4.0
000487,2027-12-11,2027-12-11,,2027-12-11,2027-12-11,2027-12-11,2027-12-11,11.8
000493,2026-06-17,2026-06-17,,2026-06-17,2026-06-17,2026-06-17,2026-06-17,8.3
000496,2027-03-05,2027-03-05,,2027-03-05,2027-03-05,2027-03-05,2027-03-05,6.0
000499,2026-05-13,2026-05-13,,2026-05-13,2026-05-13,2026-05-13,2026-05-13,3.7
000503,2026-02-18,2026-02-10,,2026-02-10,2026-02-18,2026-02-18,2026-02-18,27.9
000506,2026-06-18,2026-06-11,2,2026-06-11,2026-06-01,2026-06-11,2026-06-01,8.8
000511,2026-03-24,2026-03-24,,2026-03-24,2026-03-24,2026-03-24,2026-03-24,7.0
000514,2026-07-13,2026-07-13,,2026-07-13,2026-07-13,2026-07-13,2026-07-13,5.8
000518,2026-09-14,2026-09-14,,2026-09-14,2026-09-14,2026-09-14,2026-09-14,5.8
000521,2026-03-10,2026-03-10,2,2026-03-10,2026-03-10,2026-03-10,2026-03-10,4.1
000524,2026-06-18,2026-06-18,,2026-06-18,2026-06-18,2026-06-18,2026-06-18,8.9
000529,2026-01-12,2026-01-12,,2026-01-12,2026-01-12,2026-01-12,2026-01-12,2.2
000532,2026-02-28,2026-02-28,,2026-02-28,2026-02-28,2026-02-28,2026-02-28,2.9
000535,2026-02-04,2026-02-04,,2026-02-04,2026-02-04,2026-02-04,2026-02-04,1.9
000539,2027-08-11,NONE,,NONE,NONE,NONE,NONE,29.4
000542,2027-07-22,2027-07-22,,2027-07-22,2027-07-22,2027-07-22,2027-07-22,1.9
000546,2026-08-10,2026-08-10,2,2026-08-10,2026-08-10,2026-08-10,2026-08-10,5.5
000549,2027-01-16,2027-01-16,,2027-01-16,2027-01-16,2027-01-16,2027-01-16,11.6
000552,2026-09-07,2026-09-07,,2026-09-07,2026-09-07,2026-09-07,2026-09-07,5.2
000555,2027-04-16,2027-04-16,,2027-04-16,2027-04-16,2027-04-16,2027-04-16,7.8
000558,2025-05-16,2025-05-16,,2025-05-16,2025-05-16,2025-05-16,2025-05-16,9.1
000561,2028-08-07,2028-08-07,,2028-08-07,2028-08-07,2028-08-07,2028-08-07,43.7
000564,2026-06-25,2026-06-25,,2026-06-25,2026-06-25,2026-06-25,2026-06-25,7.3
000567,2025-10-29,2025-10-29,,2025-10-29,2025-10-29,2025-10-29,2025-10-29,6.5
000570,2026-05-20,2026-05-20,,2026-05-20,2026-05-20,2026-05-20,2026-05-20,5.7
000573,NONE-10-22,NONE-10-22,,NONE-10-22,NONE-10-22,NONE-10-22,NONE-10-22,10.9
000576,2026-05-21,2020-02-NONE,2,2026-05-21,2026-05-21,2026-05-21,2026-05-21,6.1
000579,2026-07-10,2026-07-10,,2026-07-10,2026-07-10,2026-07-10,2026-07-10,5.4
000583,2025-11-23,2025-11-NONE,,2025-11-NONE,2025-11-NONE,2025-11-NONE,2025-11-NONE,32.7
000586,2026-03-14,2026-03-14,,2026-03-14,2026-03-21,2026-03-21,2026-03-21,5.4
000589,2026-04-02,2026-04-02,,2026-04-02,2026-04-02,2026-04-02,2026-04-02,8.0
000592,2025-03-25,2023-03-26,2,2023-03-26,2025-03-25,2025-03-25,2025-03-25,10.3
000595,2026-05-01,2026-05-01,,2026-05-01,2026-05-01,2026-05-01,2026-05-01,7.4
000598,2026-03-09,2026-03-09,2,2026-03-09,2026-03-09,2026-03-09,2026-03-09,13.2
000601,2026-01-27,2026-01-27,,2026-01-27,2026-01-27,2026-01-27,2026-01-27,8.0
000604,2026-09-15,NONE,,NONE,NONE,NONE,NONE,51.9
000607,2028-06-23,2028-06-23,,2028-06-23,2028-06-23,2028-06-23,2028-06-23,8.6
000610,2026-06-04,2026-06-04,,2026-06-04,2026-06-04,2026-06-04,2026-06-04,3.8
000613,2026-05-28,2026-05-28,,2026-05-28,2026-05-28,2026-05-28,2026-05-28,4.6
000617,2026-07-11,2026-07-11,,2026-07-11,2026-07-11,2026-07-11,2026-07-11,5.2
000622,2027-01-22,2027-01-22,,2027-01-22,2027-01-22,2027-01-22,2027-01-22,6.2
000625,2027-04-01,2027-04-01,,2027-04-01,2027-04-01,2027-04-01,2027-04-01,4.0
000628,2025-02-03,2025-12-NONE,,2025-02-03,2025-02-03,2025-02-03,2025-02-03,5.1
000633,2025-12-24,2025-12-24,,2025-12-24,2025-12-24,2025-12-24,2025-12-24,4.9
000638,2026-06-16,2026-06-16,,2026-06-16,2026-06-16,2026-06-16,2026-06-16,4.3
000642,2026-09-01,2025-03-01,,2025-03-01,2026-02-02,2026-02-02,2026-02-02,8.2
000649,2027-04-07,2021-01-21,,2021-01-21,2021-01-21,2021-01-21,2021-01-21,23.8
000652,2027-03-31,2027-03-31,,2027-03-31,2027-03-31,2027-03-31,2027-03-31,7.9
000655,2026-08-27,2026-08-27,,2026-08-27,2026-08-27,2026-08-27,2026-08-27,18.1
000658,2026-01-16,2026-01-16,,2026-01-16,2026-01-16,2026-01-16,2026-01-16,3.6
000661,2026-04-17,2026-04-17,,2026-04-17,2026-04-17,2026-04-17,2026-04-17,7.8
000667,2026-06-22,2026-06-22,2,2026-06-22,2026-06-22,2026-06-22,2026-06-22,8.1
000670,2026-06-24,NONE-06-24,2,2026-06-24,2026-06-24,2026-06-24,2026-06-24,15.1
000674,2026-06-02,2026-06-02,,2026-06-02,2026-06-02,2026-06-02,2026-06-02,4.2
000677,2027-08-17,2027-08-17,,2027-08-17,2027-08-17,2027-08-17,2027-08-17,5.4
000680,2025-10-15,2025-10-15,,2025-10-15,2025-10-15,2025-10-15,2025-10-15,4.2
000684,2026-03-23,2026-03-23,,2026-03-23,2026-03-23,2026-03-23,2026-03-23,5.4
000689,2025-10-27,2025-10-27,,2025-10-27,2025-10-27,2025-10-27,2025-10-27,10.7
000692,2026-08-21,2026-08-21,,2026-08-21,2026-08-21,2026-08-21,2026-08-21,3.3
000697,2025-10-07,2025-10-07,,2025-10-07,2025-10-07,2025-10-07,2025-10-07,4.5
000703,2026-01-25,2026-01-25,,2026-01-25,2026-01-25,2026-01-25,2026-01-25,4.1
000706,2026-03-11,2026-03-11,,2026-03-11,2026-03-11,2026-03-11,2026-03-11,3.7
000710,2025-10-14,2025-10-14,,2025-10-14,2025-10-14,2025-10-14,2025-10-14,5.3
000715,2026-06-26,2026-06-26,,2026-06-26,2026-06-26,2026-06-26,2026-06-26,3.5
000718,2026-01-17,2026-01-17,,2026-01-17,2026-01-17,2026-01-17,2026-01-17,4.3
000721,2026-12-17,2026-12-17,,2026-12-17,2026-12-17,2026-12-17,2026-12-17,3.4
000724,2026-05-20,2026-05-20,,2026-05-20,2026-05-20,2026-05-20,2026-05-20,5.7
000727,2026-06-22,2026-06-22,,2026-06-22,2026-06-22,2026-06-22,2026-06-22,5.1
000731,2026-03-08,2026-03-08,,2026-03-08,2026-03-08,2026-03-08,2026-03-08,3.4
000734,2025-10-28,2025-10-28,,2025-10-28,2025-10-28,2025-10-28,2025-10-28,4.4
000738,2026-02-12,2026-02-12,,2026-02-12,2026-02-12,2026-02-12,2026-02-12,4.8
000743,2026-11-16,2026-11-16,,2026-11-16,2026-11-16,2026-11-16,2026-11-16,6.5
000746,2026-06-23,2026-06-23,,2026-06-23,2026-06-23,2026-06-23,2026-06-23,4.2
000751,2025-05-08,2025-05-08,,2025-05-08,2025-05-08,2025-05-08,2025-05-08,7.0
000756,2027-02-24,2027-02-24,,2027-02-24,2027-02-24,2027-02-24,2027-02-24,7.2
000759,2026-05-14,2026-05-14,,2026-05-14,2026-05-14,2026-05-14,2026-05-14,5.7
000762,2026-08-02,2026-08-02,,2026-08-02,2026-08-02,2026-08-02,2026-08-02,4.9
000765,2025-11-21,NONE,,NONE,NONE,NONE,NONE,39.1
000768,2026-06-26,2026-06-26,,2026-06-26,2026-06-26,2026-06-26,2026-06-26,9.6
000771,2019-11-26,NONE-12-31,,NONE-12-31,NONE-12-31,NONE-12-31,NONE-12-31,8.5
000774,2026-02-08,2026-02-08,,2026-02-08,2026-02-08,2026-02-08,2026-02-08,10.4
000777,2026-03-NONE,2026-03-NONE,,2026-03-NONE,2026-03-NONE,2026-03-NONE,2026-03-NONE,50.9
000780,2026-04-27,NONE-04-27,,2026-04-27,2026-04-27,2026-04-27,2026-04-27,8.5
000786,NONE-12-17,NONE-12-17,2,NONE-12-17,NONE-12-17,NONE-12-17,NONE-12-17,16.5
000790,2027-07-NONE,2027-07-NONE,,2027-07-NONE,2027-07-NONE,2027-07-NONE,2027-07-NONE,30.8
000795,2026-07-14,NONE,2,NONE,NONE,NONE,NONE,17.3
000800,2026-08-12,2026-08-12,,2026-08-12,2026-08-12,2026-08-12,2026-08-12,2.9
000804,2027-09-01,2027-09-01,d,2027-09-01,2027-09-01,2027-09-01,2027-09-01,1.8
000808,2026-06-12,2026-06-12,,2026-06-12,2026-06-12,2026-06-12,2026-06-12,1.7
000811,2026-03-31,2026-03-31,,2026-03-31,2026-03-31,2026-03-31,2026-03-31,2.5
000817,2026-12-NONE,NONE,,NONE,NONE,NONE,NONE,15.6
000821,2026-02-02,2026-02-02,,2026-02-02,2026-02-02,2026-02-02,2026-02-02,2.6
000825,2026-06-22,2026-06-22,,2026-06-22,2026-06-22,2026-06-22,2026-06-22,4.6
000829,2026-03-20,2026-03-20,,2026-03-20,2026-03-20,2026-03-20,2026-03-20,3.0
000832,2026-07-16,2025-07-15,b,2025-07-15,2026-07-16,2026-07-16,2026-07-16,3.6
000838,2026-02-21,2026-02-21,,2026-02-21,2026-02-21,2026-02-21,2026-02-21,2.3
000845,2026-06-17,2026-06-17,,2026-06-17,2026-06-17,2026-06-17,2026-06-17,2.8
000848,2026-05-21,2021-05-20,,2021-05-20,2026-05-21,2026-05-21,2026-05-21,17.5
000853,2026-09-24,2026-09-24,,2026-09-24,2026-09-24,2026-09-24,2026-09-24,1.8
000856,2026-06-03,2026-06-03,,2026-06-03,2026-06-03,2026-06-03,2026-06-03,7.0
000859,2021-10-28,NONE,,NONE,NONE,NONE,NONE,8.6
000863,2021-10-22,2020-10-NONE,2,2020-10-NONE,2020-10-NONE,2020-10-NONE,2020-10-NONE,2.4
000867,2021-10-23,NONE,2,NONE,NONE,NONE,NONE,24.6
000871,2021-10-15,2021-10-15,,2021-10-15,2021-10-15,2021-10-15,2021-10-15,3.6
000875,2021-03-22,2021-03-22,,2021-03-22,2021-03-22,2021-03-22,2021-03-22,3.5
000878,2023-04-03,NONE,t,NONE,NONE,NONE,NONE,9.7
000881,2021-06-08,2021-06-08,,2021-06-08,2021-06-08,2021-06-08,2021-06-08,3.1
000884,2021-07-03,NONE,2,NONE,NONE,NONE,NONE,10.6
000887,2021-12-04,2021-01-02,,2021-12-04,2021-12-01,2021-12-04,2021-12-01,13.6
000890,2021-04-05,2021-04-05,,2021-04-05,2021-04-05,2021-04-05,2021-04-05,2.5
000893,2022-02-07,2022-02-07,,2022-02-07,2022-02-07,2022-02-07,2022-02-07,5.0
000897,2025-05-19,2025-05-19,,2025-05-19,2025-05-19,2025-05-19,2025-05-19,11.3
000900,2022-09-02,2022-09-02,,2022-09-02,2022-09-02,2022-09-02,2022-09-02,3.1
000904,2021-08-31,2021-08-22,,2021-08-22,2021-08-31,2021-08-31,2021-08-31,2.2
000907,2022-01-NONE,2022-01-NONE,,2022-01-NONE,2022-01-NONE,2022-01-NONE,2022-01-NONE,3.1
000911,2022-05-05,2022-05-05,,2022-05-05,2022-05-05,2022-05-05,2022-05-05,2.6
000914,2021-07-21,2021-07-21,,2021-07-21,2021-07-21,2021-07-21,2021-07-21,2.0
000918,2021-09-17,2020-04-20,,2020-04-20,2020-04-20,2020-04-20,2020-04-20,5.4
000921,2022-02-26,2022-02-26,,2022-02-26,2022-02-26,2022-02-26,2022-02-26,1.8
000925,NONE-02-02,NONE-02-02,,NONE-02-02,2017-02-13,2017-02-13,2017-02-13,2.7
000928,2022-03-13,2022-03-13,,2022-03-13,2022-03-13,2022-03-13,2022-03-13,3.6
000931,2021-07-29,2021-07-29,,2021-07-29,2021-07-29,2021-07-29,2021-07-29,2.8
000934,2021-02-10,2021-01-25,2,2021-01-25,2021-02-10,2021-02-10,2021-02-10,2.4
000938,2022-06-11,2022-06-11,,2022-06-11,2022-06-11,2022-06-11,2022-06-11,2.3
000942,2021-05-29,2021-05-29,2,2021-05-29,2021-05-29,2021-05-29,2021-05-29,5.3
000947,2021-09-30,2021-09-30,,2021-09-30,2021-09-30,2021-09-30,2021-09-30,1.7
000950,2022-09-16,2022-09-16,,2022-09-16,2022-09-16,2022-09-16,2022-09-16,2.3
000953,2021-02-05,2021-02-07,2,2021-02-07,2021-02-07,2021-02-07,2021-02-07,2.5
000957,2021-02-22,2021-01-29,2,2021-01-29,2021-02-22,2021-02-22,2021-02-22,3.4
000960,2022-07-19,2022-07-19,,2022-07-19,2022-07-19,2022-07-19,2022-07-19,1.9
000964,2023-11-14,2023-11-14,,2023-11-14,2023-11-14,2023-11-14,2023-11-14,2.1
000967,2022-10-17,2022-10-17,,2022-10-17,2022-10-17,2022-10-17,2022-10-17,4.1
000970,2022-06-30,2022-06-30,,2022-06-30,2022-06-30,2022-06-30,2022-06-30,3.5
000975,2023-08-03,2023-08-03,,2023-08-03,2023-08-03,2023-08-03,2023-08-03,2.4
000978,2021-03-11,2022-02-29,,2022-02-29,2029-02-22,2029-02-22,2029-02-22,14.3
000982,2022-02-15,NONE,t,NONE,NONE,NONE,NONE,10.1
000985,2021-12-28,2021-12-28,,2021-12-28,2021-12-28,2021-12-28,2021-12-28,1.7
000990,2020-07-21,NONE,,NONE,NONE,NONE,NONE,9.0
000993,NONE-02-18,NONE,,NONE,NONE,NONE,NONE,16.0
000996,NONE-02-19,NONE,,NONE,NONE,NONE,NONE,14.9
000999,2021-11-11,2021-11-11,2b,2021-11-11,2021-11-11,2021-11-11,2021-11-11,4.4
001004,2020-08-10,NONE,,NONE,NONE,NONE,NONE,25.2
001007,2022-06-29,2022-06-29,2,2022-06-29,2022-06-29,2022-06-29,2022-06-29,2.9
001012,2021-11-10,2021-11-10,2,2021-11-10,2021-11-10,2021-11-10,2021-11-10,3.0
001015,2022-01-11,2022-01-11,,2022-01-11,2022-01-11,2022-01-11,2022-01-11,3.3
001018,2021-05-15,NONE,,NONE,NONE,NONE,NONE,16.0
001022,2021-06-28,NONE,,NONE,NONE,NONE,NONE,11.7
001025,2020-12-09,2020-12-09,,2020-12-09,2020-12-09,2020-12-09,2020-12-09,24.1
001028,2021-07-07,2021-08-01,2,2021-08-01,2021-08-01,2021-08-01,2021-08-01,4.5
001032,2019-07-16,2019-07-16,,2019-07-16,2019-07-16,2019-07-16,2019-07-16,2.3
001036,2021-10-07,2021-10-07,2,2021-10-07,2021-10-07,2021-10-07,2021-10-07,12.4
001039,2021-12-28,2021-12-28,,2021-12-28,2021-12-20,2021-12-28,2021-12-20,1.3
