image_id,final_date,conf,kind,src,n_cands,sec,bbox,img_wh,cands
000028,2026-02-10,0.922,YY,p2,3,3.24,"328,605,932,753",1512x2016,2025-3-31:YY:p1@640:0.68|2026-2-10:YY:p2:0.92|None-2-10:MMDD:p1keep/p1@640:0.94
000030,2017-08-28,0.357,DDMMYY,p2,1,3.76,"0,816,847,970",1512x2016,2017-8-28:DDMMYY:p2:0.36
000031,2026-02-14,0.766,YYYY,p2,1,1.69,"271,976,951,1191",1512x2016,2026-2-14:YYYY:p2:0.77
000032,2026-03-28,0.556,YYYY,p2,3,1.82,"291,932,952,1128",1512x2016,2026-3-21:YYYY:p2:0.68|2026-3-28:YYYY:p2:0.56|2025-3-None:YYYYMM:p1keep/p1@640:0.77
000033,2026-06-17,0.78,YY,p2,1,1.12,"416,1115,1276,1232",1512x2016,2026-6-17:YY:p2:0.78
000034,2026-06-30,0.612,YY,p2,1,1.22,"391,1128,1282,1225",1512x2016,2026-6-30:YY:p2:0.61
000035,2026-08-17,0.911,YYYY,p2,1,0.87,"290,885,1074,1106",1512x2016,2026-8-17:YYYY:p2:0.91
000037,2026-07-17,0.861,YYYY,p2,1,1.3,"328,1084,866,1206",1512x2016,2026-7-17:YYYY:p2:0.86
000038,2027-02-12,0.998,YYYY,p2,1,1.02,"318,1065,1131,1203",1512x2016,2027-2-12:YYYY:p2:1.00
000039,2026-05-26,0.365,YYYY,p2,1,1.03,"243,973,1292,1257",1512x2016,2026-5-26:YYYY:p2:0.36
000040,2025-10-11,0.84,YYYY,p2,1,1.26,"517,1017,1065,1125",1512x2016,2025-10-11:YYYY:p2:0.84
000041,2025-10-11,0.683,YYYY,p2,1,1.13,"435,964,1499,1172",1512x2016,2025-10-11:YYYY:p2:0.68
000042,2025-10-02,0.714,YYYY,p2,1,1.03,"567,1143,1080,1342",1512x2016,2025-10-2:YYYY:p2:0.71
000044,2026-02-07,0.872,YY,erode2/p1@640,1,4.25,"190,285,563,374",1512x2016,2026-2-7:YY:erode2/p1@640:0.87
000045,2027-04-21,0.789,YYYY,p2,1,1.48,"501,1068,967,1169",1512x2016,2027-4-21:YYYY:p2:0.79
000046,2025-10-10,0.808,YYYY,p2,1,1.91,"469,1395,1206,1503",1512x2016,2025-10-10:YYYY:p2:0.81
000047,2027-04-04,0.63,YYYY,p2,1,2.0,"343,1745,955,1957",1179x2556,2027-4-4:YYYY:p2:0.63
000048,2026-06-12,0.843,YY,p2,1,5.36,"134,690,563,734",1512x2016,2026-6-12:YY:p2:0.84
000049,2026-03-01,0.708,YYYY,p2,5,3.97,"195,1358,1301,1468",1512x2016,2025-9-2:YYYY:p2:0.77|2026-3-1:YYYY:p2:0.71|2025-1-3:DMY4:p2:0.68|2026-3-1:YYYY:p2:0.68|2025-9-2:YYYY:p2:0.68
000050,2025-09-30,0.913,EXTEND,p2,2,5.61,"709,906,941,1002",1512x2016,2025-9-30:EXTEND:p2:0.91|None-9-30:MMDD:p1keep/p1@1024:1.00
000051,2026-01-12,0.998,YYYY,p2,2,1.88,"690,1364,1191,1471",1512x2016,2026-1-12:YYYY:p2:0.99|2026-1-12:YYYY:p2:1.00
000052,2025-11-19,0.656,YYYY,p2,1,3.42,"100,1502,990,1653",1179x2556,2025-11-19:YYYY:p2:0.66
000053,2025-12-20,0.797,CMP,p1@1024,1,1.98,"167,1276,968,1540",1179x2556,2025-12-20:CMP:p1@1024:0.80
000054,2025-10-08,0.987,YY,ft/p1@640,1,14.6,"495,1257,1254,1367",1512x2016,2025-10-8:YY:ft/p1@640:0.99
000056,2026-12-07,0.208,DMY4,p2,9,6.52,"104,803,1153,1465",1512x2016,2025-7-12:YYYY:p2:0.21|2026-12-7:DMY4:p2:0.21|2026-7-11:YYYY:p2:0.21|2026-7-11:YYYY:p2:0.21|2026-12-7:DMY4:p2:0.21|2025-7-12:YYYY:p2:0.21|2026-12-7:DMY4:p2:0.21|2026-7-11:YYYY:p2:0.21|2025-7-12:YYYY:p2:0.21
000058,2027-03-27,0.87,YMD_GLUED,p2,1,2.57,"1004,2097,1406,2222",2142x2856,2027-3-27:YMD_GLUED:p2:0.87
000059,2027-06-22,0.576,YYYY,p1keep/erode2/p1@1024,2,11.55,"140,146,762,620",1512x2016,2022-6-22:YYMM_GLUE:p2:0.34|2027-6-22:YYYY:p1keep/erode2/p1@1024:0.58
000060,2026-04-30,0.602,YYYY,p2,1,1.22,"482,734,1143,885",1512x2016,2026-4-30:YYYY:p2:0.60
000062,2026-05-26,0.647,YY,p1@640,1,1.52,"359,627,1377,1531",1512x2016,2026-5-26:YY:p1@640:0.65
000063,2026-06-16,0.846,YMD_GLUED,p2,2,1.98,"536,1405,1033,1597",1512x2016,2025-6-17:YYYY:p2:0.92|2026-6-16:YMD_GLUED:p2:0.85
000065,2026-01-12,0.59,YYYY,p2,1,1.41,"687,486,1941,1642",2142x2856,2026-1-12:YYYY:p2:0.59
000066,2026-08-17,0.766,YYYY,p2,1,1.85,"714,1071,1374,1218",2142x2856,2026-8-17:YYYY:p2:0.77
000067,NONE,,,,0,23.37,,,
000068,2026-06-17,0.78,YYYY,p2,1,4.68,"0,454,522,635",2142x2856,2026-6-17:YYYY:p2:0.78
000071,2027-07-20,0.578,YYYY,p2,6,1.87,"432,1166,1380,1395",1512x2016,2025-7-21:YYYY:p2:0.58|2027-7-20:YYYY:p2:0.58|2027-7-21:MDY4:p2:0.58|2027-7-20:YYYY:p2:0.58|2025-7-21:YYYY:p2:0.58|2027-7-21:MDY4:p2:0.58
000072,2026-04-25,0.444,YYYY,p2,1,3.43,"227,917,1225,1808",1512x2016,2026-4-25:YYYY:p2:0.44
000074,2026-08-28,0.996,YYYY,p2,1,0.92,"457,1172,917,1320",1512x2016,2026-8-28:YYYY:p2:1.00
000075,2026-01-06,0.695,YYYY,p2,1,1.97,"192,1191,1147,1383",1512x2016,2026-1-6:YYYY:p2:0.69
000076,2026-08-17,0.535,YYYY,p2,1,1.19,"435,816,1197,1188",1512x2016,2026-8-17:YYYY:p2:0.53
000077,2026-03-07,0.629,YYYY,p2,1,1.42,"378,1345,1282,1499",1512x2016,2026-3-7:YYYY:p2:0.63
000078,2025-06-19,0.873,YYYY,p2,2,3.27,"432,1373,1005,1493",1512x2016,2018-8-18:SP_DMY:p1@640:0.79|2025-6-19:YYYY:p2:0.87
000079,2026-01-31,0.99,YYYY,p2,1,1.54,"410,1134,961,1247",1512x2016,2026-1-31:YYYY:p2:0.99
000080,2026-09-16,0.557,YY,p2,4,2.77,"0,1336,1266,1606",1512x2016,2025-9-17:YY:p2:0.56|2026-9-16:YY:p2:0.56|2026-9-16:YY:p2:0.56|2025-9-17:YY:p2:0.56
000081,2026-05-18,0.609,YYYY,p2,2,2.55,"0,1232,1351,1354",1512x2016,2025-5-19:YYYY:p2:0.95|2026-5-18:YYYY:p2:0.61
000083,2026-07-01,0.979,YY,p2,1,1.42,"337,1266,936,1408",1512x2016,2026-7-1:YY:p2:0.98
000084,2026-03-31,0.687,YYYY,p2,2,2.9,"88,1232,1471,1358",1512x2016,2025-10-1:YYYY:p2:0.82|2026-3-31:YYYY:p2:0.69
000085,2026-09-30,0.785,YYYY,p2,1,1.65,"428,1071,816,1225",1512x2016,2026-9-30:YYYY:p2:0.79
000091,2027-05-22,0.908,YYYY,p2,1,2.25,"139,1408,1304,1544",1512x2016,2027-5-22:YYYY:p2:0.91
000093,2026-04-23,0.889,YYYY,p1@640,1,1.02,"472,693,850,825",1512x2016,2026-4-23:YYYY:p1@640:0.89
000094,2027-06-30,0.969,YYYY,p2,2,1.77,"507,854,980,980",1512x2016,2027-6-30:YYYY:p2:0.97|2022-6-30:YY_LEAD0:p1@640:0.65
000095,2026-07-29,0.937,YY,p2,1,4.13,"445,852,965,990",1512x2016,2026-7-29:YY:p2:0.94
000098,2026-03-11,0.483,YYYY,p2,1,2.37,"170,1099,1298,1430",1512x2016,2026-3-11:YYYY:p2:0.48
000100,2026-02-11,0.484,YYYY,p2,1,1.71,"220,1348,1203,1641",1512x2016,2026-2-11:YYYY:p2:0.48
000101,2026-04-08,0.922,YYYY,p2,1,1.79,"25,989,1282,1087",1512x2016,2026-4-8:YYYY:p2:0.92
000102,2025-11-13,0.485,YYYY,p2,1,1.13,"306,895,1128,1544",1512x2016,2025-11-13:YYYY:p2:0.49
000103,2025-12-18,0.988,YYYY,p2,1,1.41,"410,939,1093,1030",1512x2016,2025-12-18:YYYY:p2:0.99
000106,NONE-10-20,0.664,MMDD,ft/p1@1024,1,23.04,"71,313,1370,1423",1512x2016,None-10-20:MMDD:ft/p1@1024:0.66
000107,2025-12-25,0.713,YYYY,p2,1,1.11,"495,967,910,1156",1512x2016,2025-12-25:YYYY:p2:0.71
000109,2025-12-12,0.732,YYYY,p2,1,2.62,"551,998,925,1134",1512x2016,2025-12-12:YYYY:p2:0.73
000110,2025-10-29,0.997,YY,ft/p2,1,13.87,"495,709,999,876",1512x2016,2025-10-29:YY:ft/p2:1.00
000111,2025-10-25,0.722,YYMM_DAYLA,p2,3,2.89,"0,724,1457,1236",1512x2016,2025-10-25:YYMM_DAYLA:p2:0.72|2025-10-None:YYMM:p2:0.72|None-10-25:MMDD:p1keep/p1@1024:0.80
000112,2025-10-17,0.797,YY,p2,1,0.93,"586,712,1062,882",1512x2016,2025-10-17:YY:p2:0.80
000113,2026-01-16,0.998,YYYY,p2,1,1.03,"482,614,819,721",1512x2016,2026-1-16:YYYY:p2:1.00
000114,2026-02-28,0.171,YYYY,p2,1,2.4,"472,353,1937,1490",2016x1512,2026-2-28:YYYY:p2:0.17
000115,2025-12-08,0.294,YYYY,erode3/p1@1024,1,9.25,"284,443,768,962",1512x2016,2025-12-8:YYYY:erode3/p1@1024:0.29
000116,2026-03-27,0.502,YYYY,p2,1,1.6,"164,876,1512,1673",1512x2016,2026-3-27:YYYY:p2:0.50
000117,2025-11-28,0.859,YYYY,p2,1,1.09,"621,734,926,819",1512x2016,2025-11-28:YYYY:p2:0.86
000118,2026-05-25,0.906,YYYY,p2,3,1.33,"622,853,916,949",1512x2016,2026-5-25:YYYY:p2:0.80|2026-5-25:YYYY:p2:0.91|2026-3-23:YYYY:p1keep/p1@640:0.85
000119,2026-08-24,0.939,YYYY,p2,2,1.02,"614,825,904,901",1512x2016,2026-8-24:YYYY:p2:0.83|2026-8-24:YYYY:p2:0.94
000120,2026-08-25,0.913,YYYY,p1@640,2,0.94,"583,350,888,444",1512x2016,2026-8-25:YYYY:p1@640:0.91|2026-8-25:YYYY:p2:0.88
000121,2027-04-13,0.985,YYYY,p2,1,1.05,"488,1169,986,1269",1512x2016,2027-4-13:YYYY:p2:0.98
000125,2026-04-07,0.708,YYYY,p2,1,1.12,"0,536,1512,1052",1512x2016,2026-4-7:YYYY:p2:0.71
000126,2026-06-12,0.945,YYYY,p2,1,1.38,"359,693,1408,832",1512x2016,2026-6-12:YYYY:p2:0.95
000127,2026-04-27,0.939,YYYY,p2,1,1.23,"491,888,910,986",1512x2016,2026-4-27:YYYY:p2:0.94
000128,2026-05-28,0.829,YY,p2,1,2.42,"611,901,1008,983",1512x2016,2026-5-28:YY:p2:0.83
000129,2026-01-09,0.977,YMD_GLUED,p2,1,1.39,"617,907,832,964",1512x2016,2026-1-9:YMD_GLUED:p2:0.98
000130,2027-02-05,0.952,YY,p2,1,1.67,"570,1118,901,1191",1512x2016,2027-2-5:YY:p2:0.95
000131,2026-08-05,0.921,YYYY,p2,1,1.29,"671,999,873,1062",1512x2016,2026-8-5:YYYY:p2:0.92
000132,2026-08-21,0.993,YYYY,p2,1,1.18,"397,980,765,1046",1512x2016,2026-8-21:YYYY:p2:0.99
000134,2026-09-23,0.969,YYYY,p2,1,2.02,"425,920,948,995",1512x2016,2026-9-23:YYYY:p2:0.97
000135,2026-04-18,0.6,YYYY,p2,1,3.0,"674,907,1436,1005",1512x2016,2026-4-18:YYYY:p2:0.60
000136,2025-12-02,1.0,YYYY,p2,1,2.15,"605,1033,1046,1134",1512x2016,2025-12-2:YYYY:p2:1.00
000137,2026-03-26,0.736,YYYY,p1@640,1,1.99,"3,964,958,1222",1512x2016,2026-3-26:YYYY:p1@640:0.74
000138,2026-05-14,0.949,YYYY,p2,1,3.2,"0,1062,813,1169",1512x2016,2026-5-14:YYYY:p2:0.95
000139,2026-07-26,0.357,YYYY,p2,1,1.48,"167,973,1351,2016",1512x2016,2026-7-26:YYYY:p2:0.36
000140,2026-07-14,0.923,YYYY,p2,1,3.03,"513,1188,901,1279",1512x2016,2026-7-14:YYYY:p2:0.92
000141,2026-09-17,0.833,YYYY,p2,1,2.03,"0,1055,1512,1468",1512x2016,2026-9-17:YYYY:p2:0.83
000143,2027-03-06,0.774,DMY4,p2,1,3.53,"507,1131,1260,1241",1512x2016,2027-3-6:DMY4:p2:0.77
000144,2027-03-25,0.674,YYYY,p2,1,2.59,"0,1005,1191,1361",1512x2016,2027-3-25:YYYY:p2:0.67
000145,2027-03-24,0.41,YYYY,p2,1,3.9,"9,0,1512,1739",1512x2016,2027-3-24:YYYY:p2:0.41
000147,2026-03-21,0.794,YYYY,p2,1,1.43,"517,1102,917,1188",1512x2016,2026-3-21:YYYY:p2:0.79
000148,2026-02-26,0.928,YY,p2,2,2.39,"614,970,1436,1046",1512x2016,2026-2-26:YY:p2:0.93|2024-8-27:YY:p2:0.99
000149,2026-04-28,0.373,YYYY,p2,1,3.82,"38,32,1512,1805",1512x2016,2026-4-28:YYYY:p2:0.37
000150,2026-08-12,0.833,YYYY,p2,2,2.56,"532,1011,904,1118",1512x2016,2020-2-11:CMP6_DMY:p1@640:0.47|2026-8-12:YYYY:p2:0.83
000151,2026-09-07,0.977,YYYY,p2,1,1.69,"0,769,904,898",1512x2016,2026-9-7:YYYY:p2:0.98
000152,2026-07-31,0.997,YYYY,p1@640,1,1.25,"482,677,976,825",1512x2016,2026-7-31:YYYY:p1@640:1.00
000155,2026-06-22,0.637,YYYY,p2,1,0.79,"504,973,1055,1068",1512x2016,2026-6-22:YYYY:p2:0.64
000156,2026-07-29,0.786,YYYY,p2,1,1.84,"447,847,1043,986",1512x2016,2026-7-29:YYYY:p2:0.79
000157,NONE,,,,0,20.86,,,
000159,2027-01-01,0.952,YYYY,p2,1,4.43,"439,1234,937,1335",1512x2016,2027-1-1:YYYY:p2:0.95
000160,2025-04-02,0.614,YYYY,p2,1,1.04,"554,1046,888,1191",1512x2016,2025-4-2:YYYY:p2:0.61
000161,2027-05-10,0.378,YYYY,p2,1,2.75,"0,265,1106,1131",1512x2016,2027-5-10:YYYY:p2:0.38
000162,2027-06-12,0.916,YYYY,p2,2,2.38,"488,1102,1496,1254",1512x2016,None-5-10:MMDD:p2:0.94|2027-6-12:YYYY:p2:0.92
000163,2026-11-20,0.902,YYYY,p2,1,1.0,"532,806,1153,901",1512x2016,2026-11-20:YYYY:p2:0.90
000164,2026-04-27,0.817,YYYY,p2,1,1.09,"523,939,1011,1040",1512x2016,2026-4-27:YYYY:p2:0.82
000165,2027-01-13,0.915,YMD_GLUED,p1@640,1,0.97,"573,1068,976,1244",1512x2016,2027-1-13:YMD_GLUED:p1@640:0.91
000166,2027-08-NONE,0.881,YYYYMM,erode2/p1@640,1,4.93,"254,515,402,611",1512x2016,2027-8-None:YYYYMM:erode2/p1@640:0.88
000167,2026-08-07,0.7,YYYY,p2,1,3.88,"581,973,925,1138",1512x2016,2026-8-7:YYYY:p2:0.70
000169,2026-03-18,0.884,YYYY,p2,1,1.25,"491,850,863,995",1512x2016,2026-3-18:YYYY:p2:0.88
000170,2026-09-07,0.919,YYYY,p2,1,1.01,"416,989,891,1169",1512x2016,2026-9-7:YYYY:p2:0.92
000171,2026-05-27,0.991,YYYY,p2,2,3.05,"513,1184,945,1257",1512x2016,2025-8-28:YYYY:p2:0.96|2026-5-27:YYYY:p2:0.99
000172,2026-06-10,0.702,YYYY,p2,2,1.44,"592,800,992,1014",1512x2016,2026-6-10:YYYY:p2:0.70|2025-9-11:YYYY:p2:0.70
000173,2026-09-17,0.53,YYYY,p2,1,1.28,"435,1194,1115,1317",1512x2016,2026-9-17:YYYY:p2:0.53
000174,2026-09-05,0.433,YYYY,p2,5,1.93,"410,841,948,1074",1512x2016,2026-9-5:YYYY:p2:0.43|2026-9-5:YYYY:p2:0.43|2026-9-5:YYYY:p2:0.43|2025-9-6:YYYY:p1keep/p1@640:0.65|2026-6-9:DMY4:p1keep/p1@640:0.65
000175,2026-06-28,0.5,YMD_GLUED,p2,2,2.09,"183,1121,1228,2016",1512x2016,2025-9-29:YYYY:p2:0.47|2026-6-28:YMD_GLUED:p2:0.50
000176,2026-09-22,0.695,YYYY,p2,9,3.14,"394,898,1320,1216",1512x2016,2026-9-22:YYYY:p2:0.69|2025-9-23:YYYY:p2:0.69|2025-9-22:MDY4:p2:0.69|2025-9-23:YYYY:p2:0.69|2025-9-22:MDY4:p2:0.69|2026-9-22:YYYY:p2:0.69|2025-9-22:MDY4:p2:0.69|2025-9-23:YYYY:p2:0.69|2026-9-22:YYYY:p2:0.69
000177,2026-08-18,0.653,YYYY,p2,4,2.02,"328,1137,1216,1361",1512x2016,2026-8-18:YYYY:p2:0.65|2025-8-19:YYYY:p2:0.65|2025-8-19:YYYY:p2:0.65|2026-8-18:YYYY:p2:0.65
000178,2026-06-25,0.633,YYYY,p2,2,1.96,"517,995,920,1134",1512x2016,2025-9-26:YYYY:p2:0.91|2026-6-25:YYYY:p2:0.63
000179,2026-06-29,0.817,YYYY,p1keep/p1@640,5,2.53,"517,951,1203,1228",1512x2016,2025-9-30:YMD_GLUED:p2:0.69|2025-9-30:YMD_GLUED:p2:0.69|2025-9-30:YMD_GLUED:p2:0.69|2026-6-29:YYYY:p1keep/p1@640:0.82|2026-9-30:MDY4:p1keep/p1@640:0.82
000180,2026-06-25,0.937,YYYY,p2,2,1.92,"536,1071,923,1169",1512x2016,2025-9-26:YYYY:p2:0.96|2026-6-25:YYYY:p2:0.94
000181,2026-09-08,0.651,YYYY,p2,2,1.65,"517,1213,948,1351",1512x2016,2025-9-9:YYYY:p2:0.99|2026-9-8:YYYY:p2:0.65
000182,2026-10-01,0.847,DMY4,p2,1,2.19,"381,1046,1024,1156",1512x2016,2026-10-1:DMY4:p2:0.85
000184,2027-11-01,0.669,DMY4,p2,1,2.1,"586,926,1503,1137",1512x2016,2027-11-1:DMY4:p2:0.67
000185,2028-03-15,0.558,DMY4,p2,1,2.98,"0,970,1058,1449",1512x2016,2028-3-15:DMY4:p2:0.56
000186,2028-04-14,0.986,YYYY,p2,1,1.0,"529,873,914,1011",1512x2016,2028-4-14:YYYY:p2:0.99
000187,2028-02-05,0.421,YYYY,p2,1,1.8,"79,158,1257,1008",1512x2016,2028-2-5:YYYY:p2:0.42
000189,2026-08-25,0.998,YYYY,p2,1,2.72,"564,1017,879,1084",1512x2016,2026-8-25:YYYY:p2:1.00
000190,2022-11-26,0.511,YYMM_GLUE,dilate2/p1@1024,1,16.63,"218,417,445,485",1512x2016,2022-11-26:YYMM_GLUE:dilate2/p1@1024:0.51
000191,2020-06-15,0.696,SP_YMD,ft/erode3/p1@1024,1,24.52,"262,508,570,587",1512x2016,2020-6-15:SP_YMD:ft/erode3/p1@1024:0.70
000192,2024-06-01,0.697,SP_DMY,p1@640,1,2.19,"542,838,1074,995",1512x2016,2024-6-1:SP_DMY:p1@640:0.70
000194,2027-04-23,0.643,YYYY,p2,1,1.97,"639,898,1024,1014",1512x2016,2027-4-23:YYYY:p2:0.64
000195,2027-07-01,0.721,YYYY,p2,1,2.0,"520,1030,961,1159",1512x2016,2027-7-1:YYYY:p2:0.72
000196,2027-02-27,0.858,YYYY,p2,1,1.23,"491,1156,1002,1247",1512x2016,2027-2-27:YYYY:p2:0.86
000198,2022-12-15,0.802,SP_DMY,p1@640,1,4.21,"586,847,1194,910",1512x2016,2022-12-15:SP_DMY:p1@640:0.80
000200,2021-07-NONE,0.319,YYMM,fullres/p1@1024,1,11.01,"211,1358,1512,1691",1512x2016,2021-7-None:YYMM:fullres/p1@1024:0.32
000201,2027-03-30,0.868,YYYY,p2,1,3.33,"444,976,1065,1128",1512x2016,2027-3-30:YYYY:p2:0.87
000202,2027-02-06,0.684,YYYY,p2,1,1.43,"0,986,964,1169",1512x2016,2027-2-6:YYYY:p2:0.68
000203,2026-07-08,0.596,YYYY,erode3/p1@640,1,14.15,"2,35,554,645",1512x2016,2026-7-8:YYYY:erode3/p1@640:0.60
000204,2026-06-18,0.454,YYYY,p2,1,2.64,"148,573,1011,1109",1512x2016,2026-6-18:YYYY:p2:0.45
000205,2027-05-18,0.851,DMY4,p2,1,1.4,"0,879,813,1106",1512x2016,2027-5-18:DMY4:p2:0.85
000206,2026-05-08,0.904,YYYY,p2,1,1.93,"365,1166,898,1273",1512x2016,2026-5-8:YYYY:p2:0.90
000208,2026-04-13,0.995,MDY4,p2,1,1.49,"558,1175,1408,1269",1512x2016,2026-4-13:MDY4:p2:1.00
000211,2026-06-02,0.835,YYYY,p2,2,6.22,"189,460,444,566",1512x2016,2026-6-2:YYYY:p2:0.84|2026-2-12:YYYY:p1keep/erode2/p1@1024:0.95
000212,2026-12-16,0.788,YYYY,p2,1,10.19,"259,545,512,608",1512x2016,2026-12-16:YYYY:p2:0.79
000213,2026-03-20,0.979,YYYY,p2,1,1.62,"410,1178,1090,1276",1512x2016,2026-3-20:YYYY:p2:0.98
000216,2026-06-03,0.755,YYYY,p2,2,2.18,"357,1145,754,1283",1512x2016,2026-3-1:YYYY:p1@640:0.97|2026-6-3:YYYY:p2:0.75
000217,2027-03-08,0.449,YY,p1@640,1,4.26,"0,129,1358,1254",1512x2016,2027-3-8:YY:p1@640:0.45
000218,2026-05-03,0.968,YYYY,p2,1,1.9,"517,1005,907,1131",1512x2016,2026-5-3:YYYY:p2:0.97
000219,2026-09-07,0.827,YYYY,p2,1,1.03,"570,951,973,1040",1512x2016,2026-9-7:YYYY:p2:0.83
000220,2026-02-23,0.963,YYYY,p2,1,1.76,"586,986,914,1062",1512x2016,2026-2-23:YYYY:p2:0.96
000221,2026-07-15,0.902,YYYY,p2,1,1.79,"617,1065,976,1175",1512x2016,2026-7-15:YYYY:p2:0.90
000222,2026-03-25,0.947,YYYY,p2,1,1.58,"558,1102,929,1169",1512x2016,2026-3-25:YYYY:p2:0.95
000223,2026-08-13,0.991,YYYY,p2,1,1.32,"438,1027,910,1150",1512x2016,2026-8-13:YYYY:p2:0.99
000225,2026-04-06,0.448,YYYY,p2,1,2.81,"510,397,1440,1115",1512x2016,2026-4-6:YYYY:p2:0.45
000226,2027-03-15,0.788,YYMM_DAYLA,p2,4,4.9,"595,1093,996,1201",1512x2016,2027-3-None:YYMM:p2:0.79|2027-3-15:YYMM_DAYLA:p2:0.79|2027-3-15:YYMM_DAYLA:p2:0.79|2027-3-None:YYMM:p2:0.79
000227,2028-09-17,0.398,YYYY,p2,1,5.44,"0,51,1227,1187",1512x2016,2028-9-17:YYYY:p2:0.40
000228,2025-10-20,0.947,YYYY,p2,1,1.24,"583,907,942,1021",1512x2016,2025-10-20:YYYY:p2:0.95
000229,2022-10-11,0.745,CMP6_YMD,erode2/p1@640,1,6.85,"85,930,560,1022",1512x2016,2022-10-11:CMP6_YMD:erode2/p1@640:0.74
000230,2026-03-28,0.725,YYYY,p2,1,2.24,"277,1143,1080,1295",1512x2016,2026-3-28:YYYY:p2:0.73
000232,NONE,,,,0,29.91,,,
000233,2021-01-22,0.69,CMP6_YMD,erode2/p1@1024,1,6.98,"0,29,540,661",1512x2016,2021-1-22:CMP6_YMD:erode2/p1@1024:0.69
000235,2026-03-08,0.896,YYYY,p2,1,2.7,"321,677,1046,841",1512x2016,2026-3-8:YYYY:p2:0.90
000236,2026-04-08,0.904,YYYY,p2,1,3.09,"375,973,1156,1140",1512x2016,2026-4-8:YYYY:p2:0.90
000237,2026-06-05,0.839,YYYY,p2,1,3.38,"189,1112,1118,1203",1512x2016,2026-6-5:YYYY:p2:0.84
000238,2026-09-10,0.872,YYYY,p1@640,2,1.74,"428,1058,1288,1421",1512x2016,2025-9-11:YYYY:p2:0.42|2026-9-10:YYYY:p1@640:0.87
000239,2026-07-10,0.356,YYYY,p2,2,3.56,"249,488,1386,1370",1512x2016,2026-7-10:YYYY:p2:0.36|2022-4-25:MDY4:p1@640:0.50
000240,2027-05-20,0.634,YYYY,p2,1,2.4,"608,1197,1273,1345",1512x2016,2027-5-20:YYYY:p2:0.63
000241,2027-08-10,0.942,YYYY,p2,1,2.48,"561,1166,1247,1288",1512x2016,2027-8-10:YYYY:p2:0.94
000242,2025-09-22,0.59,YYYY,p2,4,3.98,"0,718,1320,1348",1512x2016,2025-9-22:YYYY:p2:0.59|2025-5-21:MDY4:p2:0.59|2025-5-21:MDY4:p2:0.59|2025-9-22:YYYY:p2:0.59
000243,2026-08-17,0.809,YYYY,p2,1,1.14,"469,1033,1279,1310",1512x2016,2026-8-17:YYYY:p2:0.81
