image_id,label,old,tags,all4,sec
000233,2028-01-13,2021-01-22,,2021-01-22,6.7
000237,2026-06-05,2026-06-05,,2026-06-05,2.9
000240,2027-05-20,2027-05-20,,2027-05-20,2.2
000243,2026-08-17,2026-08-17,,2026-08-17,1.3
000246,2026-02-04,2025-09-05,2,2026-02-04,2.6
000250,2026-03-04,2026-03-04,2,2026-03-04,3.2
000253,2026-06-20,2026-06-20,,2026-06-20,1.5
000257,2025-12-10,2025-12-10,,2025-12-10,1.3
000260,2027-04-01,2027-04-01,,2027-04-01,1.8
000263,2028-01-22,NONE,,NONE,17.6
000266,2025-12-04,NONE,b,NONE,21.8
000270,2026-09-03,2026-09-03,,2026-09-03,3.1
000275,2026-04-23,2026-04-23,,2026-04-23,6.9
000281,2026-07-15,2026-07-15,,2026-07-15,2.9
000284,2026-08-20,2026-08-20,,2026-08-20,5.0
000287,2027-02-18,2027-02-18,,2027-02-18,5.5
000290,2027-03-02,2027-03-02,,2027-03-02,9.3
000294,2026-09-08,2026-09-09,2,2026-09-08,7.2
000299,2026-05-13,2026-05-13,,2026-05-13,3.8
000302,2026-03-15,2026-03-15,,2026-03-15,1.7
000305,2026-02-24,2026-02-24,,2026-02-24,17.6
000308,2025-12-04,2025-12-04,,2025-12-04,1.4
000313,2026-03-17,2026-03-17,,2026-03-17,3.2
000317,2025-11-15,2025-11-15,,2025-11-15,4.4
000322,2025-10-29,2025-10-29,,2025-10-29,1.5
000325,2025-11-03,2025-11-03,,2025-11-03,3.1
000329,2025-12-25,2025-12-25,,2025-12-25,2.9
000332,2025-10-22,2025-10-22,,2025-10-22,1.7
000335,2025-11-28,2025-11-28,,2025-11-28,2.4
000338,2026-05-28,2026-05-28,,2026-05-28,1.9
000342,2026-06-22,2026-06-22,,2026-06-22,1.0
000346,2026-05-15,2026-05-15,,2026-05-15,1.1
000349,2025-12-07,2025-12-07,,2025-12-07,1.1
000353,2026-03-08,2026-03-08,,2026-03-08,2.2
000356,2027-03-17,2027-03-17,,2027-03-17,2.9
000360,2026-02-18,NONE,2,NONE,30.7
000364,2026-06-04,2026-06-04,,2026-06-04,9.8
000367,2026-05-18,2026-05-18,,2026-05-18,4.1
000370,2026-09-02,2025-09-02,,2021-05-09,9.1
000373,2026-09-18,NONE,,NONE,33.7
000376,2025-10-07,2025-10-07,,2025-10-07,4.9
000379,2026-09-05,2026-09-05,d,2026-09-05,3.1
000382,2026-08-18,2026-08-18,,2026-08-18,2.3
000385,2026-09-14,2026-09-14,2,2026-09-14,2.9
000390,2026-05-19,2021-03-23,,2021-03-23,13.2
000393,2027-08-02,2027-08-02,,2027-08-02,2.3
000397,2026-02-19,2026-02-19,,2026-02-19,3.0
000401,2027-04-12,2027-04-12,,2027-04-12,2.4
000404,2026-06-10,2026-06-10,,2026-06-10,2.0
000407,2025-12-01,2025-12-01,2,2025-12-01,3.6
000411,2026-09-09,2026-09-09,2,2026-09-09,3.7
000416,2026-04-07,2026-07-01,,2026-07-01,1.9
000419,2026-08-05,2026-08-05,,2026-08-05,1.4
000422,2026-06-09,2026-06-09,2,2026-06-09,1.4
000425,2025-11-05,2025-11-05,,2025-11-05,1.3
000429,2026-01-04,2025-01-04,,2026-01-04,3.1
000433,2026-08-05,2026-08-05,,2026-08-05,5.6
000436,2026-02-12,2026-02-12,,2026-02-12,2.2
000439,2026-03-18,2026-03-18,,2026-03-18,1.5
000443,2026-04-06,2026-04-06,,2026-04-06,3.8
000447,2025-11-22,2025-11-22,,2025-11-22,3.0
000450,2026-03-11,2025-09-12,2,2026-03-11,2.9
000453,2026-01-26,2025-08-27,2,2025-08-27,6.4
000456,2025-12-26,2025-12-26,2,2025-12-26,3.4
000462,2027-05-27,2027-05-27,,2027-05-27,1.6
000466,2027-06-07,2027-06-17,t,2027-06-17,2.3
000469,2026-07-21,2026-07-21,,2026-07-21,1.9
000473,2026-05-21,NONE,,NONE,21.8
000477,2026-07-21,2026-07-21,,2026-07-21,1.9
000480,2026-06-04,2026-07-21,,2026-07-21,2.3
000483,2027-04-15,2027-04-15,,2027-04-15,1.7
000487,2027-12-11,2027-12-11,,2027-12-11,6.5
000493,2026-06-17,2026-06-17,,2026-06-17,3.5
000496,2027-03-05,2027-03-05,,2027-03-05,3.0
000499,2026-05-13,2026-05-13,,2026-05-13,1.8
000503,2026-02-18,2026-02-10,,2026-02-10,14.9
000506,2026-06-18,2026-06-11,2,2026-06-11,2.6
000511,2026-03-24,2026-03-24,,2026-03-24,1.3
000514,2026-07-13,2026-07-13,,2026-07-13,1.6
000518,2026-09-14,2026-09-14,,2026-09-14,1.3
000521,2026-03-10,2026-03-10,2,2026-03-10,1.4
000524,2026-06-18,2026-06-18,,2026-06-18,1.3
000529,2026-01-12,2026-01-12,,2026-01-12,1.2
000532,2026-02-28,2026-02-28,,2026-02-28,1.8
000535,2026-02-04,2026-02-04,,2026-02-04,1.8
000539,2027-08-11,NONE,,NONE,28.9
000542,2027-07-22,2027-07-22,,2027-07-22,2.6
000546,2026-08-10,2026-08-10,2,2026-08-10,4.2
000549,2027-01-16,2027-01-16,,2027-01-16,4.1
000552,2026-09-07,2026-09-07,,2026-09-07,1.4
000555,2027-04-16,2027-04-16,,2027-04-16,2.4
000558,2025-05-16,2025-05-16,,2025-05-16,2.6
000561,2028-08-07,2028-08-07,,2028-08-07,21.2
000564,2026-06-25,2026-06-25,,2026-06-25,3.9
000567,2025-10-29,2025-10-29,,2025-10-29,2.5
000570,2026-05-20,2026-05-20,,2026-05-20,1.8
000573,NONE-10-22,NONE-10-22,,NONE-10-22,3.4
000576,2026-05-21,2020-02-NONE,2,2026-05-21,1.5
000579,2026-07-10,2026-07-10,,2026-07-10,1.1
000583,2025-11-23,2025-11-NONE,,2025-11-NONE,11.8
000586,2026-03-14,2026-03-14,,2026-03-14,1.0
000589,2026-04-02,2026-04-02,,2026-04-02,1.7
000592,2025-03-25,2023-03-26,2,2023-03-26,3.9
000595,2026-05-01,2026-05-01,,2026-05-01,2.5
000598,2026-03-09,2026-03-09,2,2026-03-09,5.3
000601,2026-01-27,2026-01-27,,2026-01-27,2.3
000604,2026-09-15,NONE,,NONE,23.6
000607,2028-06-23,2028-06-23,,2028-06-23,2.1
000610,2026-06-04,2026-06-04,,2026-06-04,1.4
000613,2026-05-28,2026-05-28,,2026-05-28,1.3
000617,2026-07-11,2026-07-11,,2026-07-11,1.3
000622,2027-01-22,2027-01-22,,2027-01-22,1.4
000625,2027-04-01,2027-04-01,,2027-04-01,1.6
000628,2025-02-03,2025-12-NONE,,2025-02-03,1.7
000633,2025-12-24,2025-12-24,,2025-12-24,1.8
000638,2026-06-16,2026-06-16,,2026-06-16,2.0
000642,2026-09-01,2025-03-01,,2025-03-01,2.2
000649,2027-04-07,2021-01-21,,2021-01-21,14.7
000652,2027-03-31,2027-03-31,,2027-03-31,4.5
000655,2026-08-27,2026-08-27,,2026-08-27,4.5
000658,2026-01-16,2026-01-16,,2026-01-16,1.2
000661,2026-04-17,2026-04-17,,2026-04-17,2.7
000667,2026-06-22,2026-06-22,2,2026-06-22,1.5
000670,2026-06-24,NONE-06-24,2,2026-06-24,5.7
000674,2026-06-02,2026-06-02,,2026-06-02,1.5
000677,2027-08-17,2027-08-17,,2027-08-17,1.8
000680,2025-10-15,2025-10-15,,2025-10-15,1.1
000684,2026-03-23,2026-03-23,,2026-03-23,1.9
000689,2025-10-27,2025-10-27,,2025-10-27,4.4
000692,2026-08-21,2026-08-21,,2026-08-21,1.7
000697,2025-10-07,2025-10-07,,2025-10-07,1.3
000703,2026-01-25,2026-01-25,,2026-01-25,1.7
000706,2026-03-11,2026-03-11,,2026-03-11,1.7
000710,2025-10-14,2025-10-14,,2025-10-01,2.0
000715,2026-06-26,2026-06-26,,2026-06-26,1.9
000718,2026-01-17,2026-01-17,,2026-01-17,1.4
000721,2026-12-17,2026-12-17,,2026-12-17,1.8
000724,2026-05-20,2026-05-20,,2026-05-20,1.6
000727,2026-06-22,2026-06-22,,2026-06-22,2.1
000731,2026-03-08,2026-03-08,,2026-03-08,1.5
000734,2025-10-28,2025-10-28,,2025-10-28,1.5
000738,2026-02-12,2026-02-12,,2026-02-12,1.7
000743,2026-11-16,2026-11-16,,2026-11-16,1.8
000746,2026-06-23,2026-06-23,,2026-06-23,1.5
000751,2025-05-08,2025-05-08,,2025-05-08,2.5
000756,2027-02-24,2027-02-24,,2027-02-24,2.0
000759,2026-05-14,2026-05-14,,2026-05-14,1.5
000762,2026-08-02,2026-08-02,,2026-08-02,1.7
000765,2025-11-21,NONE,,NONE,12.6
000768,2026-06-26,2026-06-26,,2026-06-26,3.1
000771,2019-11-26,NONE-12-31,,NONE-12-31,2.4
000774,2026-02-08,2026-02-08,,2026-02-08,2.5
000777,2026-03-NONE,2026-03-NONE,,2026-03-NONE,21.4
000780,2026-04-27,NONE-04-27,,2026-04-27,1.5
000786,NONE-12-17,NONE-12-17,2,NONE-12-17,3.6
000790,2027-07-NONE,2027-07-NONE,,2027-07-NONE,10.7
000795,2026-07-14,NONE,2,NONE,13.9
000800,2026-08-12,2026-08-12,,2026-08-12,3.4
000804,2027-09-01,2027-09-01,d,2027-09-01,1.9
000808,2026-06-12,2026-06-12,,2026-06-12,1.7
000811,2026-03-31,2026-03-31,,2026-03-31,2.1
000817,2026-12-NONE,NONE,,NONE,13.4
000821,2026-02-02,2026-02-02,,2026-02-02,1.6
000825,2026-06-22,2026-06-22,,2026-06-22,3.0
000829,2026-03-20,2026-03-20,,2026-03-20,1.5
000832,2026-07-16,2025-07-15,b,2025-07-15,3.5
000838,2026-02-21,2026-02-21,,2026-02-21,2.5
000845,2026-06-17,2026-06-17,,2026-06-17,4.0
000848,2026-05-21,2021-05-20,,2021-05-20,24.3
000853,2026-09-24,2026-09-24,,2026-09-24,2.0
000856,2026-06-03,2026-06-03,,2026-06-03,4.9
000859,2021-10-28,NONE,,NONE,7.5
000863,2021-10-22,2020-10-NONE,2,2020-10-NONE,1.8
000867,2021-10-23,NONE,2,NONE,19.1
000871,2021-10-15,2021-10-15,,2021-10-15,2.1
000875,2021-03-22,2021-03-22,,2021-03-22,3.4
000878,2023-04-03,NONE,t,NONE,7.4
000881,2021-06-08,2021-06-08,,2021-06-08,1.7
000884,2021-07-03,NONE,2,NONE,7.2
000887,2021-12-04,2021-01-02,,2021-12-04,9.7
000890,2021-04-05,2021-04-05,,2021-04-05,1.2
000893,2022-02-07,2022-02-07,,2022-02-07,3.4
000897,2025-05-19,2025-05-19,,2025-05-19,10.8
000900,2022-09-02,2022-09-02,,2022-09-02,3.2
000904,2021-08-31,2021-08-22,,2021-08-22,1.9
000907,2022-01-NONE,2022-01-NONE,,2022-01-NONE,2.1
000911,2022-05-05,2022-05-05,,2022-05-05,2.2
000914,2021-07-21,2021-07-21,,2021-07-21,1.8
000918,2021-09-17,2020-04-20,,2020-04-20,5.3
000921,2022-02-26,2022-02-26,,2022-02-26,1.4
000925,NONE-02-02,NONE-02-02,,NONE-02-02,2.1
000928,2022-03-13,2022-03-13,,2022-03-13,3.1
000931,2021-07-29,2021-07-29,,2021-07-29,2.9
000934,2021-02-10,2021-01-25,2,2021-01-25,1.8
000938,2022-06-11,2022-06-11,,2022-06-11,2.0
000942,2021-05-29,2021-05-29,2,2021-05-29,4.7
000947,2021-09-30,2021-09-30,,2021-09-30,1.4
000950,2022-09-16,2022-09-16,,2022-09-16,2.2
000953,2021-02-05,2021-02-07,2,2021-02-07,1.3
000957,2021-02-22,2021-01-29,2,2021-01-29,2.4
000960,2022-07-19,2022-07-19,,2022-07-19,1.7
000964,2023-11-14,2023-11-14,,2023-11-14,1.5
000967,2022-10-17,2022-10-17,,2022-10-17,3.1
000970,2022-06-30,2022-06-30,,2022-06-30,3.4
000975,2023-08-03,2023-08-03,,2023-08-03,2.6
000978,2021-03-11,2022-02-29,,2022-02-29,11.0
000982,2022-02-15,NONE,t,NONE,14.6
000985,2021-12-28,2021-12-28,,2021-12-28,2.9
000990,2020-07-21,NONE,,NONE,12.5
000993,NONE-02-18,NONE,,NONE,17.8
000996,NONE-02-19,NONE,,NONE,22.8
000999,2021-11-11,2021-11-11,2b,2021-11-11,6.3
001004,2020-08-10,NONE,,NONE,49.1
001007,2022-06-29,2022-06-29,2,2022-06-29,4.4
001012,2021-11-10,2021-11-10,2,2021-11-10,5.1
001015,2022-01-11,2022-01-11,,2022-01-11,7.2
001018,2021-05-15,NONE,,NONE,26.2
001022,2021-06-28,NONE,,NONE,12.7
001025,2020-12-09,2020-12-09,,2020-12-09,25.0
001028,2021-07-07,2021-08-01,2,2021-07-07,2.7
001032,2019-07-16,2019-07-16,,2019-07-16,2.2
001036,2021-10-07,2021-10-07,2,2021-10-07,13.9
001039,2021-12-28,2021-12-28,,2021-12-28,1.4
001042,2021-09-13,2021-09-13,d,2021-09-13,1.7
001045,2021-04-30,2021-04-30,,2021-04-30,1.7
001049,2022-01-06,2022-01-06,,2022-01-06,2.2
001052,2022-12-20,2022-12-20,,2022-12-20,3.9
001055,2022-08-10,2022-08-10,,2022-08-10,2.1
001060,2022-06-23,2022-06-23,,2022-06-23,2.1
001064,2022-01-04,2022-01-04,,2022-01-04,3.3
001067,2021-12-06,2021-01-12,,2021-12-06,2.5
001070,NONE-01-24,NONE-01-24,,NONE-01-24,1.9
001074,2021-09-30,2021-09-30,,2021-09-30,14.3
001078,2023-09-24,2023-09-24,,2023-09-24,3.2
001081,2021-06-17,2021-06-17,,2021-06-17,2.3
001084,2021-07-09,2021-07-01,,2021-07-01,2.9
001087,2022-06-14,2022-06-14,,2022-06-14,1.5
001090,2021-04-16,2021-04-16,2,2021-04-16,4.7
001094,2022-01-12,2022-01-12,2,2022-01-12,1.2
001097,2021-06-11,2021-01-01,2,2021-06-11,3.3
001101,2021-03-14,2021-01-14,2,2021-01-14,2.6
001104,2021-08-26,2021-08-26,2,2021-08-26,2.1
001107,2021-02-28,2021-02-28,,2021-02-28,2.0
001110,2021-03-22,2021-03-02,,2021-03-22,2.6
001113,2023-11-15,2023-11-15,,2023-11-15,2.0
001116,2022-01-12,2022-01-12,,2022-01-12,1.4
001120,2021-12-16,2021-12-01,,2021-12-01,1.8
001123,2021-10-09,2021-10-09,,2021-10-09,4.5
001126,2021-12-28,2021-12-28,,2021-12-28,1.7
001129,NONE-02-07,NONE,,NONE,14.6
001132,2021-02-19,2020-12-12,2,2020-12-12,2.7
001135,2022-09-24,2022-09-24,,2022-09-24,3.2
001138,2021-10-23,2021-10-23,,2021-10-23,1.6
001141,2022-03-14,2022-03-14,2,2022-03-14,3.6
001145,2021-05-25,2021-05-25,,2021-05-25,2.1
001148,2022-07-31,2022-07-31,,2022-07-31,2.4
001151,2021-09-18,2021-09-18,,2021-09-18,2.0
001155,2021-09-21,2021-09-21,,2021-09-21,12.0
001158,2021-08-10,2021-08-10,,2021-08-10,1.6
001161,2021-04-23,2021-04-23,,2021-04-23,2.1
001164,2021-03-01,2021-03-01,,2021-03-01,4.0
001169,2021-08-31,2021-08-31,,2021-08-31,2.8
001172,2021-09-NONE,2021-09-NONE,,2021-09-NONE,4.4
001175,2021-09-07,2021-09-07,d,2021-09-07,3.3
001178,2021-12-01,NONE,,NONE,8.9
001182,2022-04-14,2022-04-14,,2022-04-14,2.6
001185,2021-09-28,2021-09-26,2,2021-09-26,3.7
001190,2019-06-28,2019-06-28,2,2019-06-28,2.9
001193,2021-02-11,2021-02-11,2,2021-02-11,4.4
001197,2021-10-10,2021-10-10,,2021-10-10,1.7
001200,2021-10-20,2020-10-21,2,2020-10-21,2.6
001204,2023-02-28,2023-02-28,,2023-02-28,2.4
001207,2020-08-18,2020-08-18,,2020-08-18,3.2
001210,2021-08-03,2021-08-03,,2021-08-03,1.8
001213,2021-05-15,2021-05-15,,2021-05-15,4.8
001217,2022-05-30,2022-05-30,,2022-05-30,1.7
001220,2021-01-14,2021-01-14,,2021-01-14,1.9
001223,2021-04-11,2021-04-11,,2021-04-11,3.6
001226,2022-06-27,2020-12-28,2,2020-12-28,3.6
001229,2021-10-28,2021-10-28,,2021-10-28,2.2
001232,2021-05-05,2021-05-05,,2021-05-05,4.6
001236,NONE-01-28,NONE-01-28,,NONE-01-28,2.0
001240,2020-12-19,2020-12-19,,2020-12-19,2.0
001244,2023-12-31,2023-12-31,,2023-12-31,1.9
001247,2022-01-19,2022-01-19,2,2022-01-19,4.4
001250,2021-04-11,2021-01-12,2,2021-04-11,5.0
001253,2021-08-19,2021-06-19,,2021-08-11,1.5
001256,2023-07-03,2023-07-03,,2023-07-03,1.0
001259,2021-08-30,2021-08-30,,2021-08-30,12.1
001263,2022-12-03,2022-12-03,,2022-12-03,4.0
001266,2022-06-NONE,2022-06-NONE,,2022-06-NONE,2.3
001270,2021-10-11,2021-10-11,,2021-10-11,1.8
001273,2022-06-17,2022-06-17,,2022-06-17,4.7
001277,2021-11-04,2021-11-04,,2021-11-04,2.0
001280,2022-10-09,2022-10-09,,2022-10-09,2.6
001283,2022-04-23,2022-04-23,,2022-04-23,1.6
001289,2024-11-21,2024-11-21,,2024-11-21,1.9
001293,2020-09-21,2020-09-NONE,,2020-09-NONE,4.8
001296,2023-11-NONE,2023-11-NONE,,2023-11-NONE,10.2
001299,2021-07-28,2021-07-28,,2021-07-28,4.1
001303,2021-09-14,2021-09-14,2,2021-09-14,3.8
001306,2021-07-19,2021-07-19,,2021-07-19,4.4
001309,2021-04-30,2021-04-30,t,2021-04-30,3.5
001312,2022-10-20,2022-10-20,,2022-10-20,1.6
001315,2021-12-09,2021-12-09,,2021-12-09,2.0
001318,2022-12-07,2020-12-07,2,2020-12-07,3.0
001323,2023-07-09,2023-07-09,2,2023-07-09,4.2
001327,2021-07-19,2021-07-19,,2021-07-19,3.4
001332,2021-12-NONE,2021-12-NONE,,2021-12-NONE,1.5
001335,2021-10-26,2021-10-26,,2021-10-26,4.3
001339,2021-06-08,2021-06-08,,2021-06-08,5.2
001342,2021-09-10,2021-09-10,,2021-09-10,5.6
001345,2021-08-27,2021-08-27,,2021-08-27,6.4
001349,2021-08-21,2021-08-21,,2021-08-21,2.1
001352,2022-06-27,2022-06-27,,2022-06-27,3.1
001355,2021-07-22,2021-07-22,,2021-07-22,4.7
001360,2021-09-02,NONE-09-21,,NONE-09-21,5.0
001363,2021-04-NONE,2021-10-13,,2021-10-13,16.4
001367,2021-09-29,2021-09-22,2,2021-09-22,3.3
001370,2021-12-03,2021-12-03,,2021-12-03,1.7
001373,2022-03-07,2022-03-07,,2022-03-07,2.3
001376,2021-12-02,2021-12-02,,2021-12-02,2.2
001379,NONE,2021-01-22,,2021-01-22,2.3
001382,2023-01-05,2023-01-05,,2023-01-05,3.6
001385,2018-09-NONE,NONE,,NONE,15.7
001389,2021-06-20,2021-06-20,,2021-06-20,4.0
001392,2021-02-25,2021-02-25,,2021-02-25,3.1
001395,2021-09-01,NONE,,NONE,17.0
001398,2021-07-23,2021-07-23,,2021-07-23,5.7
001401,2022-01-29,2022-08-NONE,,2022-08-NONE,17.6
001404,2021-01-27,2021-01-27,,2021-01-27,13.6
001407,2021-07-31,2031-07-21,,2031-07-21,2.8
001410,2021-05-25,2021-05-05,,2021-05-05,17.5
001414,2021-07-23,2021-07-24,2,2021-07-24,2.0
001418,2021-07-18,2021-07-18,,2021-07-18,3.5
001422,2021-11-NONE,2021-11-NONE,,2021-11-NONE,3.0
001426,2020-04-17,2020-04-17,,2020-04-17,4.4
001430,2021-01-23,2021-01-01,,2021-01-01,4.1
001433,2021-09-29,2021-09-29,,2021-09-29,2.5
001437,2021-08-29,2021-08-29,,2021-08-29,2.4
001441,2021-06-24,2021-06-24,,2021-06-24,3.5
001444,2021-09-06,2021-09-06,,2021-09-06,2.4
001448,2022-07-22,2022-07-22,,2022-07-22,4.7
001451,2022-04-26,2022-04-26,,2022-04-26,3.7
001454,2022-04-02,2022-04-02,,2022-04-02,4.1
001457,2022-06-28,2022-06-28,,2022-06-28,4.0
001460,2022-11-18,2022-11-18,,2022-11-18,2.6
001464,2022-11-18,2022-11-18,,2022-11-18,2.8
001467,2020-11-03,2031-01-16,,2031-01-16,18.4
001470,2021-12-29,2021-12-29,,2021-12-29,3.7
001473,2022-02-17,2022-02-17,,2022-02-17,2.0
001476,2022-05-10,2020-11-01,2,2020-11-01,10.2
001480,NONE,2020-12-18,m,2020-12-18,4.6
001484,2022-09-28,2022-09-28,,2022-09-28,2.9
001487,2022-12-08,2022-01-08,,2022-01-08,2.6
001491,2023-07-08,2023-07-08,d,2023-07-08,7.1
001494,2023-08-17,NONE,,NONE,17.4
001498,2021-06-30,2021-06-30,,2021-06-30,10.3
001502,2021-06-24,2021-06-24,,2021-06-24,2.1
001505,2021-01-27,2021-01-27,,2021-01-27,2.4
001508,2021-10-19,2021-10-19,,2021-10-19,1.4
001513,2018-05-16,2018-05-16,,2018-05-16,1.7
001518,2022-12-07,2022-12-07,,2022-12-07,1.9
001522,2021-06-14,2021-06-14,2,2021-06-14,4.2
001525,2021-06-25,2021-06-25,,2021-06-25,4.7
001528,2021-06-25,2021-06-25,,2021-06-25,1.5
001531,2022-06-06,2022-06-06,,2022-06-06,2.1
001535,2022-07-11,2022-07-11,,2022-07-11,2.6
001539,2022-01-18,2022-01-18,,2022-01-18,2.9
001542,2022-01-22,2022-01-22,,2022-01-22,1.5
001545,2021-08-02,2021-08-02,,2021-08-02,2.0
001548,2022-09-28,NONE,2,NONE,18.3
001551,2021-10-09,2021-10-09,,2021-10-09,1.9
001556,2022-03-16,2022-03-16,2,2022-03-16,4.9
001560,2020-11-25,2020-11-25,,2020-11-25,4.7
001563,2020-08-05,NONE,2,NONE,21.2
001566,2020-04-23,2020-04-23,,2020-04-23,4.0
001571,2021-06-11,2021-06-11,,2021-06-11,2.3
001575,2022-03-27,2022-03-22,,2022-03-22,1.9
001578,2022-11-05,2022-11-05,,2022-11-05,3.6
001582,2021-11-05,2021-11-05,,2021-11-05,1.5
001586,2021-04-20,2021-04-20,,2021-04-20,1.3
001592,2022-01-05,2022-01-05,,2022-01-05,2.3
001595,2021-12-13,2021-12-13,,2021-12-13,2.4
001598,2021-03-07,2018-02-NONE,2,2018-02-NONE,2.8
001601,2021-02-11,2021-02-11,,2021-02-11,1.9
001605,2021-03-06,2021-03-06,,2021-03-06,3.7
001608,2021-06-29,2021-06-29,,2021-06-29,1.3
001611,2021-02-12,2021-02-12,,2021-02-12,2.7
001614,2020-09-03,2020-09-03,,2020-09-03,2.7
001617,2021-12-15,2021-12-15,,2021-12-15,1.9
001620,2022-07-19,2022-07-19,,2022-07-19,1.7
001626,2021-07-03,2021-07-03,,2021-07-03,1.4
001630,2022-10-21,2022-10-21,,2022-10-21,1.8
001633,2021-05-12,2021-05-12,,2021-05-12,4.2
001637,2021-04-12,2021-04-12,,2021-04-12,1.4
001640,2021-02-28,2021-02-28,,2021-02-28,9.2
001643,2021-10-16,2021-10-16,,2021-10-16,3.9
001646,2021-10-12,NONE,,NONE,7.9
001649,2019-08-18,2021-01-21,,2021-01-21,2.0
001652,2021-03-09,2021-03-09,,2021-03-09,2.8
001655,2019-09-12,2019-09-12,,2019-09-12,4.0
001659,2022-10-05,2022-10-05,,2022-10-05,3.2
001663,2020-08-29,2020-08-29,,2020-08-29,3.7
001667,2021-09-14,2021-09-14,,2021-09-14,3.3
001670,2021-10-23,2021-10-23,2,2021-10-23,5.0
001673,2021-05-19,2021-05-19,,2021-05-19,9.9
001676,2021-03-15,2021-03-15,,2021-03-15,2.5
001681,2022-10-22,2022-10-22,,2022-10-22,2.1
001684,2021-11-14,2021-11-14,,2021-11-14,1.9
001687,2020-11-27,2020-11-27,,2020-11-27,1.9
001691,2020-08-16,2020-08-16,,2020-08-16,3.4
001695,2022-07-01,2022-07-01,,2022-07-01,2.1
001699,2021-12-22,2021-12-22,,2021-12-22,2.6
001702,2021-05-17,2021-05-17,,2021-05-17,3.4
001705,2021-06-04,2021-06-04,,2021-06-04,2.4
001709,2021-04-12,2021-04-12,,2021-04-12,1.6
001712,2021-07-18,2021-07-18,2,2021-07-18,3.4
001715,2021-02-07,2021-02-07,,2021-02-07,2.2
001718,2021-02-08,2021-02-08,,2021-02-08,2.0
001721,2021-07-06,2021-07-06,2,2021-07-06,4.5
001724,2021-05-13,2021-05-13,,2021-05-13,2.3
