image_id,label,old,tags,v640,sec
000447,2025-11-22,2025-11-22,,2025-11-22,3.9
000450,2026-03-11,2025-09-12,2,2026-03-11,5.0
000453,2026-01-26,2025-08-27,2,2025-08-27,7.3
000456,2025-12-26,2025-12-26,2,2025-12-26,3.1
000462,2027-05-27,2027-05-27,,2027-05-27,2.6
000466,2027-06-07,2027-06-17,t,2027-06-17,2.0
000469,2026-07-21,2026-07-21,,2026-07-21,2.2
000473,2026-05-21,NONE,,NONE,22.9
000477,2026-07-21,2026-07-21,,2026-07-21,2.5
000480,2026-06-04,2026-07-21,,2026-07-21,2.2
000483,2027-04-15,2027-04-15,,2027-04-15,1.5
000487,2027-12-11,2027-12-11,,2027-12-11,6.0
000493,2026-06-17,2026-06-17,,2026-06-17,4.6
000496,2027-03-05,2027-03-05,,2027-03-05,2.6
000499,2026-05-13,2026-05-13,,2026-05-13,1.4
000503,2026-02-18,2026-02-10,,2026-02-10,15.0
000506,2026-06-18,2026-06-11,2,2026-06-01,3.4
000511,2026-03-24,2026-03-24,,2026-03-24,1.2
000514,2026-07-13,2026-07-13,,2026-07-13,2.0
000518,2026-09-14,2026-09-14,,2026-09-14,1.3
000521,2026-03-10,2026-03-10,2,2026-03-10,1.9
000524,2026-06-18,2026-06-18,,2026-06-18,1.9
000529,2026-01-12,2026-01-12,,2026-01-12,1.2
000532,2026-02-28,2026-02-28,,2026-02-28,2.1
000535,2026-02-04,2026-02-04,,2026-02-04,1.5
000539,2027-08-11,NONE,,NONE,38.5
000542,2027-07-22,2027-07-22,,2027-07-22,2.3
000546,2026-08-10,2026-08-10,2,2026-08-10,4.8
000549,2027-01-16,2027-01-16,,2027-01-16,4.1
000552,2026-09-07,2026-09-07,,2026-09-07,1.7
000555,2027-04-16,2027-04-16,,2027-04-16,1.9
000558,2025-05-16,2025-05-16,,2025-05-16,2.7
000561,2028-08-07,2028-08-07,,2028-08-07,14.4
000564,2026-06-25,2026-06-25,,2026-06-25,1.3
000567,2025-10-29,2025-10-29,,2025-10-29,2.0
000570,2026-05-20,2026-05-20,,2026-05-20,1.3
000573,NONE-10-22,NONE-10-22,,NONE-10-22,2.9
000576,2026-05-21,2020-02-NONE,2,2026-05-21,1.4
000579,2026-07-10,2026-07-10,,2026-07-10,1.3
000583,2025-11-23,2025-11-NONE,,2025-11-NONE,11.8
000586,2026-03-14,2026-03-14,,2026-03-14,2.1
000589,2026-04-02,2026-04-02,,2026-04-02,2.3
000592,2025-03-25,2023-03-26,2,2023-03-26,4.2
000595,2026-05-01,2026-05-01,,2026-05-01,2.1
000598,2026-03-09,2026-03-09,2,2026-03-09,6.2
000601,2026-01-27,2026-01-27,,2026-01-27,2.7
000604,2026-09-15,NONE,,NONE,21.5
000607,2028-06-23,2028-06-23,,2028-06-23,4.4
000610,2026-06-04,2026-06-04,,2026-06-04,3.1
000613,2026-05-28,2026-05-28,,2026-05-28,1.9
000617,2026-07-11,2026-07-11,,2026-07-11,1.9
000622,2027-01-22,2027-01-22,,2027-01-22,1.2
000625,2027-04-01,2027-04-01,,2027-04-01,1.4
000628,2025-02-03,2025-12-NONE,,2025-02-03,1.5
000633,2025-12-24,2025-12-24,,2025-12-24,2.0
000638,2026-06-16,2026-06-16,,2026-06-16,1.8
000642,2026-09-01,2025-03-01,,2025-03-01,2.1
000649,2027-04-07,2021-01-21,,2021-01-21,11.7
000652,2027-03-31,2027-03-31,,2027-03-31,2.9
000655,2026-08-27,2026-08-27,,2026-08-27,4.0
000658,2026-01-16,2026-01-16,,2026-01-16,1.2
000661,2026-04-17,2026-04-17,,2026-04-17,2.1
000667,2026-06-22,2026-06-22,2,2026-06-22,1.3
000670,2026-06-24,NONE-06-24,2,2026-06-24,5.0
000674,2026-06-02,2026-06-02,,2026-06-02,1.3
000677,2027-08-17,2027-08-17,,2027-08-17,1.7
000680,2025-10-15,2025-10-15,,2025-10-15,1.2
000684,2026-03-23,2026-03-23,,2026-03-23,1.9
000689,2025-10-27,2025-10-27,,2025-10-27,4.7
000692,2026-08-21,2026-08-21,,2026-08-21,1.5
000697,2025-10-07,2025-10-07,,2025-10-07,1.8
000703,2026-01-25,2026-01-25,,2026-01-25,2.0
000706,2026-03-11,2026-03-11,,2026-03-11,1.9
000710,2025-10-14,2025-10-14,,2025-10-14,2.1
000715,2026-06-26,2026-06-26,,2026-06-26,1.8
000718,2026-01-17,2026-01-17,,2026-01-17,1.3
000721,2026-12-17,2026-12-17,,2026-12-17,1.6
000724,2026-05-20,2026-05-20,,2026-05-20,1.8
000727,2026-06-22,2026-06-22,,2026-06-22,2.3
000731,2026-03-08,2026-03-08,,2026-03-08,1.5
000734,2025-10-28,2025-10-28,,2025-10-28,2.0
000738,2026-02-12,2026-02-12,,2026-02-12,2.1
000743,2026-11-16,2026-11-16,,2026-11-16,2.0
000746,2026-06-23,2026-06-23,,2026-06-23,1.2
000751,2025-05-08,2025-05-08,,2025-05-08,2.8
000756,2027-02-24,2027-02-24,,2027-02-24,2.3
000759,2026-05-14,2026-05-14,,2026-05-14,2.0
000762,2026-08-02,2026-08-02,,2026-08-02,1.6
000765,2025-11-21,NONE,,NONE,15.5
000768,2026-06-26,2026-06-26,,2026-06-26,3.6
000771,2019-11-26,NONE-12-31,,NONE-12-31,2.6
000774,2026-02-08,2026-02-08,,2026-02-08,3.3
000777,2026-03-NONE,2026-03-NONE,,2026-03-NONE,17.7
000780,2026-04-27,NONE-04-27,,2026-04-27,2.1
000786,NONE-12-17,NONE-12-17,2,NONE-12-17,5.2
000790,2027-07-NONE,2027-07-NONE,,2027-07-NONE,11.5
000795,2026-07-14,NONE,2,NONE,15.9
000800,2026-08-12,2026-08-12,,2026-08-12,2.7
000804,2027-09-01,2027-09-01,d,2027-09-01,1.6
000808,2026-06-12,2026-06-12,,2026-06-12,1.3
000811,2026-03-31,2026-03-31,,2026-03-31,1.8
000817,2026-12-NONE,NONE,,NONE,16.8
000821,2026-02-02,2026-02-02,,2026-02-02,2.1
000825,2026-06-22,2026-06-22,,2026-06-22,3.5
000829,2026-03-20,2026-03-20,,2026-03-20,1.7
000832,2026-07-16,2025-07-15,b,2025-07-15,3.2
000838,2026-02-21,2026-02-21,,2026-02-21,2.3
000845,2026-06-17,2026-06-17,,2026-06-17,2.4
000848,2026-05-21,2021-05-20,,2021-05-20,15.6
000853,2026-09-24,2026-09-24,,2026-09-24,1.6
000856,2026-06-03,2026-06-03,,2026-06-03,4.7
000859,2021-10-28,NONE,,NONE,7.5
000863,2021-10-22,2020-10-NONE,2,2020-10-NONE,1.7
000867,2021-10-23,NONE,2,NONE,21.5
000871,2021-10-15,2021-10-15,,2021-10-15,2.9
000875,2021-03-22,2021-03-22,,2021-03-22,3.4
000878,2023-04-03,NONE,t,NONE,7.4
000881,2021-06-08,2021-06-08,,2021-06-08,2.5
000884,2021-07-03,NONE,2,NONE,8.1
000887,2021-12-04,2021-01-02,,2021-12-04,10.0
000890,2021-04-05,2021-04-05,,2021-04-05,1.5
000893,2022-02-07,2022-02-07,,2022-02-07,4.5
000897,2025-05-19,2025-05-19,,2025-05-19,14.8
000900,2022-09-02,2022-09-02,,2022-09-02,3.8
000904,2021-08-31,2021-08-22,,2021-08-22,2.9
000907,2022-01-NONE,2022-01-NONE,,2022-01-NONE,3.3
000911,2022-05-05,2022-05-05,,2022-05-05,3.4
000914,2021-07-21,2021-07-21,,2021-07-21,2.2
000918,2021-09-17,2020-04-20,,2020-04-20,6.3
000921,2022-02-26,2022-02-26,,2022-02-26,1.7
000925,NONE-02-02,NONE-02-02,,NONE-02-02,3.1
000928,2022-03-13,2022-03-13,,2022-03-13,4.3
000931,2021-07-29,2021-07-29,,2021-07-29,3.7
000934,2021-02-10,2021-01-25,2,2021-01-25,2.7
000938,2022-06-11,2022-06-11,,2022-06-11,2.8
000942,2021-05-29,2021-05-29,2,2021-05-29,4.9
000947,2021-09-30,2021-09-30,,2021-09-30,1.2
000950,2022-09-16,2022-09-16,,2022-09-16,2.5
000953,2021-02-05,2021-02-07,2,2021-02-07,2.1
000957,2021-02-22,2021-01-29,2,2021-01-29,2.9
000960,2022-07-19,2022-07-19,,2022-07-19,1.8
000964,2023-11-14,2023-11-14,,2023-11-14,1.8
000967,2022-10-17,2022-10-17,,2022-10-17,3.1
000970,2022-06-30,2022-06-30,,2022-06-30,4.3
000975,2023-08-03,2023-08-03,,2023-08-03,3.3
000978,2021-03-11,2022-02-29,,2022-02-29,18.4
000982,2022-02-15,NONE,t,NONE,12.8
000985,2021-12-28,2021-12-28,,2021-12-28,1.6
000990,2020-07-21,NONE,,NONE,12.3
000993,NONE-02-18,NONE,,NONE,17.8
000996,NONE-02-19,NONE,,NONE,17.7
000999,2021-11-11,2021-11-11,2b,2021-11-11,2.5
001004,2020-08-10,NONE,,NONE,23.3
001007,2022-06-29,2022-06-29,2,2022-06-29,2.6
001012,2021-11-10,2021-11-10,2,2021-11-10,1.9
001015,2022-01-11,2022-01-11,,2022-01-11,2.9
001018,2021-05-15,NONE,,NONE,14.4
001022,2021-06-28,NONE,,NONE,10.5
001025,2020-12-09,2020-12-09,,2020-12-09,22.2
001028,2021-07-07,2021-08-01,2,2021-08-01,2.6
001032,2019-07-16,2019-07-16,,2019-07-16,2.4
001036,2021-10-07,2021-10-07,2,2021-10-07,13.7
001039,2021-12-28,2021-12-28,,2021-12-28,1.2
001042,2021-09-13,2021-09-13,d,2021-09-13,2.1
001045,2021-04-30,2021-04-30,,2021-04-30,1.6
001049,2022-01-06,2022-01-06,,2022-01-06,2.6
001052,2022-12-20,2022-12-20,,2022-12-20,3.6
001055,2022-08-10,2022-08-10,,2022-08-10,2.1
001060,2022-06-23,2022-06-23,,2022-06-23,1.9
001064,2022-01-04,2022-01-04,,2022-01-04,2.6
001067,2021-12-06,2021-01-12,,2021-12-06,2.1
001070,NONE-01-24,NONE-01-24,,NONE-01-24,2.3
001074,2021-09-30,2021-09-30,,2021-09-30,12.6
001078,2023-09-24,2023-09-24,,2023-09-24,3.7
001081,2021-06-17,2021-06-17,,2021-06-17,2.6
001084,2021-07-09,2021-07-01,,2021-07-01,3.2
001087,2022-06-14,2022-06-14,,2022-06-14,1.4
001090,2021-04-16,2021-04-16,2,2021-04-16,5.3
001094,2022-01-12,2022-01-12,2,2021-01-13,1.6
001097,2021-06-11,2021-01-01,2,2021-11-06,5.1
001101,2021-03-14,2021-01-14,2,2021-01-14,3.3
001104,2021-08-26,2021-08-26,2,2021-08-26,2.4
001107,2021-02-28,2021-02-28,,2021-02-28,2.4
001110,2021-03-22,2021-03-02,,2021-03-22,2.4
001113,2023-11-15,2023-11-15,,2023-11-15,2.3
001116,2022-01-12,2022-01-12,,2028-12-01,2.0
001120,2021-12-16,2021-12-01,,2021-12-01,1.7
001123,2021-10-09,2021-10-09,,2021-10-09,5.2
001126,2021-12-28,2021-12-28,,2021-12-28,1.8
001129,NONE-02-07,NONE,,NONE,13.9
001132,2021-02-19,2020-12-12,2,2020-12-12,2.6
001135,2022-09-24,2022-09-24,,2022-09-24,2.5
001138,2021-10-23,2021-10-23,,2021-10-23,1.6
001141,2022-03-14,2022-03-14,2,2022-03-14,3.8
001145,2021-05-25,2021-05-25,,2021-05-25,2.5
001148,2022-07-31,2022-07-31,,2022-07-31,2.4
001151,2021-09-18,2021-09-18,,2021-09-18,1.9
001155,2021-09-21,2021-09-21,,2021-09-21,11.4
001158,2021-08-10,2021-08-10,,2021-08-10,1.5
001161,2021-04-23,2021-04-23,,2021-04-23,1.9
001164,2021-03-01,2021-03-01,,2021-03-01,4.3
001169,2021-08-31,2021-08-31,,2021-08-31,2.7
001172,2021-09-NONE,2021-09-NONE,,2021-09-NONE,4.1
001175,2021-09-07,2021-09-07,d,2021-09-07,2.6
001178,2021-12-01,NONE,,NONE,6.9
001182,2022-04-14,2022-04-14,,2022-04-14,1.9
001185,2021-09-28,2021-09-26,2,2021-09-28,5.4
001190,2019-06-28,2019-06-28,2,2019-06-28,4.1
001193,2021-02-11,2021-02-11,2,2021-02-11,4.3
001197,2021-10-10,2021-10-10,,2021-10-10,1.7
001200,2021-10-20,2020-10-21,2,2020-10-21,2.9
001204,2023-02-28,2023-02-28,,2023-02-28,2.8
001207,2020-08-18,2020-08-18,,2020-08-18,4.0
001210,2021-08-03,2021-08-03,,2021-08-03,1.9
001213,2021-05-15,2021-05-15,,2021-05-15,5.1
001217,2022-05-30,2022-05-30,,2022-05-30,1.7
001220,2021-01-14,2021-01-14,,2021-01-14,2.2
001223,2021-04-11,2021-04-11,,2021-04-11,5.6
001226,2022-06-27,2020-12-28,2,2022-06-27,5.6
001229,2021-10-28,2021-10-28,,2021-10-28,2.7
001232,2021-05-05,2021-05-05,,2021-05-05,4.5
001236,NONE-01-28,NONE-01-28,,NONE-01-28,2.2
001240,2020-12-19,2020-12-19,,2020-12-19,2.6
001244,2023-12-31,2023-12-31,,2023-12-31,2.2
001247,2022-01-19,2022-01-19,2,2022-01-19,4.1
001250,2021-04-11,2021-01-12,2,2021-04-11,4.9
001253,2021-08-19,2021-06-19,,2021-08-11,1.5
001256,2023-07-03,2023-07-03,,2023-07-03,0.9
001259,2021-08-30,2021-08-30,,2021-08-30,11.6
001263,2022-12-03,2022-12-03,,2022-12-03,2.8
001266,2022-06-NONE,2022-06-NONE,,2022-06-NONE,1.9
001270,2021-10-11,2021-10-11,,2021-10-11,1.8
001273,2022-06-17,2022-06-17,,2022-06-17,3.8
001277,2021-11-04,2021-11-04,,2021-11-04,2.2
001280,2022-10-09,2022-10-09,,2022-10-09,2.6
001283,2022-04-23,2022-04-23,,2022-04-23,1.7
001289,2024-11-21,2024-11-21,,2024-11-21,2.1
001293,2020-09-21,2020-09-NONE,,2020-09-NONE,5.3
001296,2023-11-NONE,2023-11-NONE,,2023-11-NONE,11.9
001299,2021-07-28,2021-07-28,,2021-07-28,4.5
001303,2021-09-14,2021-09-14,2,2021-09-14,4.5
001306,2021-07-19,2021-07-19,,2021-07-19,5.0
001309,2021-04-30,2021-04-30,t,2021-04-30,4.7
001312,2022-10-20,2022-10-20,,2022-10-20,1.9
001315,2021-12-09,2021-12-09,,2021-12-09,2.1
001318,2022-12-07,2020-12-07,2,2020-12-07,3.1
001323,2023-07-09,2023-07-09,2,2023-07-09,4.9
001327,2021-07-19,2021-07-19,,2021-07-19,3.1
001332,2021-12-NONE,2021-12-NONE,,2021-12-NONE,1.6
001335,2021-10-26,2021-10-26,,2021-10-26,3.6
001339,2021-06-08,2021-06-08,,2021-06-08,3.4
001342,2021-09-10,2021-09-10,,2021-09-10,5.2
001345,2021-08-27,2021-08-27,,2021-08-27,6.2
001349,2021-08-21,2021-08-21,,2021-08-21,2.2
001352,2022-06-27,2022-06-27,,2022-06-27,2.8
001355,2021-07-22,2021-07-22,,2021-07-22,4.3
001360,2021-09-02,NONE-09-21,,NONE-09-21,5.5
001363,2021-04-NONE,2021-10-13,,2021-10-13,18.6
001367,2021-09-29,2021-09-22,2,2021-09-22,4.2
001370,2021-12-03,2021-12-03,,2021-12-03,2.5
001373,2022-03-07,2022-03-07,,2022-03-07,2.1
001376,2021-12-02,2021-12-02,,2021-12-02,2.9
001379,NONE,2021-01-22,,2021-01-22,2.4
001382,2023-01-05,2023-01-05,,2023-01-05,3.4
001385,2018-09-NONE,NONE,,NONE,11.9
001389,2021-06-20,2021-06-20,,2021-06-20,3.6
001392,2021-02-25,2021-02-25,,2021-02-25,3.0
001395,2021-09-01,NONE,,NONE,18.3
001398,2021-07-23,2021-07-23,,2021-07-23,4.5
001401,2022-01-29,2022-08-NONE,,2022-08-NONE,16.1
001404,2021-01-27,2021-01-27,,2021-01-27,11.8
001407,2021-07-31,2031-07-21,,2031-07-21,2.5
001410,2021-05-25,2021-05-05,,2021-05-05,16.9
001414,2021-07-23,2021-07-24,2,2021-07-24,1.9
001418,2021-07-18,2021-07-18,,2021-07-18,2.9
001422,2021-11-NONE,2021-11-NONE,,2021-11-NONE,3.1
001426,2020-04-17,2020-04-17,,2020-04-17,3.9
001430,2021-01-23,2021-01-01,,2021-01-01,3.1
001433,2021-09-29,2021-09-29,,2021-09-29,1.7
001437,2021-08-29,2021-08-29,,2021-08-29,1.6
001441,2021-06-24,2021-06-24,,2021-06-24,3.3
001444,2021-09-06,2021-09-06,,2021-09-06,2.4
001448,2022-07-22,2022-07-22,,2022-07-22,5.5
001451,2022-04-26,2022-04-26,,2022-04-26,3.4
001454,2022-04-02,2022-04-02,,2022-04-02,4.8
001457,2022-06-28,2022-06-28,,2022-06-28,4.8
001460,2022-11-18,2022-11-18,,2022-11-18,2.6
001464,2022-11-18,2022-11-18,,2022-11-18,2.3
001467,2020-11-03,2031-01-16,,2031-01-16,15.3
001470,2021-12-29,2021-12-29,,2021-12-29,3.1
001473,2022-02-17,2022-02-17,,2022-02-17,2.3
001476,2022-05-10,2020-11-01,2,2020-11-01,6.9
001480,NONE,2020-12-18,m,2020-12-18,3.3
001484,2022-09-28,2022-09-28,,2022-09-28,2.3
001487,2022-12-08,2022-01-08,,2022-01-08,2.3
001491,2023-07-08,2023-07-08,d,2023-07-08,7.1
001494,2023-08-17,NONE,,NONE,15.7
001498,2021-06-30,2021-06-30,,2021-06-30,9.7
001502,2021-06-24,2021-06-24,,2021-06-24,2.2
001505,2021-01-27,2021-01-27,,2021-01-27,2.7
001508,2021-10-19,2021-10-19,,2021-10-19,1.8
001513,2018-05-16,2018-05-16,,2018-05-16,2.5
001518,2022-12-07,2022-12-07,,2022-12-07,2.3
001522,2021-06-14,2021-06-14,2,2021-06-14,5.1
001525,2021-06-25,2021-06-25,,2021-06-25,4.3
001528,2021-06-25,2021-06-25,,2021-06-25,1.4
001531,2022-06-06,2022-06-06,,2022-06-06,2.1
001535,2022-07-11,2022-07-11,,2022-07-11,2.3
001539,2022-01-18,2022-01-18,,2022-01-18,3.2
001542,2022-01-22,2022-01-22,,2022-01-22,1.3
001545,2021-08-02,2021-08-02,,2021-08-02,2.2
001548,2022-09-28,NONE,2,NONE,17.6
001551,2021-10-09,2021-10-09,,2021-10-09,2.4
001556,2022-03-16,2022-03-16,2,2022-03-16,4.7
001560,2020-11-25,2020-11-25,,2020-11-25,4.2
001563,2020-08-05,NONE,2,NONE,19.4
001566,2020-04-23,2020-04-23,,2020-04-23,3.3
001571,2021-06-11,2021-06-11,,2021-06-11,1.6
001575,2022-03-27,2022-03-22,,2022-03-22,1.5
001578,2022-11-05,2022-11-05,,2022-11-05,3.4
001582,2021-11-05,2021-11-05,,2021-11-05,1.6
001586,2021-04-20,2021-04-20,,2021-04-20,1.3
001592,2022-01-05,2022-01-05,,2022-01-05,2.6
001595,2021-12-13,2021-12-13,,2021-12-13,1.8
001598,2021-03-07,2018-02-NONE,2,2018-02-NONE,2.1
001601,2021-02-11,2021-02-11,,2021-02-11,1.3
001605,2021-03-06,2021-03-06,,2021-03-06,3.4
001608,2021-06-29,2021-06-29,,2021-06-29,1.1
001611,2021-02-12,2021-02-12,,2021-02-12,2.1
001614,2020-09-03,2020-09-03,,2020-09-03,2.8
001617,2021-12-15,2021-12-15,,2021-12-15,1.8
001620,2022-07-19,2022-07-19,,2022-07-19,1.8
001626,2021-07-03,2021-07-03,,2021-07-03,1.5
001630,2022-10-21,2022-10-21,,2022-10-21,1.8
001633,2021-05-12,2021-05-12,,2021-05-12,3.5
001637,2021-04-12,2021-04-12,,2021-04-12,1.2
001640,2021-02-28,2021-02-28,,2021-02-28,9.1
001643,2021-10-16,2021-10-16,,2021-10-16,3.9
001646,2021-10-12,NONE,,NONE,8.3
001649,2019-08-18,2021-01-21,,2021-01-21,2.2
001652,2021-03-09,2021-03-09,,2021-03-09,2.4
001655,2019-09-12,2019-09-12,,2019-09-12,4.5
001659,2022-10-05,2022-10-05,,2022-10-05,3.3
001663,2020-08-29,2020-08-29,,2020-08-29,4.0
001667,2021-09-14,2021-09-14,,2021-09-14,3.2
001670,2021-10-23,2021-10-23,2,2021-10-23,7.2
001673,2021-05-19,2021-05-19,,2021-05-19,9.5
001676,2021-03-15,2021-03-15,,2021-03-15,2.7
001681,2022-10-22,2022-10-22,,2022-10-22,2.1
001684,2021-11-14,2021-11-14,,2021-11-14,1.6
001687,2020-11-27,2020-11-27,,2020-11-27,1.8
001691,2020-08-16,2020-08-16,,2020-08-16,3.5
001695,2022-07-01,2022-07-01,,2022-07-01,2.4
001699,2021-12-22,2021-12-22,,2021-12-22,2.2
001702,2021-05-17,2021-05-17,,2021-05-17,2.9
001705,2021-06-04,2021-06-04,,2021-06-04,2.7
001709,2021-04-12,2021-04-12,,2021-04-12,1.8
001712,2021-07-18,2021-07-18,2,2021-07-18,3.9
001715,2021-02-07,2021-02-07,,2021-02-07,1.9
001718,2021-02-08,2021-02-08,,2021-02-08,1.6
001721,2021-07-06,2021-07-06,2,2021-07-06,7.1
001724,2021-05-13,2021-05-13,,2021-05-13,2.1
