image_id,file,stratum,정답,예측,raw,후보,담당,원인,메모
001194,001194.jpg,small,2021-02-11,2021-02-01,11/02/2021 2,2021-2-1:DMY4:erode2/p1@640:0.53,A,r,
001515,001515.jpg,small,2022-08-16,2022-08-18,2022.08.16,2022-8-18:YYYY:p2:0.66,A,u,
001558,001558.jpg,mid,2021-12-24,2024-12-21,24/12/21 d,2024-12-21:YY:p2:0.97,A,o,힌트
001587,001587.jpg,small,2021-04-20,2021-04-27,2021.04.20,2021-4-27:YYYY:p1@640:0.82,A,r,
001776,001776.jpg,mid,2021-04-05,2021-04-02,05 04 2021,2021-4-2:DMY4:p2:0.82,A,r,
001815,001815.jpg,small,2022-06-07,2020-02-06,2022.06.07,2020-2-6:CMP6_YMD:p2:0.79,A,r,
001899,001899.jpg,mid,2021-11-29,NONE-12-17,nov 29 2021,None-12-17:MMDD:erode2/p1@640:0.52,A,s,
001925,001925.jpg,small,2022-01-21,NONE,2022.01.21,,A,u,
001942,001942.jpg,small,2022-05-27,2021-12-20,27.05.2022,2021-12-20:CMP6_YMD:p1@640:0.73,A,s,
001946,001946.jpg,small,2021-08-NONE,2021-02-08,08 2021,2021-2-8:SP_DMY:erode2/p1@640:0.71,A,f,공백연월
001962,001962.jpg,small,2027-03-21,2022-10-12,27/03/21,2021-11-1:SP_YMD:p2:0.91|2022-10-12:CMP6_DMY:p2:0.70,A,s,
001976,001976.jpg,small,2026-02-21,NONE,26.02.21,,A,r,
001979,001979.jpg,small,2020-11-04,NONE,2020.11.04,,A,r,
001981,001981.jpg,small,2022-10-15,2019-01-11,2022.10.15,2019-1-11:CMP6_YMD:p2:0.78,A,s,
002012,002012.jpg,small,2020-06-30,NONE,2020.06.30,,A,r,
002081,002081.jpg,mid,2019-09-16,2019-06-17,19.09.16 2,2019-6-17:YY:fullres/p1@1024:0.74,A,p,
002264,002264.jpg,small,2021-12-01,2021-12-NONE,2021. 12. 01,2021-12-None:YYYYMM:p1@640:0.93,A,r,
002284,002284.jpg,mid,2022-01-06,2021-01-07,22.01.06 2,2021-1-7:YY:p2:0.91,A,u,
002287,002287.jpg,small,2023-12-31,2021-12-31,23.12.31,2021-12-31:YY:p2:0.50,A,l,21.12.31
002436,002436.jpg,small,2021-06-03,2020-02-02,03.06.2021,2020-2-2:SP_DMY:blur1/p1@640:0.12,A,s,
002444,002444.jpg,small,2021-11-11,2024-01-12,11/11/21   d,2024-1-12:CMP6_DMY:ft/blur1/p1@640:0.61,A,s,
002545,002545.jpg,small,2021-03-21,2021-03-NONE,2021.03.21,2021-3-None:YYYYMM:erode3/p1@640:0.61,A,r,
002548,002548.jpg,large,2021-04-02,NONE,2021.04.02,,A,r,
002604,002604.jpg,mid,2017-11-23,2023-11-17,17/11/23,2023-11-17:CMP6_DMY:p2:0.76,A,l,23-11-17
002605,002605.jpg,small,2017-11-23,NONE,17/11/23,,A,l,23-11-17
002654,002654.jpg,small,2020-12-08,2025-11-30,2020-12-08,2020-12-8:EXTEND:p2:0.72|2025-11-30:YYYY:p2:0.21,A,l,2025-11-30
002666,002666.jpg,small,2021-03-26,2021-03-NONE,26 MAR 2021,2021-3-None:MON_Y:p2:0.87,A,r,
002700,002700.jpg,small,2021-08-23,2020-04-23,2021.08.23,2020-4-23:SP_DMY:p2:0.69,A,s,
002717,002717.jpg,mid,2022-03-01,NONE,2022.03.01,,A,u,
002762,002762.jpg,small,2023-06-01,2020-06-11,2023/06/01 2,2020-6-11:YYYY:p2:0.52|2020-1-6:DMY4:p2:0.52,A,p,
002800,002800.jpg,small,2021-12-27,2031-01-11,2021.12.27 2,2031-1-11:CMP6_DMY:p1@640:0.48,A,s,
002805,002805.jpg,large,2023-01-13,2023-01-19,2023.01.13,2023-1-19:YMD_GLUED:p2:0.46,A,r,
002813,002813.jpg,mid,2021-04-02,NONE-04-02,2021.04.02,None-4-2:MMDD:p1@640:0.79,A,r,
002814,002814.jpg,small,2021-04-02,NONE-04-08,2021.04.02,None-4-8:MMDD:blur1/p1@640:0.67,A,r,
002826,002826.jpg,mid,2021-07-03,2021-06-12,03 JUL 2021,2021-6-12:YYYY:p1@1024:0.93,A,o,july인데 june으로읽은듯? 그리고 s도있음 b12를 12로봄
002840,002840.jpg,small,2021-05-24,2021-09-11,2021.05.24,2021-5-24:YYYY:p2:0.95|2021-9-11:DMY4:p2:0.95,A,s,
002865,002865.jpg,small,2023-02-03,NONE,03/02/2023,,A,u,
002867,002867.jpg,small,2022-02-28,NONE,28/02/22,,A,r,
002922,002922.jpg,small,2021-09-12,NONE-12-09,12.09.2021,None-12-9:MMDD:erode3/p1@640:0.98,A,r,
002927,002927.jpg,large,NONE-04-08,NONE-04-05,04.08,None-4-5:MMDD:p2:0.28,A,r,
003123,003123.jpg,small,2021-09-15,2021-05-13,15.09.2021 2,2021-5-13:DMY4:ft/p2:0.67,A,s,
003171,003171.jpg,large,2021-11-11,2020-01-12,2021.11.11 2,2020-1-12:YYYY:p2:0.76,A,s,
003174,003174.jpg,large,2020-08-13,2022-08-13,2020/08/13,2020-8-13:YYYY:p2:0.99|2022-8-13:YYYY:p2:0.87,A,l,2022/08/13
003304,003304.jpg,mid,2025-03-NONE,2025-03-02,03/2025,2025-3-2:DMY4:p1@640:0.86,A,o,2025-03까진맞고 none으로해야하는데 로트를 인식함
003319,003319.jpg,small,2021-10-20,NONE,2021.10.20,,A,r,
003320,003320.jpg,small,2021-09-02,2021-03-20,02/09/2021,2021-3-20:YYYY:p1@640:0.38,A,p,
003324,003324.jpg,mid,2021-06-01,2021-06-02,01 JUN 2021,2021-6-1:D_MON_Y:p2:0.70|2021-6-2:YYYY:p2:0.70,A,u,
3352,3352.jpeg,large,2025-12-10,2025-10-22,25.12.10 2,2025-10-22:YYMM_GLUE:erode3/p1@640:0.66,A,r,
